published_data.originalid,published_data.originaltraitname,published_data.originaltraitdef,published_data.standardisedtraitname,published_data.standardisedtraitdef,published_data.originaltraitvalue,published_data.originaltraitunit,published_data.originalerrorpos,published_data.originalerrorneg,published_data.originalerrorunit,published_data.standardisedtraitvalue,published_data.standardisedtraitunit,published_data.standardisederrorpos,published_data.standardisederrorneg,published_data.standardisederrorunit,published_data.replicates,published_data.habitat,published_data.labfield,published_data.arenavalue,published_data.arenaunit,published_data.arenavaluesi,published_data.arenaunitsi,published_data.ambienttemp,published_data.ambienttempmethod,published_data.ambienttempunit,published_data.ambientlight,published_data.ambientlightunit,published_data.secondstressor,published_data.secondstressordef,published_data.secondstressorvalue,published_data.secondstressorunit,published_data.timestart,published_data.timeend,published_data.totalobstimevalue,published_data.totalobstimeunit,published_data.totalobstimevaluesi,published_data.totalobstimeunitsi,published_data.totalobstimenotes,published_data.resrepvalue,published_data.resrepunit,published_data.resrepvaluesi,published_data.resrepunitsi,published_data.locationtext,published_data.locationtype,published_data.originallocationdate,published_data.locationdate,published_data.locationdateprecision,published_data.coordinatetype,published_data.latitude,published_data.longitude,published_data.interactor1,published_data.interactor1common,published_data.interactor1wholepart,published_data.interactor1wholeparttype,published_data.interactor1number,published_data.interactor1kingdom,published_data.interactor1phylum,published_data.interactor1class,published_data.interactor1order,published_data.interactor1family,published_data.interactor1genus,published_data.interactor1species,published_data.interactor1stage,published_data.interactor1temp,published_data.interactor1tempunit,published_data.interactor1tempmethod,published_data.interactor1growthtemp,published_data.interactor1growthtempunit,published_data.interactor1growthdur,published_data.interactor1growthdurunit,published_data.interactor1growthtype,published_data.interactor1acc,published_data.interactor1acctemp,published_data.interactor1acctempnotes,published_data.interactor1acctime,published_data.interactor1acctimenotes,published_data.interactor1acctimeunit,published_data.interactor1origtemp,published_data.interactor1origtempnotes,published_data.interactor1origtime,published_data.interactor1origtimenotes,published_data.interactor1origtimeunit,published_data.interactor1equilibtimevalue,published_data.interactor1equilibtimeunit,published_data.interactor1size,published_data.interactor1sizeunit,published_data.interactor1sizetype,published_data.interactor1sizesi,published_data.interactor1sizeunitsi,published_data.interactor1denvalue,published_data.interactor1denunit,published_data.interactor1dentypesi,published_data.interactor1denvaluesi,published_data.interactor1denunitsi,published_data.interactor1massvaluesi,published_data.interactor1massunitsi,published_data.interactor2,published_data.interactor2common,published_data.interactor2kingdom,published_data.interactor2phylum,published_data.interactor2class,published_data.interactor2order,published_data.interactor2family,published_data.interactor2genus,published_data.interactor2species,published_data.interactor2stage,published_data.interactor2temp,published_data.interactor2tempunit,published_data.interactor2tempmethod,published_data.interactor2growthtemp,published_data.interactor2growthtempunit,published_data.interactor2growthdur,published_data.interactor2growthdurunit,published_data.interactor2growthtype,published_data.interactor2acc,published_data.interactor2acctemp,published_data.interactor2acctempnotes,published_data.interactor2acctime,published_data.interactor2acctimenotes,published_data.interactor2acctimeunit,published_data.interactor2origtemp,published_data.interactor2origtempnotes,published_data.interactor2origtime,published_data.interactor2origtimenotes,published_data.interactor2origtimeunit,published_data.interactor2equilibtimevalue,published_data.interactor2equilibtimeunit,published_data.interactor2size,published_data.interactor2sizeunit,published_data.interactor2sizetype,published_data.interactor2sizesi,published_data.interactor2sizeunitsi,published_data.interactor2denvalue,published_data.interactor2denunit,published_data.interactor2dentypesi,published_data.interactor2denvaluesi,published_data.interactor2denunitsi,published_data.interactor2massvaluesi,published_data.interactor2massunitsi,published_data.physicalprocess,published_data.physicalprocess_1,published_data.physicalprocess_2,published_data.figuretable,published_data.citation,published_data.doi,published_data.submittedby,published_data.contributoremail,published_data.notes
MTD11,Forward Attack Distance,Distance to a resource when a consumer initiates an attack when resource positioned directly in front of the forward body axis of the consumer,Forward Attack Distance,Distance to a resource when a consumer initiates an attack when resource positioned directly in front of the forward body axis of the consumer,28,centimeter / 1 individual,3,3,,0.28,meter / individual,0.03,0.03,95% CI,9,freshwater,lab,0.227,cubic metre,0.227,cubic metre,10,direct,celsius,,,,,,,,,,not stated,,,,,not replaced,,not replaced,"Marion Lake, British Columbia, Canada",,,,0,,50.994,-127,Oncorhynchus mykiss,rainbow trout,,,,Metazoa,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,mykiss,adult,10,celsius,inferred (ambient),,,,,,field collected,,,,,,,,,,,,,0.152,meter,body length (mean),0.0375706637,kilogram,1,individual per arena (1),individual,4.4052863436,cubic meter,0.0375706637,kilogram (wet body mass),Crangonyx richmondensis,amphipod,Metazoa,Arthropoda,Malacostraca,Amphipoda,Crangonyctidae,Crangonyx,richmondensis,adult,10,celsius,inferred (ambient),,,,,,field collected,,,,,,,,,,,,,0.007,meter,body length (point),0.00000222974889739243,kilogram,1,individual per arena (1),individual,4.4052863436,cubic meter,0.00000222974889739243,kilogram (wet body mass),body velocity probability,movement,biomechanics,Text (pg 1197),"Ware D.M. 1971. Predation by rainbow trout (Salmo gairdneri): the effect of experience. Journal of the Fisheries Research Board of Canada 28, 1847-1852.",http://dx.doi.org/10.1139/f71-279,Biotraits,null@null.invalid,"Note: Authors measured time flies were on leg, not bite or feeding rate per se"
MTD13,Resource Consumption Rate,The number of resource consumed per number of consumers per time,Resource Consumption Rate,The number of resource consumed per number of consumers per time,0.4378,individual / (1 individual * 1 second),0.0556,0.0556,,0.4378,individual / (individual * second),0.0556,0.0556,SE,6,freshwater,lab,0.2,cubic metre,0.2,cubic metre,18,direct,celsius,,,,,,,,,10,prey caught,10,prey caught,,,not replaced,,not replaced,"Lake Sovdeborg, Sweden",,,,0,,55.576,13.669,Perca fluviatilis,river perch,,,,Metazoa,Chordata,Actinopterygii,Perciformes,Percidae,Perca,fluviatilis,adult,18,celsius,inferred (ambient),,,,,,field collected,,,,,,,,,,,,,0.0291,kilogram,wet body mass (mean),0.0291,kilogram,2,individual per arena (1),individual,10,cubic meter,0.0291,kilogram (wet body mass),Chaoborus obscuripes,phantom midge,Metazoa,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborus,obscuripes,larvae,18,celsius,inferred (ambient),,,,,,,,,,,,,,,,,,,0.0000039,kilogram,afd body mass (mean),,,0.1,individual per liter (1),individual,100,cubic meter,,,consumption rate,interaction,ecological event,Fig 1,"Persson L. 1986. Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology 55, 829-839.",http://dx.doi.org/10.2307/4419,Biotraits,null@null.invalid,"Replicates per Note under Table 1, page 2003, left column.  NOTE: Rate values are attack success times attack rate at that temp, which yields rate of successful attacks"
MTD95,Attack Number Rate,Number of attacks per consumer number per time,Attack Number Rate,Number of attacks per consumer number per time,0,event / (3 individual * 30 minute),0,0,,0,event / (individual * second),0,0,SD,8,freshwater,lab,0.076,cubic metre,0.076,cubic metre,5,direct,celsius,,,,,,,,,30,minute,1800,second,,,not replaced,,not replaced,"Lake Michigan, Michigan, USA",,,,0,,43.453,-87.231,Perca flavescens,yellow perch,,,,Metazoa,Chordata,Actinopterygii,Perciformes,Percidae,Perca,flavescens,juvenile,5,celsius,inferred (ambient),,,,,,field collected,7,,604800,,second,,,,,,,,0.0124,kilogram,wet body mass (mean),0.0124,kilogram,3,individual per arena (1),individual,39.4736842105,cubic meter,0.0124,kilogram (wet body mass),Coregonus clupeaformis,lake whitefish,Metazoa,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,clupeaformis,juvenile,5,celsius,inferred (ambient),,,,,,captive bred (at acclimation temperature),7,,2073600,,second,,,,,,,,0.00014,kilogram,wet body mass (mean),0.00014,kilogram,21,individual per arena (1),individual,276.3157894737,cubic meter,0.00014,kilogram (wet body mass),event density rate,interaction,ecological event,Table 1,"Yocom T.G. & T.A. Edsall. 1974. Effect of acclimation temperature and heat shock on vulnerability of fry of lake whitefish (Coregonus clupeaformis) to predation. Journal of the Fisheries Research Board of Canada 31, 1503-1506.",http://dx.doi.org/10.1139/f74-180,Biotraits,null@null.invalid,
MTD95,Attack Number Rate,Number of attacks per consumer number per time,Attack Number Rate,Number of attacks per consumer number per time,17.9,event / (3 individual * 30 minute),5.36,5.36,,0.003314815,event / (individual * second),0.0009925926,0.0009925926,SD,8,freshwater,lab,0.076,cubic metre,0.076,cubic metre,10,direct,celsius,,,,,,,,,30,minute,1800,second,,,not replaced,,not replaced,"Lake Michigan, Michigan, USA",,,,0,,43.453,-87.231,Perca flavescens,yellow perch,,,,Metazoa,Chordata,Actinopterygii,Perciformes,Percidae,Perca,flavescens,juvenile,10,celsius,inferred (ambient),,,,,,field collected,7,,604800,,second,,,,,,,,0.0124,kilogram,wet body mass (mean),0.0124,kilogram,3,individual per arena (1),individual,39.4736842105,cubic meter,0.0124,kilogram (wet body mass),Coregonus clupeaformis,lake whitefish,Metazoa,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,clupeaformis,juvenile,10,celsius,inferred (ambient),,,,,,captive bred (at acclimation temperature),7,,2073600,,second,,,,,,,,0.00014,kilogram,wet body mass (mean),0.00014,kilogram,21,individual per arena (1),individual,276.3157894737,cubic meter,0.00014,kilogram (wet body mass),event density rate,interaction,ecological event,Table 1,"Yocom T.G. & T.A. Edsall. 1974. Effect of acclimation temperature and heat shock on vulnerability of fry of lake whitefish (Coregonus clupeaformis) to predation. Journal of the Fisheries Research Board of Canada 31, 1503-1506.",http://dx.doi.org/10.1139/f74-180,Biotraits,null@null.invalid,
MTD95,Attack Number Rate,Number of attacks per consumer number per time,Attack Number Rate,Number of attacks per consumer number per time,22.5,event / (3 individual * 30 minute),3.89,3.89,,0.004166667,event / (individual * second),0.0007203704,0.0007203704,SD,8,freshwater,lab,0.076,cubic metre,0.076,cubic metre,15,direct,celsius,,,,,,,,,30,minute,1800,second,,,not replaced,,not replaced,"Lake Michigan, Michigan, USA",,,,0,,43.453,-87.231,Perca flavescens,yellow perch,,,,Metazoa,Chordata,Actinopterygii,Perciformes,Percidae,Perca,flavescens,juvenile,15,celsius,inferred (ambient),,,,,,field collected,7,,604800,,second,,,,,,,,0.0124,kilogram,wet body mass (mean),0.0124,kilogram,3,individual per arena (1),individual,39.4736842105,cubic meter,0.0124,kilogram (wet body mass),Coregonus clupeaformis,lake whitefish,Metazoa,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,clupeaformis,juvenile,15,celsius,inferred (ambient),,,,,,captive bred (at acclimation temperature),7,,2073600,,second,,,,,,,,0.00014,kilogram,wet body mass (mean),0.00014,kilogram,21,individual per arena (1),individual,276.3157894737,cubic meter,0.00014,kilogram (wet body mass),event density rate,interaction,ecological event,Table 1,"Yocom T.G. & T.A. Edsall. 1974. Effect of acclimation temperature and heat shock on vulnerability of fry of lake whitefish (Coregonus clupeaformis) to predation. Journal of the Fisheries Research Board of Canada 31, 1503-1506.",http://dx.doi.org/10.1139/f74-180,Biotraits,null@null.invalid,
MTD95,Attack Number Rate,Number of attacks per consumer number per time,Attack Number Rate,Number of attacks per consumer number per time,17.9,event / (3 individual * 30 minute),4.36,4.36,,0.003314815,event / (individual * second),0.0008074074,0.0008074074,SD,8,freshwater,lab,0.076,cubic metre,0.076,cubic metre,18,direct,celsius,,,,,,,,,30,minute,1800,second,,,not replaced,,not replaced,"Lake Michigan, Michigan, USA",,,,0,,43.453,-87.231,Perca flavescens,yellow perch,,,,Metazoa,Chordata,Actinopterygii,Perciformes,Percidae,Perca,flavescens,juvenile,18,celsius,inferred (ambient),,,,,,field collected,7,,604800,,second,,,,,,,,0.0124,kilogram,wet body mass (mean),0.0124,kilogram,3,individual per arena (1),individual,39.4736842105,cubic meter,0.0124,kilogram (wet body mass),Coregonus clupeaformis,lake whitefish,Metazoa,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,clupeaformis,juvenile,18,celsius,inferred (ambient),,,,,,captive bred (at acclimation temperature),7,,2073600,,second,,,,,,,,0.00014,kilogram,wet body mass (mean),0.00014,kilogram,21,individual per arena (1),individual,276.3157894737,cubic meter,0.00014,kilogram (wet body mass),event density rate,interaction,ecological event,Table 1,"Yocom T.G. & T.A. Edsall. 1974. Effect of acclimation temperature and heat shock on vulnerability of fry of lake whitefish (Coregonus clupeaformis) to predation. Journal of the Fisheries Research Board of Canada 31, 1503-1506.",http://dx.doi.org/10.1139/f74-180,Biotraits,null@null.invalid,
MTD97,Attack Number Rate,Number of attacks per consumer number per time,Attack Number Rate,Number of attacks per consumer number per time,0,event / (3 individual * 30 minute),0,0,,0,event / (individual * second),0,0,SD,8,freshwater,lab,0.076,cubic metre,0.076,cubic metre,5,direct,celsius,,,,,,,,,30,minute,1800,second,,,not replaced,,not replaced,"Lake Michigan, Michigan, USA",,,,0,,43.453,-87.231,Perca flavescens,yellow perch,,,,Metazoa,Chordata,Actinopterygii,Perciformes,Percidae,Perca,flavescens,juvenile,5,celsius,inferred (ambient),,,,,,field collected,7,,604800,,second,,,,,,,,0.0124,kilogram,wet body mass (mean),0.0124,kilogram,3,individual per arena (1),individual,39.4736842105,cubic meter,0.0124,kilogram (wet body mass),Coregonus clupeaformis,lake whitefish,Metazoa,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,clupeaformis,juvenile,5,celsius,inferred (ambient),,,,,,captive bred (at acclimation temperature),7,,2073600,,second,,,,,,,,0.00014,kilogram,wet body mass (mean),0.00014,kilogram,21,individual per arena (1),individual,276.3157894737,cubic meter,0.00014,kilogram (wet body mass),event density rate,interaction,ecological event,Table 1,"Yocom T.G. & T.A. Edsall. 1974. Effect of acclimation temperature and heat shock on vulnerability of fry of lake whitefish (Coregonus clupeaformis) to predation. Journal of the Fisheries Research Board of Canada 31, 1503-1506.",http://dx.doi.org/10.1139/f74-180,Biotraits,null@null.invalid,
MTD97,Attack Number Rate,Number of attacks per consumer number per time,Attack Number Rate,Number of attacks per consumer number per time,30.9,event / (3 individual * 30 minute),13.8,13.8,,0.005722222,event / (individual * second),0.002555556,0.002555556,SD,8,freshwater,lab,0.076,cubic metre,0.076,cubic metre,10,direct,celsius,,,,,,,,,30,minute,1800,second,,,not replaced,,not replaced,"Lake Michigan, Michigan, USA",,,,0,,43.453,-87.231,Perca flavescens,yellow perch,,,,Metazoa,Chordata,Actinopterygii,Perciformes,Percidae,Perca,flavescens,juvenile,10,celsius,inferred (ambient),,,,,,field collected,7,,604800,,second,,,,,,,,0.0124,kilogram,wet body mass (mean),0.0124,kilogram,3,individual per arena (1),individual,39.4736842105,cubic meter,0.0124,kilogram (wet body mass),Coregonus clupeaformis,lake whitefish,Metazoa,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,clupeaformis,juvenile,10,celsius,inferred (ambient),,,,,,captive bred (at acclimation temperature),7,,2073600,,second,,,,,,,,0.00014,kilogram,wet body mass (mean),0.00014,kilogram,21,individual per arena (1),individual,276.3157894737,cubic meter,0.00014,kilogram (wet body mass),event density rate,interaction,ecological event,Table 1,"Yocom T.G. & T.A. Edsall. 1974. Effect of acclimation temperature and heat shock on vulnerability of fry of lake whitefish (Coregonus clupeaformis) to predation. Journal of the Fisheries Research Board of Canada 31, 1503-1506.",http://dx.doi.org/10.1139/f74-180,Biotraits,null@null.invalid,
MTD97,Attack Number Rate,Number of attacks per consumer number per time,Attack Number Rate,Number of attacks per consumer number per time,30.1,event / (3 individual * 30 minute),7.46,7.46,,0.005574074,event / (individual * second),0.001381481,0.001381481,SD,8,freshwater,lab,0.076,cubic metre,0.076,cubic metre,15,direct,celsius,,,,,,,,,30,minute,1800,second,,,not replaced,,not replaced,"Lake Michigan, Michigan, USA",,,,0,,43.453,-87.231,Perca flavescens,yellow perch,,,,Metazoa,Chordata,Actinopterygii,Perciformes,Percidae,Perca,flavescens,juvenile,15,celsius,inferred (ambient),,,,,,field collected,7,,604800,,second,,,,,,,,0.0124,kilogram,wet body mass (mean),0.0124,kilogram,3,individual per arena (1),individual,39.4736842105,cubic meter,0.0124,kilogram (wet body mass),Coregonus clupeaformis,lake whitefish,Metazoa,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,clupeaformis,juvenile,15,celsius,inferred (ambient),,,,,,captive bred (at acclimation temperature),7,,2073600,,second,,,,,,,,0.00014,kilogram,wet body mass (mean),0.00014,kilogram,21,individual per arena (1),individual,276.3157894737,cubic meter,0.00014,kilogram (wet body mass),event density rate,interaction,ecological event,Table 1,"Yocom T.G. & T.A. Edsall. 1974. Effect of acclimation temperature and heat shock on vulnerability of fry of lake whitefish (Coregonus clupeaformis) to predation. Journal of the Fisheries Research Board of Canada 31, 1503-1506.",http://dx.doi.org/10.1139/f74-180,Biotraits,null@null.invalid,
MTD97,Attack Number Rate,Number of attacks per consumer number per time,Attack Number Rate,Number of attacks per consumer number per time,24.8,event / (3 individual * 30 minute),6.54,6.54,,0.004592593,event / (individual * second),0.001211111,0.001211111,SD,8,freshwater,lab,0.076,cubic metre,0.076,cubic metre,18,direct,celsius,,,,,,,,,30,minute,1800,second,,,not replaced,,not replaced,"Lake Michigan, Michigan, USA",,,,0,,43.453,-87.231,Perca flavescens,yellow perch,,,,Metazoa,Chordata,Actinopterygii,Perciformes,Percidae,Perca,flavescens,juvenile,18,celsius,inferred (ambient),,,,,,field collected,7,,604800,,second,,,,,,,,0.0124,kilogram,wet body mass (mean),0.0124,kilogram,3,individual per arena (1),individual,39.4736842105,cubic meter,0.0124,kilogram (wet body mass),Coregonus clupeaformis,lake whitefish,Metazoa,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,clupeaformis,juvenile,18,celsius,inferred (ambient),,,,,,captive bred (at acclimation temperature),7,,2073600,,second,,,,,,,,0.00014,kilogram,wet body mass (mean),0.00014,kilogram,21,individual per arena (1),individual,276.3157894737,cubic meter,0.00014,kilogram (wet body mass),event density rate,interaction,ecological event,Table 1,"Yocom T.G. & T.A. Edsall. 1974. Effect of acclimation temperature and heat shock on vulnerability of fry of lake whitefish (Coregonus clupeaformis) to predation. Journal of the Fisheries Research Board of Canada 31, 1503-1506.",http://dx.doi.org/10.1139/f74-180,Biotraits,null@null.invalid,
