IS,year,temp,species,abundance
1,2004,19.9,Limnophora riparia,4
2,2004,20.3,Limnophora riparia,0
3,2004,22.1,Limnophora riparia,4
4,2004,13.3,Limnophora riparia,0
5,2004,19.8,Limnophora riparia,0
6,2004,19.1,Limnophora riparia,0
7,2004,8.6,Limnophora riparia,0
8,2004,23.4,Limnophora riparia,4
9,2004,15.2,Limnophora riparia,20
10,2004,5.2,Limnophora riparia,0
11,2004,11.6,Limnophora riparia,0
12,2004,14.3,Limnophora riparia,0
13,2004,6.9,Limnophora riparia,0
14,2004,10.6,Limnophora riparia,16
1,2008,22.7,Limnophora riparia,36
2,2008,20.9,Limnophora riparia,28
3,2008,23.7,Limnophora riparia,12
4,2008,12.7,Limnophora riparia,8
5,2008,21.3,Limnophora riparia,60
6,2008,21,Limnophora riparia,120
7,2008,8.2,Limnophora riparia,0
8,2008,24.6,Limnophora riparia,60
9,2008,18.1,Limnophora riparia,4
10,2008,5.1,Limnophora riparia,0
11,2008,12.8,Limnophora riparia,12
12,2008,15.5,Limnophora riparia,12
13,2008,6.1,Limnophora riparia,0
14,2008,9.7,Limnophora riparia,60
1,2012,16.7,Limnophora riparia,0
2,2012,18.4,Limnophora riparia,42.32804232
3,2012,19,Limnophora riparia,31.74603174
4,2012,13.1,Limnophora riparia,0
5,2012,17.6,Limnophora riparia,21.16402116
6,2012,19,Limnophora riparia,63.49206348
7,2012,5.8,Limnophora riparia,0
8,2012,20.3,Limnophora riparia,105.8201058
9,2012,14,Limnophora riparia,63.49206348
10,2012,5.1,Limnophora riparia,0
11,2012,8.1,Limnophora riparia,74.07407406
12,2012,14.5,Limnophora riparia,0
13,2012,6.9,Limnophora riparia,0
14,2012,9.6,Limnophora riparia,84.65608464
1,2004,19.9,Potamophylax cingulatus,0
2,2004,20.3,Potamophylax cingulatus,0
3,2004,22.1,Potamophylax cingulatus,0
4,2004,13.3,Potamophylax cingulatus,4
5,2004,19.8,Potamophylax cingulatus,4
6,2004,19.1,Potamophylax cingulatus,4
7,2004,8.6,Potamophylax cingulatus,180
8,2004,23.4,Potamophylax cingulatus,8
9,2004,15.2,Potamophylax cingulatus,48
10,2004,5.2,Potamophylax cingulatus,64
11,2004,11.6,Potamophylax cingulatus,408
12,2004,14.3,Potamophylax cingulatus,4
13,2004,6.9,Potamophylax cingulatus,56
14,2004,10.6,Potamophylax cingulatus,76
1,2008,22.7,Potamophylax cingulatus,0
2,2008,20.9,Potamophylax cingulatus,0
3,2008,23.7,Potamophylax cingulatus,0
4,2008,12.7,Potamophylax cingulatus,0
5,2008,21.3,Potamophylax cingulatus,0
6,2008,21,Potamophylax cingulatus,0
7,2008,8.2,Potamophylax cingulatus,12
8,2008,24.6,Potamophylax cingulatus,0
9,2008,18.1,Potamophylax cingulatus,20
10,2008,5.1,Potamophylax cingulatus,0
11,2008,12.8,Potamophylax cingulatus,16
12,2008,15.5,Potamophylax cingulatus,12
13,2008,6.1,Potamophylax cingulatus,4
14,2008,9.7,Potamophylax cingulatus,16
1,2012,16.7,Potamophylax cingulatus,0
2,2012,18.4,Potamophylax cingulatus,0
3,2012,19,Potamophylax cingulatus,0
4,2012,13.1,Potamophylax cingulatus,21.16402116
5,2012,17.6,Potamophylax cingulatus,0
6,2012,19,Potamophylax cingulatus,0
7,2012,5.8,Potamophylax cingulatus,0
8,2012,20.3,Potamophylax cingulatus,0
9,2012,14,Potamophylax cingulatus,0
10,2012,5.1,Potamophylax cingulatus,0
11,2012,8.1,Potamophylax cingulatus,137.5661376
12,2012,14.5,Potamophylax cingulatus,0
13,2012,6.9,Potamophylax cingulatus,0
14,2012,9.6,Potamophylax cingulatus,0
1,2004,19.9,Simuliidae spp.,1240
2,2004,20.3,Simuliidae spp.,832
3,2004,22.1,Simuliidae spp.,824
4,2004,13.3,Simuliidae spp.,212
5,2004,19.8,Simuliidae spp.,2060
6,2004,19.1,Simuliidae spp.,2976
7,2004,8.6,Simuliidae spp.,984
8,2004,23.4,Simuliidae spp.,8540
9,2004,15.2,Simuliidae spp.,1028
10,2004,5.2,Simuliidae spp.,0
11,2004,11.6,Simuliidae spp.,496
12,2004,14.3,Simuliidae spp.,92
13,2004,6.9,Simuliidae spp.,0
14,2004,10.6,Simuliidae spp.,576
1,2008,22.7,Simuliidae spp.,1864
2,2008,20.9,Simuliidae spp.,4796
3,2008,23.7,Simuliidae spp.,3276
4,2008,12.7,Simuliidae spp.,84
5,2008,21.3,Simuliidae spp.,5952
6,2008,21,Simuliidae spp.,1744
7,2008,8.2,Simuliidae spp.,88
8,2008,24.6,Simuliidae spp.,4912
9,2008,18.1,Simuliidae spp.,396
10,2008,5.1,Simuliidae spp.,0
11,2008,12.8,Simuliidae spp.,492
12,2008,15.5,Simuliidae spp.,172
13,2008,6.1,Simuliidae spp.,0
14,2008,9.7,Simuliidae spp.,24
1,2012,16.7,Simuliidae spp.,476.1904762
2,2012,18.4,Simuliidae spp.,603.1746031
3,2012,19,Simuliidae spp.,10.58201058
4,2012,13.1,Simuliidae spp.,158.7301587
5,2012,17.6,Simuliidae spp.,3470.899471
6,2012,19,Simuliidae spp.,2465.608466
7,2012,5.8,Simuliidae spp.,222.2222222
8,2012,20.3,Simuliidae spp.,2751.322751
9,2012,14,Simuliidae spp.,1089.94709
10,2012,5.1,Simuliidae spp.,0
11,2012,8.1,Simuliidae spp.,698.4126984
12,2012,14.5,Simuliidae spp.,42.32804232
13,2012,6.9,Simuliidae spp.,0
14,2012,9.6,Simuliidae spp.,317.4603175
