experimental.temperature,eaten.prey,initial.prey,predator.number,setting,treatment
3.8,0,1,0,laboratory,control
3.8,0,2,0,laboratory,control
3.8,0,3,0,laboratory,control
3.8,0,4,0,laboratory,control
3.8,1,8,0,laboratory,control
3.8,2,16,0,laboratory,control
3.8,0,1,0,laboratory,control
3.8,0,2,0,laboratory,control
3.8,0,3,0,laboratory,control
3.8,0,4,0,laboratory,control
3.8,1,8,0,laboratory,control
3.8,0,16,0,laboratory,control
9.6,0,1,0,laboratory,control
9.6,0,2,0,laboratory,control
9.6,0,3,0,laboratory,control
9.6,2,4,0,laboratory,control
9.6,2,8,0,laboratory,control
9.6,2,16,0,laboratory,control
9.6,0,1,0,laboratory,control
9.6,0,2,0,laboratory,control
9.6,0,3,0,laboratory,control
9.6,0,4,0,laboratory,control
9.6,1,8,0,laboratory,control
9.6,1,16,0,laboratory,control
5.9,0,1,0,laboratory,control
5.9,0,2,0,laboratory,control
5.9,0,3,0,laboratory,control
5.9,0,4,0,laboratory,control
5.9,1,8,0,laboratory,control
5.9,1,16,0,laboratory,control
5.9,0,1,0,laboratory,control
5.9,1,2,0,laboratory,control
5.9,0,3,0,laboratory,control
5.9,2,4,0,laboratory,control
5.9,3,8,0,laboratory,control
5.9,7,16,0,laboratory,control
5.9,0,1,0,laboratory,control
5.9,1,2,0,laboratory,control
5.9,0,3,0,laboratory,control
5.9,1,4,0,laboratory,control
5.9,0,8,0,laboratory,control
5.9,0,16,0,laboratory,control
17.9,1,1,0,laboratory,control
17.9,0,2,0,laboratory,control
17.9,0,3,0,laboratory,control
17.9,1,4,0,laboratory,control
17.9,5,8,0,laboratory,control
17.9,9,16,0,laboratory,control
3.8,0,1,1,laboratory,Limnophora_riparia
3.8,0,2,1,laboratory,Limnophora_riparia
3.8,0,3,1,laboratory,Limnophora_riparia
3.8,0,4,1,laboratory,Limnophora_riparia
3.8,1,8,1,laboratory,Limnophora_riparia
3.8,2,16,1,laboratory,Limnophora_riparia
3.8,0,1,1,laboratory,Limnophora_riparia
3.8,1,2,1,laboratory,Limnophora_riparia
3.8,2,3,1,laboratory,Limnophora_riparia
3.8,1,4,1,laboratory,Limnophora_riparia
3.8,5,16,1,laboratory,Limnophora_riparia
9.6,0,1,1,laboratory,Limnophora_riparia
9.6,1,2,1,laboratory,Limnophora_riparia
9.6,0,3,1,laboratory,Limnophora_riparia
9.6,1,4,1,laboratory,Limnophora_riparia
9.6,0,1,1,laboratory,Limnophora_riparia
9.6,0,2,1,laboratory,Limnophora_riparia
9.6,2,3,1,laboratory,Limnophora_riparia
9.6,2,4,1,laboratory,Limnophora_riparia
9.6,3,8,1,laboratory,Limnophora_riparia
9.6,3,16,1,laboratory,Limnophora_riparia
9.6,0,1,1,laboratory,Limnophora_riparia
9.6,0,2,1,laboratory,Limnophora_riparia
9.6,0,3,1,laboratory,Limnophora_riparia
9.6,0,4,1,laboratory,Limnophora_riparia
