experimental.temperature,initial.prey,eaten.prey,treatment,setting
5.3,1,0,Limnophora_riparia,laboratory
5.3,1,0,Limnophora_riparia,laboratory
5.3,1,0,Limnophora_riparia,laboratory
5.3,1,0,Limnophora_riparia,laboratory
5.3,2,0,Limnophora_riparia,laboratory
5.3,2,1,Limnophora_riparia,laboratory
5.3,2,0,Limnophora_riparia,laboratory
5.3,2,0,Limnophora_riparia,laboratory
5.3,3,0,Limnophora_riparia,laboratory
5.3,3,0,Limnophora_riparia,laboratory
5.3,3,0,Limnophora_riparia,laboratory
5.3,3,0,Limnophora_riparia,laboratory
5.3,4,0,Limnophora_riparia,laboratory
5.3,4,1,Limnophora_riparia,laboratory
5.3,4,1,Limnophora_riparia,laboratory
5.3,4,0,Limnophora_riparia,laboratory
5.3,8,0,Limnophora_riparia,laboratory
5.3,8,1,Limnophora_riparia,laboratory
5.3,8,0,Limnophora_riparia,laboratory
5.3,8,1,Limnophora_riparia,laboratory
5.3,12,0,Limnophora_riparia,laboratory
5.3,12,1,Limnophora_riparia,laboratory
5.3,12,0,Limnophora_riparia,laboratory
5.3,12,2,Limnophora_riparia,laboratory
5.3,16,0,Limnophora_riparia,laboratory
5.3,16,0,Limnophora_riparia,laboratory
5.3,16,1,Limnophora_riparia,laboratory
5.3,16,1,Limnophora_riparia,laboratory
9.6,1,0,Limnophora_riparia,laboratory
9.6,1,0,Limnophora_riparia,laboratory
9.6,1,0,Limnophora_riparia,laboratory
9.6,1,0,Limnophora_riparia,laboratory
9.6,2,0,Limnophora_riparia,laboratory
9.6,2,0,Limnophora_riparia,laboratory
9.6,2,1,Limnophora_riparia,laboratory
9.6,2,0,Limnophora_riparia,laboratory
9.6,3,0,Limnophora_riparia,laboratory
9.6,3,0,Limnophora_riparia,laboratory
9.6,3,0,Limnophora_riparia,laboratory
9.6,3,1,Limnophora_riparia,laboratory
9.6,4,0,Limnophora_riparia,laboratory
9.6,4,1,Limnophora_riparia,laboratory
9.6,4,1,Limnophora_riparia,laboratory
9.6,4,0,Limnophora_riparia,laboratory
9.6,6,0,Limnophora_riparia,laboratory
9.6,6,1,Limnophora_riparia,laboratory
9.6,6,0,Limnophora_riparia,laboratory
9.6,6,0,Limnophora_riparia,laboratory
9.6,8,3,Limnophora_riparia,laboratory
9.6,8,1,Limnophora_riparia,laboratory
9.6,8,2,Limnophora_riparia,laboratory
9.6,8,0,Limnophora_riparia,laboratory
9.6,12,1,Limnophora_riparia,laboratory
9.6,12,2,Limnophora_riparia,laboratory
9.6,12,3,Limnophora_riparia,laboratory
9.6,12,2,Limnophora_riparia,laboratory
9.6,16,1,Limnophora_riparia,laboratory
9.6,16,2,Limnophora_riparia,laboratory
9.6,16,2,Limnophora_riparia,laboratory
9.6,16,0,Limnophora_riparia,laboratory
14.6,1,0,Limnophora_riparia,laboratory
14.6,1,1,Limnophora_riparia,laboratory
14.6,1,1,Limnophora_riparia,laboratory
14.6,1,1,Limnophora_riparia,laboratory
14.6,2,0,Limnophora_riparia,laboratory
14.6,2,0,Limnophora_riparia,laboratory
14.6,2,1,Limnophora_riparia,laboratory
14.6,2,1,Limnophora_riparia,laboratory
14.6,3,0,Limnophora_riparia,laboratory
14.6,3,0,Limnophora_riparia,laboratory
14.6,3,1,Limnophora_riparia,laboratory
14.6,3,1,Limnophora_riparia,laboratory
14.6,4,0,Limnophora_riparia,laboratory
14.6,4,1,Limnophora_riparia,laboratory
14.6,4,1,Limnophora_riparia,laboratory
14.6,4,1,Limnophora_riparia,laboratory
14.6,8,0,Limnophora_riparia,laboratory
14.6,8,1,Limnophora_riparia,laboratory
14.6,8,1,Limnophora_riparia,laboratory
14.6,8,2,Limnophora_riparia,laboratory
14.6,12,1,Limnophora_riparia,laboratory
14.6,12,2,Limnophora_riparia,laboratory
14.6,12,1,Limnophora_riparia,laboratory
14.6,12,2,Limnophora_riparia,laboratory
14.6,16,2,Limnophora_riparia,laboratory
14.6,16,3,Limnophora_riparia,laboratory
14.6,16,4,Limnophora_riparia,laboratory
14.6,16,2,Limnophora_riparia,laboratory
17.8,1,1,Limnophora_riparia,laboratory
17.8,1,0,Limnophora_riparia,laboratory
17.8,1,1,Limnophora_riparia,laboratory
17.8,1,0,Limnophora_riparia,laboratory
17.8,2,1,Limnophora_riparia,laboratory
17.8,2,0,Limnophora_riparia,laboratory
17.8,2,0,Limnophora_riparia,laboratory
17.8,2,2,Limnophora_riparia,laboratory
17.8,3,1,Limnophora_riparia,laboratory
17.8,3,0,Limnophora_riparia,laboratory
17.8,3,0,Limnophora_riparia,laboratory
17.8,3,0,Limnophora_riparia,laboratory
17.8,4,2,Limnophora_riparia,laboratory
17.8,4,1,Limnophora_riparia,laboratory
17.8,4,0,Limnophora_riparia,laboratory
17.8,4,2,Limnophora_riparia,laboratory
17.8,8,2,Limnophora_riparia,laboratory
17.8,8,1,Limnophora_riparia,laboratory
17.8,8,3,Limnophora_riparia,laboratory
17.8,8,0,Limnophora_riparia,laboratory
17.8,12,1,Limnophora_riparia,laboratory
17.8,12,2,Limnophora_riparia,laboratory
17.8,12,2,Limnophora_riparia,laboratory
17.8,12,2,Limnophora_riparia,laboratory
17.8,16,2,Limnophora_riparia,laboratory
17.8,16,3,Limnophora_riparia,laboratory
17.8,16,1,Limnophora_riparia,laboratory
17.8,16,0,Limnophora_riparia,laboratory
