pred.size,prey.size,pred,alive,eaten,suppl
s,om.1,lm,0,2,2
s,om.1,lm,0,2,2
s,om.1,lm,0,2,2
s,om.1,lm,0,4,4
s,om.1,lm,0,4,4
s,om.1,lm,0,4,4
s,om.1,lm,1,7,8
s,om.1,lm,0,8,8
s,om.1,lm,1,7,8
s,om.1,lm,13,3,16
s,om.1,lm,0,16,16
s,om.1,lm,0,16,16
s,om.1,lm,7,25,32
s,om.1,lm,2,30,32
s,om.1,lm,21,11,32
s,om.1,lm,17,15,32
s,om.1,lm,55,9,64
s,om.1,lm,55,9,64
s,om.1,lm,46,18,64
s,om.2,lm,0,2,2
s,om.2,lm,0,2,2
s,om.2,lm,0,2,2
s,om.2,lm,1,3,4
s,om.2,lm,0,4,4
s,om.2,lm,0,4,4
s,om.2,lm,3,5,8
s,om.2,lm,0,8,8
s,om.2,lm,0,8,8
s,om.2,lm,9,7,16
s,om.2,lm,8,8,16
s,om.2,lm,12,4,16
s,om.2,lm,31,1,32
s,om.2,lm,29,3,32
s,om.2,lm,25,7,32
s,om.3,lm,0,2,2
s,om.3,lm,2,0,2
s,om.3,lm,0,2,2
s,om.3,lm,1,1,2
s,om.3,lm,2,2,4
s,om.3,lm,2,2,4
s,om.3,lm,3,1,4
s,om.3,lm,6,2,8
s,om.3,lm,6,2,8
s,om.3,lm,4,4,8
s,om.3,lm,13,3,16
s,om.3,lm,12,4,16
s,om.3,lm,14,2,16
s,om.3,lm,29,3,32
s,om.3,lm,29,3,32
s,om.3,lm,28,4,32
l,om.1,lm,0,2,2
l,om.1,lm,0,2,2
l,om.1,lm,0,2,2
l,om.1,lm,0,4,4
l,om.1,lm,0,4,4
l,om.1,lm,0,4,4
l,om.1,lm,0,8,8
l,om.1,lm,8,0,8
l,om.1,lm,0,8,8
l,om.1,lm,0,8,8
l,om.1,lm,0,8,8
l,om.1,lm,0,8,8
l,om.1,lm,0,16,16
l,om.1,lm,16,0,16
l,om.1,lm,16,0,16
l,om.1,lm,15,1,16
l,om.1,lm,0,16,16
l,om.1,lm,3,13,16
l,om.1,lm,23,9,32
l,om.1,lm,0,32,32
l,om.1,lm,0,32,32
l,om.1,lm,0,32,32
l,om.1,lm,30,34,64
l,om.1,lm,1,63,64
l,om.1,lm,14,50,64
l,om.1,lm,21,43,64
l,om.2,lm,0,2,2
l,om.2,lm,0,2,2
l,om.2,lm,0,2,2
l,om.2,lm,0,4,4
l,om.2,lm,0,4,4
l,om.2,lm,0,4,4
l,om.2,lm,0,8,8
l,om.2,lm,0,8,8
l,om.2,lm,0,8,8
l,om.2,lm,10,6,16
l,om.2,lm,0,16,16
l,om.2,lm,9,7,16
l,om.2,lm,19,13,32
