 Beta  Tc  Pc  Ingestion  Digestion
5.7633e-07 1.6356e-02 0.9001 7.4150e-20 4.5730e-01
5.7633e-07 1.6356e-02 0.9001 7.4150e-20 4.5730e-01
7.5479e-07 2.0683e-02 0.5447 8.8498e-18 3.8139e+01
7.5479e-07 2.0683e-02 0.5447 8.8498e-18 3.8139e+01
7.5479e-07 2.0683e-02 0.5447 8.8498e-18 3.8139e+01
7.5479e-07 2.0683e-02 0.5447 8.8498e-18 3.8139e+01
2.2999e-06 2.0276e-02 0.9258 3.0851e-19 2.4740e-01
1.3670e-09 5.7807e-03 0.7916 9.9057e-23 2.6130e+00
1.3670e-09 5.7807e-03 0.7916 9.9057e-23 2.6130e+00
2.1633e-04 7.2844e-02 0.5324 5.4788e-13 1.0114e+03
2.5643e-05 4.9173e-02 0.5238 2.1517e-14 7.1203e+02
2.0916e-04 7.2363e-02 0.5294 5.4830e-13 1.0591e+03
3.0780e-05 4.9519e-02 0.5279 2.1928e-14 5.6729e+02
2.0409e-12 1.4679e-03 0.6009 1.7689e-25 2.0688e+01
9.3154e-12 2.2825e-03 0.6650 4.9047e-25 9.3259e+00
2.2538e-11 2.2638e-03 0.6671 9.3365e-25 5.6400e+00
2.0409e-12 1.4679e-03 0.6009 1.7689e-25 2.0688e+01
2.2538e-11 2.2638e-03 0.6671 9.3365e-25 5.6400e+00
2.0409e-12 1.4679e-03 0.6009 1.7689e-25 2.0688e+01
2.0409e-12 1.4679e-03 0.6009 1.7689e-25 2.0688e+01
2.0409e-12 1.4679e-03 0.6009 1.7689e-25 2.0688e+01
2.2538e-11 2.2638e-03 0.6671 9.3365e-25 5.6400e+00
2.2538e-11 2.2638e-03 0.6671 9.3365e-25 5.6400e+00
2.2538e-11 2.2638e-03 0.6671 9.3365e-25 5.6400e+00
2.2537e-11 2.2638e-03 0.6696 9.1205e-25 5.5095e+00
2.0402e-12 1.4679e-03 0.6033 1.7280e-25 2.0209e+01
2.0402e-12 1.4679e-03 0.6033 1.7280e-25 2.0209e+01
2.0402e-12 1.4679e-03 0.6033 1.7280e-25 2.0209e+01
2.2537e-11 2.2638e-03 0.6696 9.1205e-25 5.5095e+00
2.0402e-12 1.4679e-03 0.6033 1.7280e-25 2.0209e+01
2.2537e-11 2.2638e-03 0.6696 9.1205e-25 5.5095e+00
2.2537e-11 2.2638e-03 0.6696 9.1205e-25 5.5095e+00
9.3143e-12 2.2089e-03 0.6608 4.7913e-25 9.1102e+00
2.0402e-12 1.4679e-03 0.6033 1.7280e-25 2.0209e+01
9.3143e-12 2.2089e-03 0.6608 4.7913e-25 9.1102e+00
2.2537e-11 2.2638e-03 0.6696 9.1205e-25 5.5095e+00
2.3471e-12 3.1051e-03 0.5208 1.6870e-24 1.9729e+02
2.3360e-11 3.2215e-03 0.5565 8.9038e-24 5.3787e+01
2.4180e-11 3.7439e-03 0.5423 1.5844e-23 9.5712e+01
2.3360e-11 3.2215e-03 0.5565 8.9038e-24 5.3787e+01
9.8503e-12 3.1661e-03 0.5485 4.6775e-24 8.8937e+01
2.3471e-12 3.1051e-03 0.5208 1.6870e-24 1.9729e+02
2.3471e-12 3.1051e-03 0.5208 1.6870e-24 1.9729e+02
9.8503e-12 3.1661e-03 0.5485 4.6775e-24 8.8937e+01
2.5933e-11 4.9628e-03 0.5265 3.2117e-23 1.9401e+02
2.7822e-11 0.0000e+00 0.0000 5.4443e-23 3.2888e+02
2.5933e-11 4.9628e-03 0.5265 3.2117e-23 1.9401e+02
2.7822e-11 0.0000e+00 0.0000 5.4443e-23 3.2888e+02
2.7822e-11 0.0000e+00 0.0000 5.4443e-23 3.2888e+02
2.3471e-12 3.1051e-03 0.5208 1.6870e-24 1.9729e+02
2.3471e-12 3.1051e-03 0.5208 1.6870e-24 1.9729e+02
2.3360e-11 3.2215e-03 0.5565 8.9038e-24 5.3787e+01
3.2790e-12 0.0000e+00 0.0000 6.0851e-24 7.1164e+02
2.7822e-11 0.0000e+00 0.0000 5.4443e-23 3.2888e+02
2.7822e-11 0.0000e+00 0.0000 5.4443e-23 3.2888e+02
1.1525e-11 5.5958e-03 0.5142 1.6872e-23 3.2081e+02
2.3360e-11 3.2215e-03 0.5565 8.9038e-24 5.3787e+01
2.3360e-11 3.2215e-03 0.5565 8.9038e-24 5.3787e+01
7.1769e-09 7.4151e-03 0.9175 3.0558e-22 7.1411e-01
7.1803e-09 7.6897e-03 0.8895 4.1253e-22 9.6404e-01
7.9893e-08 1.1715e-02 0.7791 2.0201e-20 2.0669e+00
3.6723e-10 5.4475e-03 0.5792 1.8411e-22 2.0924e+01
3.6723e-10 5.4475e-03 0.5792 1.8411e-22 2.0924e+01
3.5006e-10 5.2516e-03 0.5751 1.5996e-22 2.3353e+01
6.3666e-09 9.0034e-03 0.5406 1.0400e-20 6.6728e+01
6.3666e-09 9.0034e-03 0.5406 1.0400e-20 6.6728e+01
4.8803e-09 8.7649e-03 0.5380 8.4901e-21 7.8187e+01
4.8803e-09 8.7649e-03 0.5380 8.4901e-21 7.8187e+01
