 Beta  Tc  Pc  Ingestion  Digestion
1.1737e-11 3.7243e-05 0.6425 1.1667e-26 2.3480e+01
1.1737e-11 3.7243e-05 0.6425 1.1667e-26 2.3480e+01
1.1737e-11 3.7243e-05 0.6425 1.1667e-26 2.3480e+01
1.1737e-11 3.7243e-05 0.6425 1.1667e-26 2.3480e+01
1.1737e-11 3.7243e-05 0.6425 1.1667e-26 2.3480e+01
3.3524e-07 0.0000e+00 0.0000 5.4656e-19 6.5243e+02
3.3524e-07 0.0000e+00 0.0000 5.4656e-19 6.5243e+02
1.1340e-11 3.6839e-05 0.6204 1.5645e-26 3.3926e+01
1.1138e-11 3.6839e-05 0.6400 1.1188e-26 2.4261e+01
1.4869e-11 0.0000e+00 0.0000 2.0670e-25 4.4824e+02
1.2929e-11 0.0000e+00 0.0000 3.7060e-26 7.1982e+01
1.2034e-11 3.7437e-05 0.6437 1.1902e-26 2.3117e+01
1.2246e-11 3.7437e-05 0.6242 1.6643e-26 3.2326e+01
1.3888e-11 0.0000e+00 0.0000 7.8715e-26 1.5289e+02
8.4962e-09 0.0000e+00 0.0000 1.3430e-21 2.1104e+02
8.4962e-09 0.0000e+00 0.0000 1.3430e-21 2.1104e+02
8.4962e-09 0.0000e+00 0.0000 1.3430e-21 2.1104e+02
8.4962e-09 0.0000e+00 0.0000 1.3430e-21 2.1104e+02
8.6533e-12 3.5597e-04 0.5163 2.2326e-28 6.1214e-01
8.7365e-12 2.8478e-04 0.5246 6.3788e-28 1.7490e+00
8.7124e-12 1.2815e-03 0.5891 5.0233e-28 1.3773e+00
8.6410e-12 3.5597e-04 0.5111 1.7542e-28 4.8096e-01
9.9946e-13 1.3865e-04 0.5082 3.3378e-29 1.7583e+00
9.5785e-08 2.3406e-03 0.5029 4.7413e-22 3.3069e+00
1.0020e-07 2.3622e-03 0.4998 4.9119e-22 3.2169e+00
1.0020e-07 2.3622e-03 0.4998 4.9119e-22 3.2169e+00
2.3545e-09 1.1523e-04 0.6957 3.1199e-23 2.7712e+01
2.3664e-09 1.1536e-04 0.6959 3.1327e-23 2.7624e+01
2.1199e-09 1.1270e-04 0.6910 2.8646e-23 2.9624e+01
2.1917e-08 1.8256e-04 0.6748 1.6942e-21 6.4669e+01
5.1887e-08 0.0000e+00 0.0000 3.0548e-19 1.1660e+04
1.1270e-11 3.7088e-05 0.6680 7.1870e-27 1.4885e+01
1.1270e-11 3.7088e-05 0.6680 7.1870e-27 1.4885e+01
1.3797e-11 0.0000e+00 0.0000 1.0279e-25 2.1287e+02
1.3797e-11 0.0000e+00 0.0000 1.0279e-25 2.1287e+02
9.2164e-12 3.5577e-05 0.6587 6.1266e-27 1.6862e+01
1.1460e-11 0.0000e+00 0.0000 8.7621e-26 2.4115e+02
9.2164e-12 3.5577e-05 0.6587 6.1266e-27 1.6862e+01
