ecosystem.type,predator.species,PredatorMass,prey.species,PreyMass,attack.rate,handling.time
freshwater,Brachydanio rerio,0.00122086,Daphnia magna,1.29858e-07,4.78913360295452e-07,94.1112541313754
freshwater,Brachydanio rerio,0.00122086,Daphnia magna,1.29858e-07,4.87114164256902e-07,170.006562240382
freshwater,Ranatra dispar,0.00150553,Anisops deanei,1.2674e-05,3e-08,710.115906581111
freshwater,Ranatra dispar,0.00150553,Anisops deanei,1.2674e-05,4.99999379000016e-08,195.992032550708
freshwater,Ranatra dispar,0.00150553,Anisops deanei,1.2674e-05,8.00000437760331e-08,215.875064627436
freshwater,Ranatra dispar,0.00150553,Anisops deanei,1.2674e-05,1.10000028116029e-07,201.672873907651
marine,Salvelinus namaycush,0.004025,Daphnia pullicaria,1.71891e-07,2.51985358802816e-07,5534.12692632659
marine,Neomysis integer,9.1871e-06,Polyphemus pediculus,1.89581e-08,3.77778648179338e-07,9114.83279054574
marine,Neomysis integer,9.1871e-06,Polyphemus pediculus,1.89581e-08,1.72222206722225e-07,8545.15943264362
marine,Pomatomus saltatrix,0.140407,Menidia menidia,0.0100867,0.000196087485968028,0.0546779685736822
marine,Pomatomus saltatrix,0.0259642,Menidia menidia,0.00200239,0.000411334040421896,0.447125320667795
marine,Pomatomus saltatrix,0.136734,Morone saxatilis,0.0103546,0.000403310264821186,0.159650720796961
marine,Pomatomus saltatrix,0.0299838,Morone saxatilis,0.00177724,0.000352473013183491,0.301208864766194
freshwater,Piona exigua,6.76984e-08,Ceriodaphnia dubia,3.775e-09,1.97917377385628e-09,1826409.87769948
freshwater,Piona exigua,1.95856e-07,Ceriodaphnia dubia,3.775e-09,6.20368831456628e-09,1478529.07795415
freshwater,Piona exigua,3.82959e-07,Ceriodaphnia dubia,3.775e-09,4.76851507603078e-09,645425.415058562
freshwater,Piona exigua,6.76984e-08,Ceriodaphnia dubia,3.775e-09,1.11111141319123e-09,3240858.72450269
freshwater,Piona exigua,3.82959e-07,Ceriodaphnia dubia,3.775e-09,2.11805733091007e-09,1453350.06090808
freshwater,Piona exigua,6.76984e-08,Ceriodaphnia dubia,3.775e-09,1.85185286162973e-09,1950007.08340073
freshwater,Piona exigua,6.76984e-08,Ceriodaphnia dubia,3.775e-09,2.78935106246573e-09,1295427.44231551
freshwater,Piona exigua,6.76984e-08,Ceriodaphnia dubia,3.775e-09,2.18170622792967e-09,1611278.69304674
freshwater,Piona exigua,3.82959e-07,Ceriodaphnia dubia,3.775e-09,4.54861232286148e-09,677467.577417946
freshwater,Piona exigua,3.82959e-07,Ceriodaphnia dubia,3.775e-09,6.37730696689539e-09,480636.096881145
freshwater,Piona exigua,3.82959e-07,Ceriodaphnia dubia,3.775e-09,8.71528965740441e-09,1405286.18776176
