ecosystem.type,predator.species,PredatorMass,prey.species,PreyMass,attack.rate,handling.time
terrestrial,Neoseiulus californicus,1.28207e-08,Tetranychus urticae,1.23e-09,8.8750039176133e-09,13050141.0955155
terrestrial,Neoseiulus californicus,1.28207e-08,Tetranychus urticae,1.23e-09,1.20558851077115e-08,5848390.30659718
terrestrial,Neoseiulus californicus,1.28207e-08,Tetranychus urticae,1.23e-09,1.26056528399363e-08,4843024.0306978
terrestrial,Neoseiulus californicus,1.28207e-08,Tetranychus urticae,1.23e-09,1.39997316156736e-08,3896478.97015749
terrestrial,Neoseiulus californicus,1.28207e-08,Tetranychus urticae,1.23e-09,4.09780839600404e-08,2783711.95573942
terrestrial,Podisus nigrispinus,5.615e-05,Spodoptera exigua,1.84e-05,2.02499874163736e-06,587.347859871206
terrestrial,Podisus nigrispinus,5.615e-05,Spodoptera exigua,1.84e-05,1.74375048529009e-06,636.847788895046
terrestrial,Neoseiulus barkeri,1.22734e-08,Tetranychus urticae,1.72e-09,5.94786555960917e-09,512373.512912735
terrestrial,Neoseiulus barkeri,1.22734e-08,Tetranychus urticae,1.23e-09,5.39792404810619e-09,751609.176456564
terrestrial,Neoseiulus barkeri,1.22734e-08,Tetranychus urticae,2.2725e-08,7.4045825283625e-09,1422700.15842264
terrestrial,Phytoseiulus persimilis,1.309e-08,Tetranychus urticae,3.83e-09,1.55555284889528e-08,1362923.4369718
terrestrial,Phytoseiulus persimilis,1.309e-08,Tetranychus urticae,1.23e-09,4.69444946797171e-08,2546339.8846839
terrestrial,Phytoseiulus persimilis,1.309e-08,Tetranychus urticae,1.72e-09,1e-08,1004650.64840957
terrestrial,Phytoseiulus persimilis,1.309e-08,Tetranychus urticae,8.135e-09,2.05555367554408e-08,1190413.11983822
terrestrial,Coenosia attenuata,3.2355e-06,Drosophila melanogaster,7e-07,1.42397163391697e-07,15980.2969330934
terrestrial,Coenosia attenuata,3.2355e-06,Drosophila melanogaster,7e-07,3.43353495791153e-07,13141.8478489423
terrestrial,Coenosia attenuata,3.2355e-06,Drosophila melanogaster,7e-07,7.62803721814153e-08,78741.2734983645
terrestrial,Coenosia attenuata,3.2355e-06,Drosophila melanogaster,7e-07,4.90306131420232e-07,10246.4580556116
terrestrial,Macrobiotus richtersi,1.07e-08,Acrobeloides nanus,2.8e-11,2.10666672424888e-09,7321426.74107189
terrestrial,Macrobiotus richtersi,1.07e-08,Acrobeloides nanus,8e-11,1.77749966218607e-09,4525001.53850052
terrestrial,Macrobiotus richtersi,1.07e-08,Pelodera teres,6.3e-11,1.4483346994764e-09,6111117.22222833
terrestrial,Macrobiotus richtersi,1.07e-08,Pelodera teres,2.2e-11,1.54708380983499e-09,5999998.08000061
terrestrial,Macrobiotus richtersi,1.9e-09,Pelodera teres,2.2e-11,8.88749831093037e-10,16454551.0490928
terrestrial,Cycloneda sanguinea,2e-05,Aphis gossypii,4.3e-08,4.77129809761763e-07,11720.9124167713
terrestrial,Cycloneda sanguinea,2.075e-05,Aphis gossypii,4.3e-08,4.24115328904246e-07,4437.20942656745
terrestrial,Cycloneda sanguinea,2.075e-05,Aphis gossypii,4.3e-08,1.21933011825329e-06,3599.99906400024
terrestrial,Scymnus levaillanti,1.175e-06,Aphis gossypii,4.3e-08,7.77545814192186e-08,149023.19024375
terrestrial,Scymnus levaillanti,1.18e-06,Aphis gossypii,4.3e-08,2.2972837251769e-07,57767.5121057598
terrestrial,Scymnus levaillanti,1.075e-06,Aphis gossypii,4.3e-08,2.82742629558149e-07,56092.9824201228
terrestrial,Harmonia axyridis,7.40176e-06,Danaus plexippus,3.99e-07,6.66361142904518e-07,8661.6497005737
terrestrial,Harmonia axyridis,7.40176e-06,Danaus plexippus,7.19423e-05,1.479981842361e-07,60.0482467980408
terrestrial,Amblyseius andersoni,1.26079e-08,Panonychus ulmi,7.7e-10,3.69224519500726e-08,5516880.68945561
terrestrial,Amblyseius andersoni,1.26079e-08,Panonychus ulmi,7.7e-10,1.49574744216521e-08,5470127.6601983
terrestrial,Amblyseius andersoni,1.26079e-08,Panonychus ulmi,1.10123e-08,2.14850212290881e-08,2383156.35816773
terrestrial,Amblyseius andersoni,1.26079e-08,Panonychus ulmi,1.10123e-08,5.72466616091912e-09,2899671.14958528
terrestrial,Euseius finlandicus,1.06765e-08,Panonychus ulmi,7.7e-10,1.13620776807793e-08,7807792.14532987
terrestrial,Euseius finlandicus,1.06765e-08,Panonychus ulmi,1.10123e-08,5.73339716867683e-09,2553147.77380057
terrestrial,Euseius finlandicus,1.06765e-08,Panonychus ulmi,7.7e-10,3.26377286194836e-09,7387001.22690703
terrestrial,Euseius finlandicus,1.06765e-08,Panonychus ulmi,1.10123e-08,1.62315296566077e-09,4851297.21639834
terrestrial,Harmonia axyridis,7.40176e-06,Aphis gossypii,5.51e-08,5.18103620724145e-08,49001.8638838966
terrestrial,Harmonia axyridis,3.95522e-05,Aphis gossypii,5.51e-08,4.65862161437383e-08,13929.5573924927
terrestrial,Harmonia axyridis,1.67122e-05,Aphis gossypii,5.51e-08,2.10127756559669e-08,11159.3713002151
terrestrial,Harmonia axyridis,7.40176e-06,Aphis gossypii,5.51e-08,6.37890946850416e-09,160562.139611253
terrestrial,Harmonia axyridis,7.4676e-07,Aphis gossypii,5.51e-08,5.33978057315805e-10,267883.220810326
terrestrial,Scolothrips takahashii,2.93318e-07,Tetranychus viennensis,8.43e-10,2.23838498077358e-08,1712454.6823913
terrestrial,Scolothrips takahashii,1.55931e-07,Tetranychus viennensis,8.43e-10,2.86669557675629e-08,3262637.74819868
terrestrial,Scolothrips takahashii,1.55931e-07,Tetranychus viennensis,8.43e-10,2.51326782941597e-08,1938791.06702404
terrestrial,Scolothrips takahashii,1.55931e-07,Tetranychus viennensis,8.43e-10,4.20187749325217e-08,4419934.20026276
terrestrial,Scolothrips takahashii,2.93318e-07,Tetranychus viennensis,8.43e-10,3.29867476187127e-08,1404982.79706046
terrestrial,Scolothrips takahashii,2.93318e-07,Tetranychus viennensis,8.43e-10,1.29590667370563e-08,2946622.80017518
terrestrial,Scolothrips takahashii,1.55931e-07,Tetranychus viennensis,8.43e-10,9.22845918959614e-09,5406398.95541452
terrestrial,Scolothrips takahashii,2.93318e-07,Tetranychus viennensis,8.43e-10,3.65210645048879e-08,1191459.40405248
terrestrial,Picromerus bidens,0.0001087,Spodoptera exigua,1.78e-05,4.61806684095245e-07,859.550260955161
terrestrial,Picromerus bidens,0.0001087,Spodoptera exigua,1.78e-05,4.61805093288195e-07,289.21377235984
terrestrial,Podisus maculiventris,6.50027e-05,Spodoptera exigua,2e-05,2.86495564852491e-07,555.659896136052
terrestrial,Podisus nigrispinus,6.65624e-05,Spodoptera exigua,2e-05,2.43735230925478e-07,687.599959844162
terrestrial,Podisus nigrispinus,6.65624e-05,Spodoptera exigua,2e-05,2.1807911186398e-07,267.479805274702
terrestrial,Dicyphus tamaninii,1.52988e-06,Frankliniella occidentalis,2.17965e-07,1.27212603033702e-07,3517.99876664451
terrestrial,Macrolophus caliginosus,3.48333e-06,Frankliniella occidentalis,2.17965e-07,1.05832494267284e-07,5632.09405320961
terrestrial,Orius laevigatus,3.62e-07,Frankliniella occidentalis,2.17965e-07,3.54912833648752e-07,4624.5979857695
terrestrial,Orius majusculus,1.33994e-06,Frankliniella occidentalis,2.17965e-07,7.35479175011969e-07,6094.55893987851
terrestrial,Dicyphus tamaninii,1.52988e-06,Trialeurodes vaporariorum,5.71667e-08,1.97767548344921e-07,23992.9735314791
terrestrial,Macrolophus caliginosus,3.48333e-06,Trialeurodes vaporariorum,5.71667e-08,1.32557798552544e-07,77394.8259678905
terrestrial,Orius laevigatus,3.62e-07,Trialeurodes vaporariorum,5.71667e-08,3.26049416118436e-07,97420.3530340258
terrestrial,Orius majusculus,1.33994e-06,Trialeurodes vaporariorum,5.71667e-08,8.57350395128312e-07,48993.5362337564
