Volume Mass Radius Surface Stroke Energy Bs Bt Detection ForSpeed  ForCost
1.1304e-06 1.2209e-03 6.4623e-03 1.3120e-04 6.5424e-02 4.4928e+03 5.7100e-12 3.2605e-24 1.5516e-03 7.6067e-02 3.1943e-05
1.1304e-06 1.2209e-03 6.4623e-03 1.3120e-04 6.5424e-02 4.4928e+03 5.7100e-12 3.2605e-24 1.5516e-03 7.6067e-02 3.1943e-05
1.3940e-06 1.5055e-03 6.9299e-03 1.5087e-04 6.8943e-02 5.5404e+03 6.9827e-12 4.8758e-24 1.7194e-03 7.9191e-02 4.0731e-05
1.3940e-06 1.5055e-03 6.9299e-03 1.5087e-04 6.8943e-02 5.5404e+03 6.9827e-12 4.8758e-24 1.7194e-03 7.9191e-02 4.0731e-05
1.3940e-06 1.5055e-03 6.9299e-03 1.5087e-04 6.8943e-02 5.5404e+03 6.9827e-12 4.8758e-24 1.7194e-03 7.9191e-02 4.0731e-05
1.3940e-06 1.5055e-03 6.9299e-03 1.5087e-04 6.8943e-02 5.5404e+03 6.9827e-12 4.8758e-24 1.7194e-03 7.9191e-02 4.0731e-05
3.7269e-06 4.0250e-03 9.6180e-03 2.9062e-04 8.8158e-02 1.4812e+04 1.7948e-11 3.2213e-23 2.7839e-03 9.4332e-02 1.2266e-04
8.5066e-09 9.1871e-06 1.2664e-03 5.0380e-06 1.9269e-02 3.3809e+01 5.2251e-14 2.7301e-28 1.4134e-04 2.1725e-02 1.3956e-07
8.5066e-09 9.1871e-06 1.2664e-03 5.0380e-06 1.9269e-02 3.3809e+01 5.2251e-14 2.7301e-28 1.4134e-04 2.1725e-02 1.3956e-07
1.3001e-04 1.4041e-01 3.1426e-02 3.1027e-03 2.1425e-01 5.1670e+05 5.4317e-10 2.9503e-20 1.5869e-02 2.2656e-01 1.2287e-02
2.4041e-05 2.5964e-02 1.7904e-02 1.0071e-03 1.4050e-01 9.5548e+04 1.0746e-10 1.1547e-21 6.9401e-03 1.5451e-01 1.3927e-03
1.2661e-04 1.3673e-01 3.1150e-02 3.0483e-03 2.1283e-01 5.0318e+05 5.2952e-10 2.8039e-20 1.5664e-02 2.2618e-01 1.2111e-02
2.7763e-05 2.9984e-02 1.8784e-02 1.1085e-03 1.4564e-01 1.1034e+05 1.2338e-10 1.5223e-21 7.4472e-03 1.6320e-01 1.8233e-03
6.2684e-11 6.7698e-08 2.4643e-04 1.9078e-07 5.6456e-03 2.4913e-01 4.6859e-16 2.1958e-32 1.2744e-05 3.9597e-03 5.2200e-09
1.8135e-10 1.9586e-07 3.5114e-04 3.8735e-07 7.3630e-03 7.2075e-01 1.2993e-15 1.6881e-31 2.1447e-05 6.4215e-03 3.7667e-09
3.5459e-10 3.8296e-07 4.3908e-04 6.0568e-07 8.7068e-03 1.4093e+00 2.4732e-15 6.1169e-31 2.9790e-05 8.0645e-03 3.5177e-09
6.2684e-11 6.7698e-08 2.4643e-04 1.9078e-07 5.6456e-03 2.4913e-01 4.6859e-16 2.1958e-32 1.2744e-05 3.9597e-03 5.2200e-09
3.5459e-10 3.8296e-07 4.3908e-04 6.0568e-07 8.7068e-03 1.4093e+00 2.4732e-15 6.1169e-31 2.9790e-05 8.0645e-03 3.5177e-09
6.2684e-11 6.7698e-08 2.4643e-04 1.9078e-07 5.6456e-03 2.4913e-01 4.6859e-16 2.1958e-32 1.2744e-05 3.9597e-03 5.2200e-09
6.2684e-11 6.7698e-08 2.4643e-04 1.9078e-07 5.6456e-03 2.4913e-01 4.6859e-16 2.1958e-32 1.2744e-05 3.9597e-03 5.2200e-09
6.2684e-11 6.7698e-08 2.4643e-04 1.9078e-07 5.6456e-03 2.4913e-01 4.6859e-16 2.1958e-32 1.2744e-05 3.9597e-03 5.2200e-09
3.5459e-10 3.8296e-07 4.3908e-04 6.0568e-07 8.7068e-03 1.4093e+00 2.4732e-15 6.1169e-31 2.9790e-05 8.0645e-03 3.5177e-09
3.5459e-10 3.8296e-07 4.3908e-04 6.0568e-07 8.7068e-03 1.4093e+00 2.4732e-15 6.1169e-31 2.9790e-05 8.0645e-03 3.5177e-09
3.5459e-10 3.8296e-07 4.3908e-04 6.0568e-07 8.7068e-03 1.4093e+00 2.4732e-15 6.1169e-31 2.9790e-05 8.0645e-03 3.5177e-09
3.5459e-10 3.8296e-07 4.3908e-04 6.0568e-07 8.7068e-03 1.4093e+00 2.4732e-15 6.1169e-31 2.9790e-05 8.0645e-03 3.5177e-09
6.2684e-11 6.7698e-08 2.4643e-04 1.9078e-07 5.6456e-03 2.4913e-01 4.6859e-16 2.1958e-32 1.2744e-05 3.9597e-03 5.2200e-09
6.2684e-11 6.7698e-08 2.4643e-04 1.9078e-07 5.6456e-03 2.4913e-01 4.6859e-16 2.1958e-32 1.2744e-05 3.9597e-03 5.2200e-09
6.2684e-11 6.7698e-08 2.4643e-04 1.9078e-07 5.6456e-03 2.4913e-01 4.6859e-16 2.1958e-32 1.2744e-05 3.9597e-03 5.2200e-09
3.5459e-10 3.8296e-07 4.3908e-04 6.0568e-07 8.7068e-03 1.4093e+00 2.4732e-15 6.1169e-31 2.9790e-05 8.0645e-03 3.5177e-09
6.2684e-11 6.7698e-08 2.4643e-04 1.9078e-07 5.6456e-03 2.4913e-01 4.6859e-16 2.1958e-32 1.2744e-05 3.9597e-03 5.2200e-09
3.5459e-10 3.8296e-07 4.3908e-04 6.0568e-07 8.7068e-03 1.4093e+00 2.4732e-15 6.1169e-31 2.9790e-05 8.0645e-03 3.5177e-09
3.5459e-10 3.8296e-07 4.3908e-04 6.0568e-07 8.7068e-03 1.4093e+00 2.4732e-15 6.1169e-31 2.9790e-05 8.0645e-03 3.5177e-09
1.8135e-10 1.9586e-07 3.5114e-04 3.8735e-07 7.3630e-03 7.2075e-01 1.2993e-15 1.6881e-31 2.1447e-05 6.4215e-03 3.7667e-09
6.2684e-11 6.7698e-08 2.4643e-04 1.9078e-07 5.6456e-03 2.4913e-01 4.6859e-16 2.1958e-32 1.2744e-05 3.9597e-03 5.2200e-09
1.8135e-10 1.9586e-07 3.5114e-04 3.8735e-07 7.3630e-03 7.2075e-01 1.2993e-15 1.6881e-31 2.1447e-05 6.4215e-03 3.7667e-09
3.5459e-10 3.8296e-07 4.3908e-04 6.0568e-07 8.7068e-03 1.4093e+00 2.4732e-15 6.1169e-31 2.9790e-05 8.0645e-03 3.5177e-09
6.2684e-11 6.7698e-08 2.4643e-04 1.9078e-07 5.6456e-03 2.4913e-01 4.6859e-16 2.1958e-32 1.2744e-05 3.9597e-03 5.2200e-09
3.5459e-10 3.8296e-07 4.3908e-04 6.0568e-07 8.7068e-03 1.4093e+00 2.4732e-15 6.1169e-31 2.9790e-05 8.0645e-03 3.5177e-09
3.5459e-10 3.8296e-07 4.3908e-04 6.0568e-07 8.7068e-03 1.4093e+00 2.4732e-15 6.1169e-31 2.9790e-05 8.0645e-03 3.5177e-09
3.5459e-10 3.8296e-07 4.3908e-04 6.0568e-07 8.7068e-03 1.4093e+00 2.4732e-15 6.1169e-31 2.9790e-05 8.0645e-03 3.5177e-09
1.8135e-10 1.9586e-07 3.5114e-04 3.8735e-07 7.3630e-03 7.2075e-01 1.2993e-15 1.6881e-31 2.1447e-05 6.4215e-03 3.7667e-09
6.2684e-11 6.7698e-08 2.4643e-04 1.9078e-07 5.6456e-03 2.4913e-01 4.6859e-16 2.1958e-32 1.2744e-05 3.9597e-03 5.2200e-09
6.2684e-11 6.7698e-08 2.4643e-04 1.9078e-07 5.6456e-03 2.4913e-01 4.6859e-16 2.1958e-32 1.2744e-05 3.9597e-03 5.2200e-09
1.8135e-10 1.9586e-07 3.5114e-04 3.8735e-07 7.3630e-03 7.2075e-01 1.2993e-15 1.6881e-31 2.1447e-05 6.4215e-03 3.7667e-09
3.5459e-10 3.8296e-07 4.3908e-04 6.0568e-07 8.7068e-03 1.4093e+00 2.4732e-15 6.1169e-31 2.9790e-05 8.0645e-03 3.5177e-09
3.5459e-10 3.8296e-07 4.3908e-04 6.0568e-07 8.7068e-03 1.4093e+00 2.4732e-15 6.1169e-31 2.9790e-05 8.0645e-03 3.5177e-09
3.5459e-10 3.8296e-07 4.3908e-04 6.0568e-07 8.7068e-03 1.4093e+00 2.4732e-15 6.1169e-31 2.9790e-05 8.0645e-03 3.5177e-09
3.5459e-10 3.8296e-07 4.3908e-04 6.0568e-07 8.7068e-03 1.4093e+00 2.4732e-15 6.1169e-31 2.9790e-05 8.0645e-03 3.5177e-09
3.5459e-10 3.8296e-07 4.3908e-04 6.0568e-07 8.7068e-03 1.4093e+00 2.4732e-15 6.1169e-31 2.9790e-05 8.0645e-03 3.5177e-09
6.2684e-11 6.7698e-08 2.4643e-04 1.9078e-07 5.6456e-03 2.4913e-01 4.6859e-16 2.1958e-32 1.2744e-05 3.9597e-03 5.2200e-09
6.2684e-11 6.7698e-08 2.4643e-04 1.9078e-07 5.6456e-03 2.4913e-01 4.6859e-16 2.1958e-32 1.2744e-05 3.9597e-03 5.2200e-09
3.5459e-10 3.8296e-07 4.3908e-04 6.0568e-07 8.7068e-03 1.4093e+00 2.4732e-15 6.1169e-31 2.9790e-05 8.0645e-03 3.5177e-09
6.2684e-11 6.7698e-08 2.4643e-04 1.9078e-07 5.6456e-03 2.4913e-01 4.6859e-16 2.1958e-32 1.2744e-05 3.9597e-03 5.2200e-09
3.5459e-10 3.8296e-07 4.3908e-04 6.0568e-07 8.7068e-03 1.4093e+00 2.4732e-15 6.1169e-31 2.9790e-05 8.0645e-03 3.5177e-09
3.5459e-10 3.8296e-07 4.3908e-04 6.0568e-07 8.7068e-03 1.4093e+00 2.4732e-15 6.1169e-31 2.9790e-05 8.0645e-03 3.5177e-09
1.8135e-10 1.9586e-07 3.5114e-04 3.8735e-07 7.3630e-03 7.2075e-01 1.2993e-15 1.6881e-31 2.1447e-05 6.4215e-03 3.7667e-09
3.5459e-10 3.8296e-07 4.3908e-04 6.0568e-07 8.7068e-03 1.4093e+00 2.4732e-15 6.1169e-31 2.9790e-05 8.0645e-03 3.5177e-09
3.5459e-10 3.8296e-07 4.3908e-04 6.0568e-07 8.7068e-03 1.4093e+00 2.4732e-15 6.1169e-31 2.9790e-05 8.0645e-03 3.5177e-09
3.5101e-08 3.7909e-05 2.0312e-03 1.2961e-05 2.7463e-02 1.3951e+02 2.0372e-13 4.1502e-27 2.8308e-04 2.8477e-02 3.8568e-07
3.5101e-08 3.7909e-05 2.0312e-03 1.2961e-05 2.7463e-02 1.3951e+02 2.0372e-13 4.1502e-27 2.8308e-04 2.8477e-02 3.8568e-07
2.1871e-07 2.3621e-04 3.7376e-03 4.3887e-05 4.3390e-02 8.6925e+02 1.1798e-12 1.3919e-25 6.9380e-04 5.2603e-02 4.1652e-06
3.6209e-09 3.9106e-06 9.5260e-04 2.8508e-06 1.5564e-02 1.4391e+01 2.3014e-14 5.2964e-29 9.3008e-05 1.3059e-02 2.1204e-08
3.6209e-09 3.9106e-06 9.5260e-04 2.8508e-06 1.5564e-02 1.4391e+01 2.3014e-14 5.2964e-29 9.3008e-05 1.3059e-02 2.1204e-08
3.1276e-09 3.3778e-06 9.0721e-04 2.5856e-06 1.5005e-02 1.2430e+01 1.9995e-14 3.9981e-29 8.6567e-05 1.4459e-02 2.2008e-08
1.9444e-08 2.1000e-05 1.6682e-03 8.7422e-06 2.3693e-02 7.7280e+01 1.1555e-13 1.3352e-27 2.1194e-04 4.4407e-02 1.0405e-05
1.9444e-08 2.1000e-05 1.6682e-03 8.7422e-06 2.3693e-02 7.7280e+01 1.1555e-13 1.3352e-27 2.1194e-04 4.4407e-02 1.0405e-05
1.5741e-08 1.7000e-05 1.5547e-03 7.5935e-06 2.2474e-02 6.2560e+01 9.4335e-14 8.8990e-28 1.9109e-04 4.1788e-02 7.9318e-06
1.5741e-08 1.7000e-05 1.5547e-03 7.5935e-06 2.2474e-02 6.2560e+01 9.4335e-14 8.8990e-28 1.9109e-04 4.1788e-02 7.9318e-06
1.5741e-08 1.7000e-05 1.5547e-03 7.5935e-06 2.2474e-02 6.2560e+01 9.4335e-14 8.8990e-28 1.9109e-04 4.1788e-02 7.9318e-06
