Volume Mass Radius Surface Stroke Energy Bs Bt Detection ForSpeed  ForCost
1.1871e-11 1.2821e-08 1.4151e-04 6.2914e-08 3.7243e-03 4.7180e-02 9.4850e-17 8.9965e-34 5.6389e-06 1.0764e-01 5.8976e-09
1.1871e-11 1.2821e-08 1.4151e-04 6.2914e-08 3.7243e-03 4.7180e-02 9.4850e-17 8.9965e-34 5.6389e-06 1.0764e-01 5.8976e-09
1.1871e-11 1.2821e-08 1.4151e-04 6.2914e-08 3.7243e-03 4.7180e-02 9.4850e-17 8.9965e-34 5.6389e-06 1.0764e-01 5.8976e-09
1.1871e-11 1.2821e-08 1.4151e-04 6.2914e-08 3.7243e-03 4.7180e-02 9.4850e-17 8.9965e-34 5.6389e-06 1.0764e-01 5.8976e-09
1.1871e-11 1.2821e-08 1.4151e-04 6.2914e-08 3.7243e-03 4.7180e-02 9.4850e-17 8.9965e-34 5.6389e-06 1.0764e-01 5.8976e-09
5.1991e-08 5.6150e-05 2.3153e-03 1.6841e-05 3.0297e-02 2.0663e+02 2.9704e-13 8.8233e-27 3.4316e-04 6.7194e-01 1.6752e-04
5.1991e-08 5.6150e-05 2.3153e-03 1.6841e-05 3.0297e-02 2.0663e+02 2.9704e-13 8.8233e-27 3.4316e-04 6.7194e-01 1.6752e-04
1.1364e-11 1.2273e-08 1.3947e-04 6.1111e-08 3.6839e-03 4.5166e-02 9.0959e-17 8.2736e-34 5.5197e-06 1.0640e-01 5.5863e-09
1.1364e-11 1.2273e-08 1.3947e-04 6.1111e-08 3.6839e-03 4.5166e-02 9.0959e-17 8.2736e-34 5.5197e-06 1.0640e-01 5.5863e-09
1.1364e-11 1.2273e-08 1.3947e-04 6.1111e-08 3.6839e-03 4.5166e-02 9.0959e-17 8.2736e-34 5.5197e-06 1.0640e-01 5.5863e-09
1.2120e-11 1.3090e-08 1.4250e-04 6.3792e-08 3.7437e-03 4.8171e-02 9.6761e-17 9.3628e-34 5.6967e-06 1.0824e-01 6.0531e-09
1.2120e-11 1.3090e-08 1.4250e-04 6.3792e-08 3.7437e-03 4.8171e-02 9.6761e-17 9.3628e-34 5.6967e-06 1.0824e-01 6.0531e-09
1.2120e-11 1.3090e-08 1.4250e-04 6.3792e-08 3.7437e-03 4.8171e-02 9.6761e-17 9.3628e-34 5.6967e-06 1.0824e-01 6.0531e-09
1.2120e-11 1.3090e-08 1.4250e-04 6.3792e-08 3.7437e-03 4.8171e-02 9.6761e-17 9.3628e-34 5.6967e-06 1.0824e-01 6.0531e-09
2.9958e-09 3.2355e-06 8.9429e-04 2.5125e-06 1.4844e-02 1.1907e+01 1.9186e-14 3.6810e-29 8.4760e-05 3.2629e-01 4.7207e-06
2.9958e-09 3.2355e-06 8.9429e-04 2.5125e-06 1.4844e-02 1.1907e+01 1.9186e-14 3.6810e-29 8.4760e-05 3.2629e-01 4.7207e-06
2.9958e-09 3.2355e-06 8.9429e-04 2.5125e-06 1.4844e-02 1.1907e+01 1.9186e-14 3.6810e-29 8.4760e-05 3.2629e-01 4.7207e-06
2.9958e-09 3.2355e-06 8.9429e-04 2.5125e-06 1.4844e-02 1.1907e+01 1.9186e-14 3.6810e-29 8.4760e-05 3.2629e-01 4.7207e-06
9.9074e-12 1.0700e-08 1.3324e-04 5.5770e-08 3.5597e-03 3.9376e-02 7.9735e-17 6.3577e-34 5.1608e-06 1.0258e-01 4.7065e-09
9.9074e-12 1.0700e-08 1.3324e-04 5.5770e-08 3.5597e-03 3.9376e-02 7.9735e-17 6.3577e-34 5.1608e-06 1.0258e-01 4.7065e-09
9.9074e-12 1.0700e-08 1.3324e-04 5.5770e-08 3.5597e-03 3.9376e-02 7.9735e-17 6.3577e-34 5.1608e-06 1.0258e-01 4.7065e-09
9.9074e-12 1.0700e-08 1.3324e-04 5.5770e-08 3.5597e-03 3.9376e-02 7.9735e-17 6.3577e-34 5.1608e-06 1.0258e-01 4.7065e-09
1.7593e-12 1.9000e-09 7.4888e-05 1.7619e-08 2.3108e-03 6.9920e-03 1.5172e-17 2.3019e-35 2.2126e-06 6.3873e-02 5.4520e-10
1.8519e-08 2.0000e-05 1.6412e-03 8.4624e-06 2.3406e-02 7.3600e+01 1.1026e-13 1.2158e-27 2.0693e-04 7.0164e-01 5.7555e-05
1.9213e-08 2.0750e-05 1.6615e-03 8.6727e-06 2.3622e-02 7.6360e+01 1.1423e-13 1.3048e-27 2.1070e-04 7.0813e-01 6.0266e-05
1.9213e-08 2.0750e-05 1.6615e-03 8.6727e-06 2.3622e-02 7.6360e+01 1.1423e-13 1.3048e-27 2.1070e-04 7.0813e-01 6.0266e-05
1.0880e-09 1.1750e-06 6.3803e-04 1.2789e-06 1.1523e-02 4.3240e+00 7.2557e-15 5.2645e-30 5.1599e-05 2.5264e-01 1.3313e-06
1.0926e-09 1.1800e-06 6.3893e-04 1.2825e-06 1.1536e-02 4.3424e+00 7.2853e-15 5.3076e-30 5.1706e-05 2.5292e-01 1.3384e-06
9.9537e-10 1.0750e-06 6.1939e-04 1.2053e-06 1.1270e-02 3.9560e+00 6.6618e-15 4.4380e-30 4.9398e-05 2.4702e-01 1.1912e-06
6.8535e-09 7.4018e-06 1.1783e-03 4.3621e-06 1.8256e-02 2.7238e+01 4.2462e-14 1.8030e-28 1.2714e-04 4.0089e-01 1.3267e-05
6.8535e-09 7.4018e-06 1.1783e-03 4.3621e-06 1.8256e-02 2.7238e+01 4.2462e-14 1.8030e-28 1.2714e-04 4.0089e-01 1.3267e-05
1.1674e-11 1.2608e-08 1.4073e-04 6.2216e-08 3.7088e-03 4.6397e-02 9.3338e-17 8.7119e-34 5.5929e-06 1.0716e-01 5.7753e-09
1.1674e-11 1.2608e-08 1.4073e-04 6.2216e-08 3.7088e-03 4.6397e-02 9.3338e-17 8.7119e-34 5.5929e-06 1.0716e-01 5.7753e-09
1.1674e-11 1.2608e-08 1.4073e-04 6.2216e-08 3.7088e-03 4.6397e-02 9.3338e-17 8.7119e-34 5.5929e-06 1.0716e-01 5.7753e-09
1.1674e-11 1.2608e-08 1.4073e-04 6.2216e-08 3.7088e-03 4.6397e-02 9.3338e-17 8.7119e-34 5.5929e-06 1.0716e-01 5.7753e-09
9.8856e-12 1.0676e-08 1.3314e-04 5.5688e-08 3.5577e-03 3.9290e-02 7.9567e-17 6.3309e-34 5.1553e-06 1.0252e-01 4.6936e-09
9.8856e-12 1.0676e-08 1.3314e-04 5.5688e-08 3.5577e-03 3.9290e-02 7.9567e-17 6.3309e-34 5.1553e-06 1.0252e-01 4.6936e-09
