Volume Mass Radius Surface Stroke Energy Bs Bt Detection ForSpeed  ForCost
1.2024e-10 1.2986e-07 3.0619e-04 2.9452e-07 6.6441e-03 4.7788e-01 8.7573e-16 7.6690e-32 1.7536e-05 5.4713e-03 5.3440e-09
1.2024e-10 1.2986e-07 3.0619e-04 2.9452e-07 6.6441e-03 4.7788e-01 8.7573e-16 7.6690e-32 1.7536e-05 5.4713e-03 5.3440e-09
1.1735e-08 1.2674e-05 1.4097e-03 6.2433e-06 2.0883e-02 4.6640e+01 7.1160e-14 5.0638e-28 1.6548e-04 2.2195e-02 1.2276e-07
1.1735e-08 1.2674e-05 1.4097e-03 6.2433e-06 2.0883e-02 4.6640e+01 7.1160e-14 5.0638e-28 1.6548e-04 2.2195e-02 1.2276e-07
1.1735e-08 1.2674e-05 1.4097e-03 6.2433e-06 2.0883e-02 4.6640e+01 7.1160e-14 5.0638e-28 1.6548e-04 2.2195e-02 1.2276e-07
1.1735e-08 1.2674e-05 1.4097e-03 6.2433e-06 2.0883e-02 4.6640e+01 7.1160e-14 5.0638e-28 1.6548e-04 2.2195e-02 1.2276e-07
1.5916e-10 1.7189e-07 3.3619e-04 3.5507e-07 7.1266e-03 6.3256e-01 1.1463e-15 1.3139e-31 2.0118e-05 6.0118e-03 3.1921e-09
1.7554e-11 1.8958e-08 1.6122e-04 8.1659e-08 4.1069e-03 6.9766e-02 1.3808e-16 1.9065e-33 6.8303e-06 1.8846e-03 8.7785e-10
1.7554e-11 1.8958e-08 1.6122e-04 8.1659e-08 4.1069e-03 6.9766e-02 1.3808e-16 1.9065e-33 6.8303e-06 1.8846e-03 8.7785e-10
9.3395e-06 1.0087e-02 1.3064e-02 5.3618e-04 1.1092e-01 3.7119e+04 4.3355e-11 1.8797e-22 4.3667e-03 1.7852e-01 9.3895e-04
1.8541e-06 2.0024e-03 7.6210e-03 1.8246e-04 7.4038e-02 7.3688e+03 9.1818e-12 8.4305e-24 1.9773e-03 8.3261e-02 5.5853e-05
