Volume Mass Radius Surface Stroke Energy Bs Bt Detection ForSpeed  ForCost
1.1389e-12 1.2300e-09 6.4783e-05 1.3185e-08 2.0727e-03 4.5264e-03 9.9942e-18 9.9885e-36 1.7880e-06 5.6404e-02 3.1709e-10
1.1389e-12 1.2300e-09 6.4783e-05 1.3185e-08 2.0727e-03 4.5264e-03 9.9942e-18 9.9885e-36 1.7880e-06 5.6404e-02 3.1709e-10
1.1389e-12 1.2300e-09 6.4783e-05 1.3185e-08 2.0727e-03 4.5264e-03 9.9942e-18 9.9885e-36 1.7880e-06 5.6404e-02 3.1709e-10
1.1389e-12 1.2300e-09 6.4783e-05 1.3185e-08 2.0727e-03 4.5264e-03 9.9942e-18 9.9885e-36 1.7880e-06 5.6404e-02 3.1709e-10
1.1389e-12 1.2300e-09 6.4783e-05 1.3185e-08 2.0727e-03 4.5264e-03 9.9942e-18 9.9885e-36 1.7880e-06 5.6404e-02 3.1709e-10
1.7037e-08 1.8400e-05 1.5963e-03 8.0049e-06 2.2923e-02 6.7712e+01 1.0178e-13 1.0359e-27 1.9865e-04 6.8714e-01 5.1858e-05
1.7037e-08 1.8400e-05 1.5963e-03 8.0049e-06 2.2923e-02 6.7712e+01 1.0178e-13 1.0359e-27 1.9865e-04 6.8714e-01 5.1858e-05
1.5926e-12 1.7200e-09 7.2444e-05 1.6488e-08 2.2540e-03 6.3296e-03 1.3789e-17 1.9015e-35 2.1073e-06 6.2095e-02 4.8160e-10
1.1389e-12 1.2300e-09 6.4783e-05 1.3185e-08 2.0727e-03 4.5264e-03 9.9942e-18 9.9885e-36 1.7880e-06 5.6404e-02 3.1709e-10
2.1042e-11 2.2725e-08 1.7126e-04 9.2146e-08 4.2973e-03 8.3628e-02 1.6432e-16 2.7000e-33 7.4646e-06 1.2521e-01 1.2052e-08
3.5463e-12 3.8300e-09 9.4601e-05 2.8115e-08 2.7534e-03 1.4094e-02 2.9738e-17 8.8435e-35 3.1195e-06 7.7668e-02 1.3063e-09
1.1389e-12 1.2300e-09 6.4783e-05 1.3185e-08 2.0727e-03 4.5264e-03 9.9942e-18 9.9885e-36 1.7880e-06 5.6404e-02 3.1709e-10
1.5926e-12 1.7200e-09 7.2444e-05 1.6488e-08 2.2540e-03 6.3296e-03 1.3789e-17 1.9015e-35 2.1073e-06 6.2095e-02 4.8160e-10
7.5324e-12 8.1350e-09 1.2160e-04 4.6457e-08 3.3240e-03 2.9937e-02 6.1289e-17 3.7564e-34 4.5123e-06 9.5320e-02 3.3433e-09
6.4815e-10 7.0000e-07 5.3686e-04 9.0547e-07 1.0124e-02 2.5760e+00 4.4130e-15 1.9475e-30 4.0033e-05 2.2155e-01 6.9700e-07
6.4815e-10 7.0000e-07 5.3686e-04 9.0547e-07 1.0124e-02 2.5760e+00 4.4130e-15 1.9475e-30 4.0033e-05 2.2155e-01 6.9700e-07
6.4815e-10 7.0000e-07 5.3686e-04 9.0547e-07 1.0124e-02 2.5760e+00 4.4130e-15 1.9475e-30 4.0033e-05 2.2155e-01 6.9700e-07
6.4815e-10 7.0000e-07 5.3686e-04 9.0547e-07 1.0124e-02 2.5760e+00 4.4130e-15 1.9475e-30 4.0033e-05 2.2155e-01 6.9700e-07
2.5926e-14 2.8000e-11 1.8360e-05 1.0590e-09 8.0511e-04 1.0304e-04 2.6467e-19 7.0053e-39 2.8017e-07 1.6052e-02 2.8886e-12
7.4074e-14 8.0000e-11 2.6053e-05 2.1324e-09 1.0467e-03 2.9440e-04 7.2511e-19 5.2579e-38 4.6863e-07 2.3739e-02 1.0617e-11
5.8333e-14 6.3000e-11 2.4059e-05 1.8185e-09 9.8606e-04 2.3184e-04 5.7651e-19 3.3236e-38 4.1687e-07 2.1795e-02 7.8941e-12
2.0370e-14 2.2000e-11 1.6942e-05 9.0176e-10 7.5801e-04 8.0960e-05 2.0997e-19 4.4089e-39 2.4895e-07 1.4581e-02 2.1422e-12
2.0370e-14 2.2000e-11 1.6942e-05 9.0176e-10 7.5801e-04 8.0960e-05 2.0997e-19 4.4089e-39 2.4895e-07 1.4581e-02 2.1422e-12
3.9815e-11 4.3000e-08 2.1183e-04 1.4097e-07 5.0401e-03 1.5824e-01 3.0309e-16 9.1863e-33 1.0203e-05 1.4789e-01 2.6717e-08
3.9815e-11 4.3000e-08 2.1183e-04 1.4097e-07 5.0401e-03 1.5824e-01 3.0309e-16 9.1863e-33 1.0203e-05 1.4789e-01 2.6717e-08
3.9815e-11 4.3000e-08 2.1183e-04 1.4097e-07 5.0401e-03 1.5824e-01 3.0309e-16 9.1863e-33 1.0203e-05 1.4789e-01 2.6717e-08
3.9815e-11 4.3000e-08 2.1183e-04 1.4097e-07 5.0401e-03 1.5824e-01 3.0309e-16 9.1863e-33 1.0203e-05 1.4789e-01 2.6717e-08
3.9815e-11 4.3000e-08 2.1183e-04 1.4097e-07 5.0401e-03 1.5824e-01 3.0309e-16 9.1863e-33 1.0203e-05 1.4789e-01 2.6717e-08
3.9815e-11 4.3000e-08 2.1183e-04 1.4097e-07 5.0401e-03 1.5824e-01 3.0309e-16 9.1863e-33 1.0203e-05 1.4789e-01 2.6717e-08
3.6944e-10 3.9900e-07 4.4513e-04 6.2248e-07 8.7965e-03 1.4683e+00 2.5726e-15 6.6183e-31 3.0395e-05 1.9203e-01 3.4539e-07
6.6613e-08 7.1942e-05 2.5147e-03 1.9867e-05 3.2234e-02 2.6475e+02 3.7683e-13 1.4200e-26 3.8747e-04 9.6626e-01 2.8508e-04
7.1296e-13 7.7000e-10 5.5419e-05 9.6487e-09 1.8437e-03 2.8336e-03 6.3749e-18 4.0639e-36 1.4213e-06 4.9182e-02 1.7700e-10
7.1296e-13 7.7000e-10 5.5419e-05 9.6487e-09 1.8437e-03 2.8336e-03 6.3749e-18 4.0639e-36 1.4213e-06 4.9182e-02 1.7700e-10
1.0197e-11 1.1012e-08 1.3452e-04 5.6850e-08 3.5854e-03 4.0525e-02 8.1968e-17 6.7187e-34 5.2341e-06 1.0337e-01 4.8782e-09
1.0197e-11 1.1012e-08 1.3452e-04 5.6850e-08 3.5854e-03 4.0525e-02 8.1968e-17 6.7187e-34 5.2341e-06 1.0337e-01 4.8782e-09
7.1296e-13 7.7000e-10 5.5419e-05 9.6487e-09 1.8437e-03 2.8336e-03 6.3749e-18 4.0639e-36 1.4213e-06 4.9182e-02 1.7700e-10
1.0197e-11 1.1012e-08 1.3452e-04 5.6850e-08 3.5854e-03 4.0525e-02 8.1968e-17 6.7187e-34 5.2341e-06 1.0337e-01 4.8782e-09
7.1296e-13 7.7000e-10 5.5419e-05 9.6487e-09 1.8437e-03 2.8336e-03 6.3749e-18 4.0639e-36 1.4213e-06 4.9182e-02 1.7700e-10
1.0197e-11 1.1012e-08 1.3452e-04 5.6850e-08 3.5854e-03 4.0525e-02 8.1968e-17 6.7187e-34 5.2341e-06 1.0337e-01 4.8782e-09
5.1019e-11 5.5100e-08 2.3008e-04 1.6631e-07 5.3624e-03 2.0277e-01 3.8454e-16 1.4787e-32 1.1521e-05 1.5771e-01 3.6420e-08
5.1019e-11 5.5100e-08 2.3008e-04 1.6631e-07 5.3624e-03 2.0277e-01 3.8454e-16 1.4787e-32 1.1521e-05 1.5771e-01 3.6420e-08
5.1019e-11 5.5100e-08 2.3008e-04 1.6631e-07 5.3624e-03 2.0277e-01 3.8454e-16 1.4787e-32 1.1521e-05 1.5771e-01 3.6420e-08
5.1019e-11 5.5100e-08 2.3008e-04 1.6631e-07 5.3624e-03 2.0277e-01 3.8454e-16 1.4787e-32 1.1521e-05 1.5771e-01 3.6420e-08
5.1019e-11 5.5100e-08 2.3008e-04 1.6631e-07 5.3624e-03 2.0277e-01 3.8454e-16 1.4787e-32 1.1521e-05 1.5771e-01 3.6420e-08
7.8056e-13 8.4300e-10 5.7118e-05 1.0249e-08 1.8859e-03 3.1022e-03 6.9540e-18 4.8358e-36 1.4859e-06 5.0515e-02 1.9809e-10
7.8056e-13 8.4300e-10 5.7118e-05 1.0249e-08 1.8859e-03 3.1022e-03 6.9540e-18 4.8358e-36 1.4859e-06 5.0515e-02 1.9809e-10
7.8056e-13 8.4300e-10 5.7118e-05 1.0249e-08 1.8859e-03 3.1022e-03 6.9540e-18 4.8358e-36 1.4859e-06 5.0515e-02 1.9809e-10
7.8056e-13 8.4300e-10 5.7118e-05 1.0249e-08 1.8859e-03 3.1022e-03 6.9540e-18 4.8358e-36 1.4859e-06 5.0515e-02 1.9809e-10
7.8056e-13 8.4300e-10 5.7118e-05 1.0249e-08 1.8859e-03 3.1022e-03 6.9540e-18 4.8358e-36 1.4859e-06 5.0515e-02 1.9809e-10
7.8056e-13 8.4300e-10 5.7118e-05 1.0249e-08 1.8859e-03 3.1022e-03 6.9540e-18 4.8358e-36 1.4859e-06 5.0515e-02 1.9809e-10
7.8056e-13 8.4300e-10 5.7118e-05 1.0249e-08 1.8859e-03 3.1022e-03 6.9540e-18 4.8358e-36 1.4859e-06 5.0515e-02 1.9809e-10
7.8056e-13 8.4300e-10 5.7118e-05 1.0249e-08 1.8859e-03 3.1022e-03 6.9540e-18 4.8358e-36 1.4859e-06 5.0515e-02 1.9809e-10
1.6481e-08 1.7800e-05 1.5787e-03 7.8299e-06 2.2734e-02 6.5504e+01 9.8592e-14 9.7205e-28 1.9545e-04 6.8146e-01 4.9753e-05
1.6481e-08 1.7800e-05 1.5787e-03 7.8299e-06 2.2734e-02 6.5504e+01 9.8592e-14 9.7205e-28 1.9545e-04 6.8146e-01 4.9753e-05
1.8519e-08 2.0000e-05 1.6412e-03 8.4624e-06 2.3406e-02 7.3600e+01 1.1026e-13 1.2158e-27 2.0693e-04 7.0164e-01 5.7555e-05
1.8519e-08 2.0000e-05 1.6412e-03 8.4624e-06 2.3406e-02 7.3600e+01 1.1026e-13 1.2158e-27 2.0693e-04 7.0164e-01 5.7555e-05
1.8519e-08 2.0000e-05 1.6412e-03 8.4624e-06 2.3406e-02 7.3600e+01 1.1026e-13 1.2158e-27 2.0693e-04 7.0164e-01 5.7555e-05
2.0182e-10 2.1797e-07 3.6388e-04 4.1597e-07 7.5625e-03 8.0211e-01 1.4398e-15 2.0729e-31 2.2601e-05 1.6453e-01 1.6231e-07
2.0182e-10 2.1797e-07 3.6388e-04 4.1597e-07 7.5625e-03 8.0211e-01 1.4398e-15 2.0729e-31 2.2601e-05 1.6453e-01 1.6231e-07
2.0182e-10 2.1797e-07 3.6388e-04 4.1597e-07 7.5625e-03 8.0211e-01 1.4398e-15 2.0729e-31 2.2601e-05 1.6453e-01 1.6231e-07
2.0182e-10 2.1797e-07 3.6388e-04 4.1597e-07 7.5625e-03 8.0211e-01 1.4398e-15 2.0729e-31 2.2601e-05 1.6453e-01 1.6231e-07
5.2932e-11 5.7167e-08 2.3292e-04 1.7044e-07 5.4120e-03 2.1037e-01 3.9838e-16 1.5871e-32 1.1731e-05 1.5923e-01 3.8138e-08
5.2932e-11 5.7167e-08 2.3292e-04 1.7044e-07 5.4120e-03 2.1037e-01 3.9838e-16 1.5871e-32 1.1731e-05 1.5923e-01 3.8138e-08
5.2932e-11 5.7167e-08 2.3292e-04 1.7044e-07 5.4120e-03 2.1037e-01 3.9838e-16 1.5871e-32 1.1731e-05 1.5923e-01 3.8138e-08
5.2932e-11 5.7167e-08 2.3292e-04 1.7044e-07 5.4120e-03 2.1037e-01 3.9838e-16 1.5871e-32 1.1731e-05 1.5923e-01 3.8138e-08
5.8148e-10 6.2800e-07 5.1778e-04 8.4226e-07 9.8528e-03 2.3110e+00 3.9763e-15 1.5811e-30 3.7960e-05 2.1553e-01 6.0864e-07
5.8148e-10 6.2800e-07 5.1778e-04 8.4226e-07 9.8528e-03 2.3110e+00 3.9763e-15 1.5811e-30 3.7960e-05 2.1553e-01 6.0864e-07
5.8148e-10 6.2800e-07 5.1778e-04 8.4226e-07 9.8528e-03 2.3110e+00 3.9763e-15 1.5811e-30 3.7960e-05 2.1553e-01 6.0864e-07
5.8148e-10 6.2800e-07 5.1778e-04 8.4226e-07 9.8528e-03 2.3110e+00 3.9763e-15 1.5811e-30 3.7960e-05 2.1553e-01 6.0864e-07
5.8981e-13 6.3700e-10 5.2025e-05 8.5029e-09 1.7583e-03 2.3442e-03 5.3139e-18 2.8238e-36 1.2952e-06 4.6479e-02 1.3979e-10
5.8981e-13 6.3700e-10 5.2025e-05 8.5029e-09 1.7583e-03 2.3442e-03 5.3139e-18 2.8238e-36 1.2952e-06 4.6479e-02 1.3979e-10
9.3796e-13 1.0130e-09 6.0725e-05 1.1585e-08 1.9746e-03 3.7278e-03 8.2952e-18 6.8810e-36 1.6258e-06 5.3314e-02 2.4903e-10
6.5139e-12 7.0350e-09 1.1586e-04 4.2168e-08 3.2054e-03 2.5889e-02 5.3311e-17 2.8420e-34 4.2022e-06 9.1664e-02 2.7893e-09
9.3796e-13 1.0130e-09 6.0725e-05 1.1585e-08 1.9746e-03 3.7278e-03 8.2952e-18 6.8810e-36 1.6258e-06 5.3314e-02 2.4903e-10
6.5139e-12 7.0350e-09 1.1586e-04 4.2168e-08 3.2054e-03 2.5889e-02 5.3311e-17 2.8420e-34 4.2022e-06 9.1664e-02 2.7893e-09
2.3486e-11 2.5365e-08 1.7765e-04 9.9151e-08 4.4170e-03 9.3343e-02 1.8260e-16 3.3343e-33 7.8776e-06 1.2887e-01 1.3821e-08
2.3486e-11 2.5365e-08 1.7765e-04 9.9151e-08 4.4170e-03 9.3343e-02 1.8260e-16 3.3343e-33 7.8776e-06 1.2887e-01 1.3821e-08
2.3486e-11 2.5365e-08 1.7765e-04 9.9151e-08 4.4170e-03 9.3343e-02 1.8260e-16 3.3343e-33 7.8776e-06 1.2887e-01 1.3821e-08
2.3486e-11 2.5365e-08 1.7765e-04 9.9151e-08 4.4170e-03 9.3343e-02 1.8260e-16 3.3343e-33 7.8776e-06 1.2887e-01 1.3821e-08
2.3486e-11 2.5365e-08 1.7765e-04 9.9151e-08 4.4170e-03 9.3343e-02 1.8260e-16 3.3343e-33 7.8776e-06 1.2887e-01 1.3821e-08
4.4444e-10 4.8000e-07 4.7342e-04 7.0410e-07 9.2125e-03 1.7664e+00 3.0721e-15 9.4376e-31 3.3276e-05 2.0129e-01 4.3506e-07
4.4444e-10 4.8000e-07 4.7342e-04 7.0410e-07 9.2125e-03 1.7664e+00 3.0721e-15 9.4376e-31 3.3276e-05 2.0129e-01 4.3506e-07
4.4444e-10 4.8000e-07 4.7342e-04 7.0410e-07 9.2125e-03 1.7664e+00 3.0721e-15 9.4376e-31 3.3276e-05 2.0129e-01 4.3506e-07
5.0926e-10 5.5000e-07 4.9539e-04 7.7099e-07 9.5314e-03 2.0240e+00 3.5010e-15 1.2257e-30 3.5571e-05 2.0838e-01 5.1571e-07
5.0926e-10 5.5000e-07 4.9539e-04 7.7099e-07 9.5314e-03 2.0240e+00 3.5010e-15 1.2257e-30 3.5571e-05 2.0838e-01 5.1571e-07
5.0926e-10 5.5000e-07 4.9539e-04 7.7099e-07 9.5314e-03 2.0240e+00 3.5010e-15 1.2257e-30 3.5571e-05 2.0838e-01 5.1571e-07
1.0344e-09 1.1171e-06 6.2737e-04 1.2365e-06 1.1379e-02 4.1109e+00 6.9121e-15 4.7777e-30 5.0337e-05 2.4943e-01 1.2498e-06
5.0926e-10 5.5000e-07 4.9539e-04 7.7099e-07 9.5314e-03 2.0240e+00 3.5010e-15 1.2257e-30 3.5571e-05 2.0838e-01 5.1571e-07
5.0926e-10 5.5000e-07 4.9539e-04 7.7099e-07 9.5314e-03 2.0240e+00 3.5010e-15 1.2257e-30 3.5571e-05 2.0838e-01 5.1571e-07
5.0926e-10 5.5000e-07 4.9539e-04 7.7099e-07 9.5314e-03 2.0240e+00 3.5010e-15 1.2257e-30 3.5571e-05 2.0838e-01 5.1571e-07
5.0926e-10 5.5000e-07 4.9539e-04 7.7099e-07 9.5314e-03 2.0240e+00 3.5010e-15 1.2257e-30 3.5571e-05 2.0838e-01 5.1571e-07
5.0926e-10 5.5000e-07 4.9539e-04 7.7099e-07 9.5314e-03 2.0240e+00 3.5010e-15 1.2257e-30 3.5571e-05 2.0838e-01 5.1571e-07
5.0926e-10 5.5000e-07 4.9539e-04 7.7099e-07 9.5314e-03 2.0240e+00 3.5010e-15 1.2257e-30 3.5571e-05 2.0838e-01 5.1571e-07
5.0926e-10 5.5000e-07 4.9539e-04 7.7099e-07 9.5314e-03 2.0240e+00 3.5010e-15 1.2257e-30 3.5571e-05 2.0838e-01 5.1571e-07
5.0926e-10 5.5000e-07 4.9539e-04 7.7099e-07 9.5314e-03 2.0240e+00 3.5010e-15 1.2257e-30 3.5571e-05 2.0838e-01 5.1571e-07
5.0926e-10 5.5000e-07 4.9539e-04 7.7099e-07 9.5314e-03 2.0240e+00 3.5010e-15 1.2257e-30 3.5571e-05 2.0838e-01 5.1571e-07
5.0926e-10 5.5000e-07 4.9539e-04 7.7099e-07 9.5314e-03 2.0240e+00 3.5010e-15 1.2257e-30 3.5571e-05 2.0838e-01 5.1571e-07
5.0926e-10 5.5000e-07 4.9539e-04 7.7099e-07 9.5314e-03 2.0240e+00 3.5010e-15 1.2257e-30 3.5571e-05 2.0838e-01 5.1571e-07
5.0926e-10 5.5000e-07 4.9539e-04 7.7099e-07 9.5314e-03 2.0240e+00 3.5010e-15 1.2257e-30 3.5571e-05 2.0838e-01 5.1571e-07
2.1537e-08 2.3260e-05 1.7260e-03 9.3587e-06 2.4306e-02 8.5597e+01 1.2746e-13 1.6247e-27 2.2282e-04 7.2866e-01 6.9513e-05
2.1537e-08 2.3260e-05 1.7260e-03 9.3587e-06 2.4306e-02 8.5597e+01 1.2746e-13 1.6247e-27 2.2282e-04 7.2866e-01 6.9513e-05
2.1537e-08 2.3260e-05 1.7260e-03 9.3587e-06 2.4306e-02 8.5597e+01 1.2746e-13 1.6247e-27 2.2282e-04 7.2866e-01 6.9513e-05
2.1537e-08 2.3260e-05 1.7260e-03 9.3587e-06 2.4306e-02 8.5597e+01 1.2746e-13 1.6247e-27 2.2282e-04 7.2866e-01 6.9513e-05
2.1537e-08 2.3260e-05 1.7260e-03 9.3587e-06 2.4306e-02 8.5597e+01 1.2746e-13 1.6247e-27 2.2282e-04 7.2866e-01 6.9513e-05
2.1537e-08 2.3260e-05 1.7260e-03 9.3587e-06 2.4306e-02 8.5597e+01 1.2746e-13 1.6247e-27 2.2282e-04 7.2866e-01 6.9513e-05
2.1537e-08 2.3260e-05 1.7260e-03 9.3587e-06 2.4306e-02 8.5597e+01 1.2746e-13 1.6247e-27 2.2282e-04 7.2866e-01 6.9513e-05
2.1537e-08 2.3260e-05 1.7260e-03 9.3587e-06 2.4306e-02 8.5597e+01 1.2746e-13 1.6247e-27 2.2282e-04 7.2866e-01 6.9513e-05
2.1537e-08 2.3260e-05 1.7260e-03 9.3587e-06 2.4306e-02 8.5597e+01 1.2746e-13 1.6247e-27 2.2282e-04 7.2866e-01 6.9513e-05
2.1537e-08 2.3260e-05 1.7260e-03 9.3587e-06 2.4306e-02 8.5597e+01 1.2746e-13 1.6247e-27 2.2282e-04 7.2866e-01 6.9513e-05
2.1537e-08 2.3260e-05 1.7260e-03 9.3587e-06 2.4306e-02 8.5597e+01 1.2746e-13 1.6247e-27 2.2282e-04 7.2866e-01 6.9513e-05
2.1537e-08 2.3260e-05 1.7260e-03 9.3587e-06 2.4306e-02 8.5597e+01 1.2746e-13 1.6247e-27 2.2282e-04 7.2866e-01 6.9513e-05
1.3148e-09 1.4200e-06 6.7961e-04 1.4510e-06 1.2082e-02 5.2256e+00 8.7024e-15 7.5731e-30 5.6616e-05 2.6505e-01 1.6868e-06
1.3148e-09 1.4200e-06 6.7961e-04 1.4510e-06 1.2082e-02 5.2256e+00 8.7024e-15 7.5731e-30 5.6616e-05 2.6505e-01 1.6868e-06
1.3148e-09 1.4200e-06 6.7961e-04 1.4510e-06 1.2082e-02 5.2256e+00 8.7024e-15 7.5731e-30 5.6616e-05 2.6505e-01 1.6868e-06
1.3148e-09 1.4200e-06 6.7961e-04 1.4510e-06 1.2082e-02 5.2256e+00 8.7024e-15 7.5731e-30 5.6616e-05 2.6505e-01 1.6868e-06
1.3148e-09 1.4200e-06 6.7961e-04 1.4510e-06 1.2082e-02 5.2256e+00 8.7024e-15 7.5731e-30 5.6616e-05 2.6505e-01 1.6868e-06
1.3148e-09 1.4200e-06 6.7961e-04 1.4510e-06 1.2082e-02 5.2256e+00 8.7024e-15 7.5731e-30 5.6616e-05 2.6505e-01 1.6868e-06
1.3148e-09 1.4200e-06 6.7961e-04 1.4510e-06 1.2082e-02 5.2256e+00 8.7024e-15 7.5731e-30 5.6616e-05 2.6505e-01 1.6868e-06
1.3148e-09 1.4200e-06 6.7961e-04 1.4510e-06 1.2082e-02 5.2256e+00 8.7024e-15 7.5731e-30 5.6616e-05 2.6505e-01 1.6868e-06
1.3148e-09 1.4200e-06 6.7961e-04 1.4510e-06 1.2082e-02 5.2256e+00 8.7024e-15 7.5731e-30 5.6616e-05 2.6505e-01 1.6868e-06
1.3148e-09 1.4200e-06 6.7961e-04 1.4510e-06 1.2082e-02 5.2256e+00 8.7024e-15 7.5731e-30 5.6616e-05 2.6505e-01 1.6868e-06
