Year,Date,Site,DayNight,TideZone,Predator,PredSize,EstimatedPredSize,PossibleChaemoPred,Prey,PreySize,EstimatedPreySize,Drilling
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,22,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,40,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,16,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,21,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,20,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,25,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,23,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,22,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,25,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,38,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,22,0,0,UNID,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,20,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,25,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,22,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,22,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,20,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,27,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,19,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,33,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,17,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,17,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,30,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,16,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,27,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,18,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,18,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,24,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,13,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,16,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,15,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,18,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,22,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,29,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,22,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,21,0,0,Risellopsis varia,4,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Paratrophon patens,16,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Paratrophon patens,18,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum scobina,6,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,15,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,16,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,18,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,13,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,17,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,14,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,15,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,15,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,19,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,15,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,15,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,15,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,15,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,14,1,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,20,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,19,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,22,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,28,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,22,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,27,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,26,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,25,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,32,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,23,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,18,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,20,1,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,20,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,24,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,28,0,0,Cantharidella tesselata,6,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,25,0,0,Sypharochiton pelliserpentis,0,1,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,23,0,0,Cantharidella tesselata,4,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,22,0,0,Cantharidella tesselata,5,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,42,0,0,Plaxiphora caelata,22,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,19,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,24,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,26,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,21,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,30,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,22,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,21,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,29,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,21,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Paratrophon patens,18,0,0,Epopella plicata,6,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,28,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,23,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,30,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,40,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,31,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,18,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,20,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,23,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,28,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,20,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,26,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,22,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,30,0,0,Siphonaria australis,7,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,27,0,0,Cantharidella tesselata,5,1,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,28,0,0,Cantharidella tesselata,4,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,41,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,30,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,24,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Cominella maculosa,40,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,32,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,28,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,36,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,36,0,0,Diloma aethiops,20,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,32,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,34,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,32,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,40,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,27,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,34,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,41,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,38,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,33,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,42,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,37,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,31,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,30,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,30,1,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,24,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,21,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,24,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,25,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,13,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,13,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,21,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,18,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,27,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,21,0,0,Siphonaria australis,6,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,34,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,23,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,24,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,37,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,22,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,21,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,37,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,23,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,26,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,36,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,31,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,28,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,28,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,30,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,26,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,19,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,23,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,44,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,30,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,38,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,25,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,19,0,0,Not Feeding,0,0,0
2004,01/07/2004,TaurangaHead,Night,General_Unspecified,Haustrum haustorium,27,0,0,Not Feeding,0,0,0
