Year,Expt/Location,Aerated/Flowthrough/Neither,Temperature,Container/Individual_#,Pred,PredSource,PredSize,Prey,PreySource,PreySize,Risellopsis_varia height,Drilled?,Prey_post-consumption_Weight,with_operculum_or_radula?,operc_weight,est._%_consumed,leftover_tissue_weight_(dried),Comment,Start_1st,Start_2nd,Exact_Start,End_1st,End_2nd,Exact_End,Min_(days),Max_(days),Midpoint_(days),Start_+_End_Windows,Inverse Window (for Weighting),Both_Start_and_End_within_+/-2hr24min__window
2005,H-Times-TopLab,Aerated,10,c20-1,Haustrum haustorium,Check datasheets,28.9,Siphonaria australis,EPFS & ?Lighthouse Reef,11.3,,0,0.06,0,,30,,"occurred between two observations, only center of food consumed, prey abandoned",02/06/2005 04:30,02/06/2005 07:30,,02/06/2005 04:30,02/06/2005 07:30,,0,0.13,0.06,06:00:00,3.85,0
2005,H-Times-TopLab-aerated,Aerated,10,c9-1,Haustrum haustorium,Check datasheets,26.4,Diloma aethiops,EPFS Lab Rocks,8,,0,0.221,1,,100,0,,01/06/2005 23:00,02/06/2005 04:30,,02/06/2005 18:00,02/06/2005 19:00,,0.56,0.83,0.7,06:30:00,3.56,0
2005,H-Times-TopLab-aerated,Aerated,10,c21-1,Haustrum haustorium,Check datasheets,27,Cellana denticulata,EPFS Lab Rocks,15.1,,0,0.132,1,,100,0,,02/06/2005 21:05,03/06/2005 06:25,,03/06/2005 19:11,03/06/2005 20:05,,0.53,0.96,0.75,10:14:00,2.29,0
2005,H-Times-TopLab-aerated,Aerated,10,c8-1,Haustrum haustorium,Check datasheets,27,Haustrum scobina,Tauranga Head,12.3,,0,0.295,1,,100,0,,01/06/2005 20:00,01/06/2005 23:00,,03/06/2005 20:05,03/06/2005 21:08,,1.88,2.05,1.96,04:03:00,5.59,0
2005,H-Times-TopLab,Aerated,10,c20-1,Haustrum haustorium,Check datasheets,28.9,Siphonaria australis,EPFS & ?Lighthouse Reef,9,,0,0.003,0,,100,0,,03/06/2005 20:05,03/06/2005 21:08,,03/06/2005 21:08,04/06/2005 06:20,,0,0.43,0.21,10:15:00,2.29,0
2005,H-Times-TopLab-aerated,Aerated,10,c9-1,Haustrum haustorium,Check datasheets,26.4,Diloma aethiops,EPFS Lab Rocks,10.2,,0,0.451,0,,100,0,,03/06/2005 21:08,04/06/2005 06:20,,05/06/2005 08:20,05/06/2005 10:50,,1.08,1.57,1.33,11:42:00,2.01,0
2005,H-Times-TopLab-aerated,Aerated,10,c14-1,Haustrum haustorium,Check datasheets,29,Diloma aethiops,EPFS Lab Rocks,10.4,,0,0.648,1,,100,0,,04/06/2005 19:00,04/06/2005 21:10,,05/06/2005 19:00,05/06/2005 20:00,,0.91,1.04,0.98,03:10:00,7.05,0
2005,H-Times-TopLab,Aerated,10,c20-1,Haustrum haustorium,Check datasheets,28.9,Siphonaria australis,EPFS & ?Lighthouse Reef,11.9,,0,0.084,0,,90,,perimeter of foot not eaten,05/06/2005 18:06,05/06/2005 19:00,,06/06/2005 08:10,06/06/2005 09:10,,0.55,0.63,0.59,01:54:00,11.21,1
2005,H-Times-TopLab,Aerated,10,c20-2,Haustrum haustorium,Check datasheets,27.6,Siphonaria australis,EPFS & ?Lighthouse Reef,11.7,,0,0.078,0,,90,0.01,,06/06/2005 17:04,06/06/2005 18:00,,06/06/2005 22:00,07/06/2005 08:00,,0.17,0.62,0.39,10:56:00,2.15,0
2005,H-Times-TopLab-aerated,Aerated,10,c9-2,Haustrum haustorium,Check datasheets,43.7,Diloma aethiops,EPFS Lab Rocks,10.3,,0,0.405,1,,100,0,,06/06/2005 20:00,06/06/2005 21:00,,07/06/2005 19:00,07/06/2005 20:00,,0.92,1,0.96,02:00:00,10.71,1
2005,H-Times-TopLab,Aerated,10,c7-1,Haustrum haustorium,Check datasheets,26,Sypharochiton pelliserpentis,EPFS Lab Rocks,12.2,,0,0.107,0,,100,0,,04/06/2005 19:00,04/06/2005 21:10,,07/06/2005 22:00,08/06/2005 08:00,,3.03,3.54,3.29,12:10:00,1.93,0
2005,H-Times-TopLab-aerated,Aerated,10,c9-2,Haustrum haustorium,Check datasheets,43.7,Diloma aethiops,EPFS Lab Rocks,9.8,,0,0.331,1,,100,0,,08/06/2005 14:05,08/06/2005 15:00,,08/06/2005 22:00,09/06/2005 08:15,,0.29,0.76,0.52,11:10:00,2.1,0
2005,H-Times-TopLab,Aerated,10,c9-2,Haustrum haustorium,Check datasheets,43.7,Diloma aethiops,EPFS Lab Rocks,9.6,,0,0.44,1,,100,0,,09/06/2005 14:30,09/06/2005 15:30,,09/06/2005 23:00,10/06/2005 08:10,,0.31,0.74,0.52,10:10:00,2.31,0
2005,H-Times-BottomLab,Neither,10,c10-1,Haustrum haustorium,Check datasheets,17.8,Turbo smaragdus,EPFS Lab Rocks,4.9,,1,0.06,1,0.005,100,0,,10/06/2005 13:55,10/06/2005 14:15,,12/06/2005 03:10,,YES,1.54,1.55,1.55,00:20:00,41.86,1
2005,H-Times-BottomLab,Aerated,10,c10-1,Haustrum haustorium,Check datasheets,17.8,Turbo smaragdus,EPFS Lab Rocks,4.7,,1,0.051,1,0.004,100,0,,15/06/2005 14:10,15/06/2005 15:10,,16/06/2005 19:40,,YES,1.19,1.23,1.21,01:00:00,19.35,1
2005,H-Times-TopLab-aerated,Aerated,10,c21-1,Haustrum haustorium,Check datasheets,27,Cellana denticulata,EPFS Lab Rocks,15.3,,0,0.157,1,,100,0,,09/06/2005 13:00,09/06/2005 14:30,,10/06/2005 22:00,,YES,1.31,1.38,1.34,01:30:00,13.79,1
2005,H-Times-TopLab,Aerated,10,c2-1,Haustrum haustorium,Check datasheets,24,Turbo smaragdus,EPFS Lab Rocks,7.7,,1,0.17,1,0.019,100,0,,08/06/2005 22:00,09/06/2005 08:15,,11/06/2005 11:00,11/06/2005 12:10,,2.11,2.59,2.35,11:25:00,2.06,0
2005,H-Times-BottomLab,Neither,10,c13-1 (org.61),Haustrum haustorium,Check datasheets,44.6,Diloma aethiops,EPFS Lab Rocks,17.7,,0,2.865,1,,60,,,10/06/2005 23:15,11/06/2005 08:00,,12/06/2005 02:45,,YES,0.78,1.15,0.96,08:45:00,2.67,0
2005,H-Times-TopLab-aerated,Aerated,10,c8-1,Haustrum haustorium,Check datasheets,27,Haustrum scobina,Tauranga Head,11.1,,0,0.229,1,,100,0,,09/06/2005 23:00,10/06/2005 08:10,,12/06/2005 02:20,12/06/2005 10:10,,1.76,2.47,2.11,17:00:00,1.39,0
2005,H-Times-BottomLab,Neither,10,c14-1,Haustrum haustorium,Check datasheets,23.1,Turbo smaragdus,EPFS Lab Rocks,4.4,,1,0.05,1,0.004,100,0,,09/06/2005 23:10,10/06/2005 08:15,,11/06/2005 19:52,,YES,1.48,1.86,1.67,09:05:00,2.57,0
