Site,Year,Season,SurveyType,TideZone,Transect,Quad,Species,Density
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,1,Aulacomya atra maoriana,6.364
CapeFoulwind,2006,Summer,Quads_All_species,High,2,1,Aulacomya atra maoriana,31.82
CapeFoulwind,2006,Winter,Quads_All_species,Mid,1,2,Aulacomya atra maoriana,127.28
CapeFoulwind,2005,Winter,Quads_All_species,Mid,1,5,Aulacomya atra maoriana,63.64
CapeFoulwind,2006,Winter,Quads_All_species,Mid,1,5,Aulacomya atra maoriana,31.82
CapeFoulwind,2006,Winter,Quads_All_species,High,1,1,Aulacomya atra maoriana,31.82
CapeFoulwind,2006,Summer,Quads_All_species,Mid,2,1,Aulacomya atra maoriana,6.364
CapeFoulwind,2006,Winter,Quads_Large_&_Rare_species_only,Mid,3,5,Aulacomya atra maoriana,6.364
CapeFoulwind,2006,Summer,Quads_All_species,Mid,2,4,Aulacomya atra maoriana,6.364
CapeFoulwind,2005,Winter,Quads_All_species,Mid,1,4,Aulacomya atra maoriana,6.364
CapeFoulwind,2005,Winter,Quads_Large_&_Rare_species_only,High,3,5,Aulacomya atra maoriana,63.64
CapeFoulwind,2006,Winter,Quads_Large_&_Rare_species_only,Mid,3,1,Aulacomya atra maoriana,6.364
CapeFoulwind,2006,Winter,Quads_All_species,Mid,2,1,Aulacomya atra maoriana,6.364
CapeFoulwind,2006,Summer,Quads_All_species,High,1,4,Aulacomya atra maoriana,6.364
CapeFoulwind,2006,Winter,Quads_Large_&_Rare_species_only,Mid,3,2,Aulacomya atra maoriana,6.364
CapeFoulwind,2006,Winter,Quads_All_species,Mid,2,2,Aulacomya atra maoriana,6.364
CapeFoulwind,2006,Summer,Quads_All_species,High,1,1,Aulacomya atra maoriana,6.364
CapeFoulwind,2005,Winter,Quads_All_species,High,1,4,Aulacomya atra maoriana,63.64
CapeFoulwind,2005,Winter,Quads_All_species,Mid,2,2,Aulacomya atra maoriana,6.364
CapeFoulwind,2005,Winter,Quads_Large_&_Rare_species_only,Mid,3,1,Aulacomya atra maoriana,31.82
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,4,Aulacomya atra maoriana,6.364
CapeFoulwind,2006,Winter,Quads_Large_&_Rare_species_only,High,3,5,Aulacomya atra maoriana,63.64
CapeFoulwind,2005,Winter,Quads_All_species,Mid,1,1,Aulacomya atra maoriana,63.64
CapeFoulwind,2005,Winter,Quads_All_species,Mid,1,3,Aulacomya atra maoriana,6.364
CapeFoulwind,2006,Winter,Quads_All_species,High,2,2,Aulacomya atra maoriana,31.82
CapeFoulwind,2006,Winter,Quads_All_species,Mid,1,1,Aulacomya atra maoriana,31.82
CapeFoulwind,2005,Winter,Quads_Large_&_Rare_species_only,Mid,3,2,Aulacomya atra maoriana,31.82
CapeFoulwind,2006,Winter,Quads_All_species,Mid,2,4,Aulacomya atra maoriana,6.364
CapeFoulwind,2005,Winter,Quads_All_species,High,1,2,Aulacomya atra maoriana,63.64
CapeFoulwind,2006,Winter,Quads_All_species,High,1,4,Aulacomya atra maoriana,31.82
CapeFoulwind,2005,Winter,Quads_All_species,Mid,2,4,Aulacomya atra maoriana,31.82
CapeFoulwind,2006,Winter,Quads_All_species,High,2,1,Aulacomya atra maoriana,63.64
CapeFoulwind,2005,Winter,Quads_All_species,Mid,2,5,Aulacomya atra maoriana,6.364
CapeFoulwind,2006,Winter,Quads_All_species,Mid,2,5,Aulacomya atra maoriana,6.364
CapeFoulwind,2006,Winter,Quads_Large_&_Rare_species_only,High,3,3,Aulacomya atra maoriana,6.364
CapeFoulwind,2006,Summer,Quads_All_species,High,2,5,Aulacomya atra maoriana,6.364
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,2,Aulacomya atra maoriana,31.82
CapeFoulwind,2005,Winter,Quads_All_species,High,1,1,Aulacomya atra maoriana,6.364
CapeFoulwind,2006,Summer,Quads_All_species,Mid,2,5,Aulacomya atra maoriana,63.64
CapeFoulwind,2006,Winter,Quads_Large_&_Rare_species_only,High,3,4,Aulacomya atra maoriana,63.64
CapeFoulwind,2006,Winter,Quads_All_species,Mid,2,3,Aulacomya atra maoriana,63.64
CapeFoulwind,2005,Winter,Quads_All_species,Mid,2,3,Aulacomya atra maoriana,63.64
CapeFoulwind,2006,Winter,Quads_All_species,High,1,3,Aulacomya atra maoriana,0
CapeFoulwind,2006,Summer,Quads_Large_&_Rare_species_only,Mid,3,3,Aulacomya atra maoriana,0
CapeFoulwind,2005,Winter,Quads_Large_&_Rare_species_only,High,3,2,Aulacomya atra maoriana,0
CapeFoulwind,2006,Winter,Quads_All_species,High,1,2,Aulacomya atra maoriana,0
CapeFoulwind,2005,Winter,Quads_Large_&_Rare_species_only,High,3,3,Aulacomya atra maoriana,0
CapeFoulwind,2006,Winter,Quads_All_species,High,2,5,Aulacomya atra maoriana,0
CapeFoulwind,2005,Winter,Quads_Large_&_Rare_species_only,High,3,4,Aulacomya atra maoriana,0
CapeFoulwind,2006,Summer,Quads_All_species,Mid,2,2,Aulacomya atra maoriana,0
CapeFoulwind,2006,Summer,Quads_Large_&_Rare_species_only,High,3,5,Aulacomya atra maoriana,0
CapeFoulwind,2006,Summer,Quads_All_species,High,1,2,Aulacomya atra maoriana,0
CapeFoulwind,2005,Winter,Quads_All_species,High,2,4,Aulacomya atra maoriana,0
CapeFoulwind,2005,Winter,Quads_All_species,Mid,2,1,Aulacomya atra maoriana,0
CapeFoulwind,2006,Summer,Quads_All_species,Mid,2,3,Aulacomya atra maoriana,0
CapeFoulwind,2006,Winter,Quads_Large_&_Rare_species_only,High,3,2,Aulacomya atra maoriana,0
CapeFoulwind,2006,Summer,Quads_All_species,High,2,3,Aulacomya atra maoriana,0
CapeFoulwind,2005,Winter,Quads_All_species,High,2,5,Aulacomya atra maoriana,0
CapeFoulwind,2006,Winter,Quads_All_species,High,1,5,Aulacomya atra maoriana,0
CapeFoulwind,2006,Summer,Quads_Large_&_Rare_species_only,High,3,4,Aulacomya atra maoriana,0
CapeFoulwind,2006,Summer,Quads_Large_&_Rare_species_only,High,3,2,Aulacomya atra maoriana,0
CapeFoulwind,2006,Summer,Quads_All_species,High,1,5,Aulacomya atra maoriana,0
