"Patch","Pred","Spp","PredSize","PreySize"
"AA1","Nucella_canaliculata","Chthamalus_dalli",8,1
"AA1","Nucella_canaliculata","Chthamalus_dalli",8,1
"AA1","Nucella_canaliculata","Chthamalus_dalli",11,1
"AA1","Nucella_canaliculata","Not_Feeding",15,0
"AA1","Nucella_canaliculata","Not_Feeding",13,0
"AA1","Nucella_canaliculata","Not_Feeding",8,0
"AA1","Nucella_canaliculata","Not_Feeding",7,0
"AA1","Nucella_canaliculata","Not_Feeding",5,0
"AA1","Nucella_canaliculata","Not_Feeding",7,0
"AA1","Nucella_canaliculata","Not_Feeding",7,0
"AA1","Nucella_canaliculata","Not_Feeding",12,0
"AA1","Nucella_canaliculata","Not_Feeding",4,0
"AA1","Nucella_canaliculata","Not_Feeding",9,0
"AA1","Nucella_canaliculata","Not_Feeding",4,0
"AA1","Nucella_canaliculata","Not_Feeding",11,0
"AA1","Nucella_ostrina","Lottia_pelta",11,7
"AA1","Nucella_ostrina","Balanus_glandula",13,1
"AA1","Nucella_ostrina","Balanus_glandula",14,3
"AA1","Nucella_ostrina","Balanus_glandula",14,1
"AA1","Nucella_ostrina","Balanus_glandula",15,1
"AA1","Nucella_ostrina","Balanus_glandula",10,2
"AA1","Nucella_ostrina","Balanus_glandula",15,4
"AA1","Nucella_ostrina","Balanus_glandula",11,2
"AA1","Nucella_ostrina","Balanus_glandula",14,2
"AA1","Nucella_ostrina","Balanus_glandula",17,3
"AA1","Nucella_ostrina","Balanus_glandula",15,3
"AA1","Nucella_ostrina","Balanus_glandula",15,5
"AA1","Nucella_ostrina","Balanus_glandula",13,2
"AA1","Nucella_ostrina","Balanus_glandula",17,3
"AA1","Nucella_ostrina","Balanus_glandula",16,3
"AA1","Nucella_ostrina","Balanus_glandula",10,3
"AA1","Nucella_ostrina","Balanus_glandula",15,4
"AA1","Nucella_ostrina","Balanus_glandula",15,2
"AA1","Nucella_ostrina","Balanus_glandula",12,2
"AA1","Nucella_ostrina","Balanus_glandula",11,3
"AA1","Nucella_ostrina","Balanus_glandula",14,3
"AA1","Nucella_ostrina","Balanus_glandula",9,1
"AA1","Nucella_ostrina","Balanus_glandula",14,3
"AA1","Nucella_ostrina","Balanus_glandula",12,2
"AA1","Nucella_ostrina","Balanus_glandula",17,3
"AA1","Nucella_ostrina","Balanus_glandula",10,4
"AA1","Nucella_ostrina","Balanus_glandula",16,5
"AA1","Nucella_ostrina","Balanus_glandula",13,2
"AA1","Nucella_ostrina","Balanus_glandula",9,1
"AA1","Nucella_ostrina","Balanus_glandula",14,3
