"Pred","Spp","PredSize","PreySize"
"Nucella_canaliculata","Balanus_glandula",14.3,2.3
"Nucella_canaliculata","Chthamalus_dalli",9.3,1.2
"Nucella_canaliculata","Mytilus_trossulus",13.7,10.8
"Nucella_canaliculata","Not_Feeding",12.7,0
"Nucella_canaliculata","Semibalanus_cariosus",12.3,1.3
"Nucella_ostrina","Adula_californiensis",12,9.5
"Nucella_ostrina","Balanus_glandula",14.2,2.4
"Nucella_ostrina","Chthamalus_dalli",12,1.6
"Nucella_ostrina","Littorina_sitkana",15,4.2
"Nucella_ostrina","Lottia_asmi",13,4.3
"Nucella_ostrina","Lottia_pelta",11,7
"Nucella_ostrina","Mytilus_californianus",11,4
"Nucella_ostrina","Mytilus_trossulus",13.7,9.3
"Nucella_ostrina","Not_Feeding",13.8,0
"Nucella_ostrina","Nucella_ostrina",18,11
"Nucella_ostrina","Pollicipes_polymerus",16.6,3.8
"Nucella_ostrina","Semibalanus_cariosus",13.5,2.4
