"","AA4.After","AA4.Before","AA6.After","AA6.Before","AA7.After","AA7.Before","BV1.After","BV1.Before","IS1.After","IS1.Before","MN1.After","MN1.Before","MN2.After","MN2.Before","SH1.After","SH1.Before","SH2.After","SH2.Before"
"Balanus_glandula",2594.286,2594.286,1710.476,1710.476,2860.952,2860.952,39588.571,39588.571,765.714,765.714,110262.857,110262.857,29531.429,29531.429,114986.667,114986.667,8144.762,8144.762
"Chthamalus_dalli",2171.429,2171.429,647.619,647.619,179.048,179.048,21516.19,21516.19,441.905,441.905,994.286,994.286,2217.143,2217.143,358.095,358.095,5131.429,5131.429
"Littorina_sitkana",685.714,685.714,91.429,91.429,30.476,30.476,3638.095,3638.095,106.667,106.667,2537.143,2537.143,609.524,609.524,1070.476,1070.476,2388.571,2388.571
"Lottia_asmi",1203.81,1203.81,1112.381,1112.381,822.857,822.857,464.762,464.762,937.143,937.143,293.333,293.333,5424.762,5424.762,160,160,2792.381,2792.381
"Lottia_digitalis",457.143,457.143,121.905,121.905,80,80,190.476,190.476,198.095,198.095,45.714,45.714,163.81,163.81,34.286,34.286,1847.619,1847.619
"Lottia_pelta",34.286,34.286,45.714,45.714,3.81,3.81,0,0,121.905,121.905,72.381,72.381,11.429,11.429,11.429,11.429,38.095,38.095
"Mytilus_californianus",308.571,308.571,198.095,198.095,87.619,87.619,49.524,49.524,45.714,45.714,0,0,53.333,53.333,0,0,34.286,34.286
"Mytilus_trossulus",666.667,666.667,3.81,3.81,99.048,99.048,3.81,3.81,1321.905,1321.905,7.619,7.619,140.952,140.952,22.857,22.857,975.238,975.238
"Pollicipes_polymerus",3200,3200,4773.333,4773.333,14994.286,14994.286,41.905,41.905,1904.762,1904.762,0,0,3375.238,3375.238,3.81,3.81,506.667,506.667
"Semibalanus_cariosus",571.429,571.429,1352.381,1352.381,495.238,495.238,99.048,99.048,251.429,251.429,11.429,11.429,1676.19,1676.19,3.81,3.81,19.048,19.048
