"Prey","AA4.After","AA4.Before","AA6.After","AA6.Before","AA7.After","AA7.Before","BV1.After","BV1.Before","IS1.After","IS1.Before","MN1.After","MN1.Before","MN2.After","MN2.Before","SH1.After","SH1.Before","SH2.After","SH2.Before"
"Not_Feeding",751,208,148,130,237,87,155,369,94,391,140,314,175,114,610,709,74,97
"Balanus_glandula",7,6,1,1,2,1,22,38,2,8,24,65,6,11,171,73,5,8
"Chthamalus_dalli",1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,4
"Lottia_asmi",0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
"Lottia_digitalis",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Lottia_pelta",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mytilus_californianus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mytilus_trossulus",8,16,5,0,5,0,0,0,8,19,0,0,2,6,0,0,0,7
"Nucella_ostrina",0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0
"Pollicipes_polymerus",0,0,5,7,1,3,0,1,0,0,0,0,0,0,0,0,0,0
"Semibalanus_cariosus",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
