"Patch","Pred","Prey","PredSize","PreySize"
"SH1","Nucella_ostrina","Balanus_glandula",13,2
"SH1","Nucella_ostrina","Not_Feeding",10,0
"SH1","Nucella_ostrina","Not_Feeding",13,0
"SH1","Nucella_ostrina","Not_Feeding",14,0
"SH1","Nucella_ostrina","Balanus_glandula",10,1
"SH1","Nucella_ostrina","Balanus_glandula",9,2
"SH1","Nucella_ostrina","Balanus_glandula",14,2
"SH1","Nucella_ostrina","Balanus_glandula",10,2
"SH1","Nucella_canaliculata","Not_Feeding",13,0
"SH1","Nucella_ostrina","Balanus_glandula",11,1
"SH1","Nucella_ostrina","Balanus_glandula",10,1
"SH1","Nucella_ostrina","Balanus_glandula",11,1
"SH1","Nucella_ostrina","Balanus_glandula",9,1
"SH1","Nucella_ostrina","Balanus_glandula",11,2
"SH1","Nucella_ostrina","Balanus_glandula",13,2
"SH1","Nucella_ostrina","Not_Feeding",13,0
"SH1","Nucella_ostrina","Not_Feeding",14,0
"SH1","Nucella_ostrina","Not_Feeding",11,0
"SH1","Nucella_canaliculata","Not_Feeding",10,0
"SH1","Nucella_ostrina","Not_Feeding",12,0
"SH1","Nucella_ostrina","Not_Feeding",11,0
"SH1","Nucella_ostrina","Not_Feeding",13,0
"SH1","Nucella_ostrina","Balanus_glandula",10,2
"SH1","Nucella_ostrina","Balanus_glandula",14,1
"SH1","Nucella_ostrina","Balanus_glandula",14,1
"SH1","Nucella_ostrina","Not_Feeding",14,0
"SH1","Nucella_ostrina","Balanus_glandula",13,2
"SH1","Nucella_ostrina","Not_Feeding",11,0
"SH1","Nucella_ostrina","Not_Feeding",7,0
"SH1","Nucella_ostrina","Balanus_glandula",13,1
"SH1","Nucella_ostrina","Balanus_glandula",12,1
"SH1","Nucella_ostrina","Not_Feeding",10,0
"SH1","Nucella_ostrina","Balanus_glandula",10,1
"SH1","Nucella_ostrina","Balanus_glandula",13,1
"SH1","Nucella_ostrina","Balanus_glandula",10,1
"SH1","Nucella_ostrina","Balanus_glandula",11,1
"SH1","Nucella_ostrina","Not_Feeding",12,0
"SH1","Nucella_ostrina","Balanus_glandula",9,2
"SH1","Nucella_ostrina","Not_Feeding",12,0
"SH1","Nucella_canaliculata","Not_Feeding",15,0
"SH1","Nucella_ostrina","Balanus_glandula",12,1
"SH1","Nucella_ostrina","Not_Feeding",13,0
"SH1","Nucella_ostrina","Not_Feeding",15,0
"SH1","Nucella_ostrina","Not_Feeding",10,0
"SH1","Nucella_ostrina","Not_Feeding",10,0
"SH1","Nucella_ostrina","Not_Feeding",12,0
"SH1","Nucella_ostrina","Not_Feeding",11,0
"SH1","Nucella_ostrina","Balanus_glandula",15,2
"SH1","Nucella_ostrina","Not_Feeding",9,0
"SH1","Nucella_ostrina","Balanus_glandula",12,1
"SH1","Nucella_ostrina","Balanus_glandula",12,1
"SH1","Nucella_ostrina","Not_Feeding",15,0
"SH1","Nucella_ostrina","Not_Feeding",13,0
"SH1","Nucella_ostrina","Not_Feeding",15,0
"SH1","Nucella_ostrina","Not_Feeding",16,0
"SH1","Nucella_ostrina","Not_Feeding",13,0
"SH1","Nucella_ostrina","Not_Feeding",11,0
"SH1","Nucella_ostrina","Not_Feeding",8,0
"SH1","Nucella_ostrina","Not_Feeding",11,0
"SH1","Nucella_ostrina","Not_Feeding",13,0
"SH1","Nucella_ostrina","Not_Feeding",12,0
"SH1","Nucella_ostrina","Not_Feeding",13,0
"SH1","Nucella_ostrina","Not_Feeding",11,0
"SH1","Nucella_ostrina","Not_Feeding",14,0
"SH1","Nucella_ostrina","Not_Feeding",15,0
"SH1","Nucella_ostrina","Not_Feeding",11,0
"SH1","Nucella_ostrina","Not_Feeding",12,0
"SH1","Nucella_ostrina","Not_Feeding",13,0
"SH1","Nucella_ostrina","Not_Feeding",12,0
"SH1","Nucella_ostrina","Not_Feeding",13,0
"SH1","Nucella_ostrina","Not_Feeding",15,0
"SH1","Nucella_ostrina","Not_Feeding",17,0
"SH1","Nucella_ostrina","Not_Feeding",12,0
"SH1","Nucella_ostrina","Not_Feeding",12,0
"SH1","Nucella_ostrina","Not_Feeding",10,0
"SH1","Nucella_ostrina","Balanus_glandula",12,2
"SH1","Nucella_ostrina","Balanus_glandula",12,2
"SH1","Nucella_ostrina","Not_Feeding",8,0
"SH1","Nucella_ostrina","Not_Feeding",12,0
"SH1","Nucella_ostrina","Balanus_glandula",11,1
"SH1","Nucella_ostrina","Not_Feeding",12,0
"SH1","Nucella_ostrina","Not_Feeding",13,0
"SH1","Nucella_ostrina","Not_Feeding",10,0
"SH1","Nucella_ostrina","Not_Feeding",16,0
"SH1","Nucella_ostrina","Not_Feeding",13,0
"SH1","Nucella_ostrina","Not_Feeding",11,0
"SH1","Nucella_ostrina","Not_Feeding",10,0
"SH1","Nucella_ostrina","Not_Feeding",13,0
"SH1","Nucella_ostrina","Not_Feeding",11,0
"SH1","Nucella_ostrina","Not_Feeding",14,0
"SH1","Nucella_ostrina","Not_Feeding",15,0
"SH1","Nucella_ostrina","Not_Feeding",12,0
"SH1","Nucella_ostrina","Not_Feeding",13,0
"SH1","Nucella_ostrina","Not_Feeding",10,0
"SH1","Nucella_ostrina","Balanus_glandula",11,1
"SH1","Nucella_ostrina","Balanus_glandula",9,1
"SH1","Nucella_ostrina","Not_Feeding",11,0
"SH1","Nucella_ostrina","Not_Feeding",11,0
"SH1","Nucella_ostrina","Balanus_glandula",13,2
"SH1","Nucella_ostrina","Balanus_glandula",12,1
"SH1","Nucella_ostrina","Not_Feeding",15,0
"SH1","Nucella_ostrina","Not_Feeding",14,0
