"Prey","AA4.After","AA4.Before","AA6.After","AA6.Before","AA7.After","AA7.Before","BV1.After","BV1.Before","IS1.After","IS1.Before","MN1.After","MN1.Before","MN2.After","MN2.Before","SH1.After","SH1.Before","SH2.After","SH2.Before"
"Balanus_glandula",30.288,27.625,44.34,35.858,17.419,11.989,12.375,18.879,9.813,41.6,12.168,11.366,10.903,16.702,22.707,19.336,28.066,36.084
"Chthamalus_dalli",16.831,15.226,0,0,0,0,0,9.499,0,0,12.878,0,11.989,10.576,0,0,0,12.78
"Lottia_asmi",0,4.912,0,0,3.468,0,0,13.472,0,0,0,0,0,0,0,0,0,0
"Lottia_digitalis",0,0,0,4.775,0,0,0,0,0,0,21.553,0,0,0,0,0,0,0
"Lottia_pelta",0,0,0,50.762,142.02,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mytilus_californianus",307.414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mytilus_trossulus",51.698,32.946,12.087,0,24.924,0,0,0,35.81,66.68,0,0,30.737,47.509,0,0,0,51.848
"Nucella_ostrina",0,0,0,43.571,136.307,85.659,103.483,0,0,0,0,0,0,0,0,0,0,0
"Pollicipes_polymerus",0,0,18.039,12.351,1.923,10.898,0,6.162,0,0,0,0,0,0,0,0,0,0
"Semibalanus_cariosus",80.633,51.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
