HandlingTime IngestionTime DigestionTime
6.8789e+02 8.7157e-19 6.8789e+02
7.0169e+02 8.4968e-19 7.0169e+02
4.4172e+02 1.5365e-18 4.4172e+02
3.7958e+02 1.8656e-18 3.7958e+02
2.3352e+02 3.4742e-18 2.3352e+02
1.5691e+02 5.7793e-18 1.5691e+02
1.3906e+02 1.1491e-20 1.3906e+02
1.2050e+02 1.3804e-20 1.2050e+02
3.7964e+01 6.0544e-20 3.7964e+01
4.5090e+01 4.8579e-20 4.5090e+01
6.2769e+01 3.1809e-20 6.2769e+01
2.4336e+01 1.0697e-19 2.4336e+01
1.4789e+01 2.0237e-19 1.4789e+01
1.0333e+01 3.2022e-19 1.0333e+01
8.1863e+01 2.2642e-20 8.1863e+01
4.0799e+02 2.8976e-21 4.0799e+02
1.6636e+02 9.1353e-21 1.6636e+02
3.6956e+01 6.2667e-20 3.6956e+01
9.5386e+00 2.1096e-21 9.5386e+00
4.6925e+01 2.7450e-22 4.6925e+01
1.8558e+01 8.9995e-22 1.8558e+01
4.0866e+00 6.2431e-21 4.0866e+00
