published_data.originalid,published_data.originaltraitname,published_data.originaltraitdef,published_data.standardisedtraitname,published_data.standardisedtraitdef,published_data.originaltraitvalue,published_data.originaltraitunit,published_data.originalerrorpos,published_data.originalerrorneg,published_data.originalerrorunit,published_data.standardisedtraitvalue,published_data.standardisedtraitunit,published_data.standardisederrorpos,published_data.standardisederrorneg,published_data.standardisederrorunit,published_data.replicates,published_data.habitat,published_data.labfield,published_data.arenavalue,published_data.arenaunit,published_data.arenavaluesi,published_data.arenaunitsi,published_data.ambienttemp,published_data.ambienttempmethod,published_data.ambienttempunit,published_data.ambientlight,published_data.ambientlightunit,published_data.secondstressor,published_data.secondstressordef,published_data.secondstressorvalue,published_data.secondstressorunit,published_data.timestart,published_data.timeend,published_data.totalobstimevalue,published_data.totalobstimeunit,published_data.totalobstimevaluesi,published_data.totalobstimeunitsi,published_data.totalobstimenotes,published_data.resrepvalue,published_data.resrepunit,published_data.resrepvaluesi,published_data.resrepunitsi,published_data.locationtext,published_data.locationtype,published_data.originallocationdate,published_data.locationdate,published_data.locationdateprecision,published_data.coordinatetype,published_data.latitude,published_data.longitude,published_data.interactor1,published_data.interactor1common,published_data.interactor1wholepart,published_data.interactor1wholeparttype,published_data.interactor1number,published_data.interactor1kingdom,published_data.interactor1phylum,published_data.interactor1class,published_data.interactor1order,published_data.interactor1family,published_data.interactor1genus,published_data.interactor1species,published_data.interactor1stage,published_data.interactor1temp,published_data.interactor1tempunit,published_data.interactor1tempmethod,published_data.interactor1growthtemp,published_data.interactor1growthtempunit,published_data.interactor1growthdur,published_data.interactor1growthdurunit,published_data.interactor1growthtype,published_data.interactor1acc,published_data.interactor1acctemp,published_data.interactor1acctempnotes,published_data.interactor1acctime,published_data.interactor1acctimenotes,published_data.interactor1acctimeunit,published_data.interactor1origtemp,published_data.interactor1origtempnotes,published_data.interactor1origtime,published_data.interactor1origtimenotes,published_data.interactor1origtimeunit,published_data.interactor1equilibtimevalue,published_data.interactor1equilibtimeunit,published_data.interactor1size,published_data.interactor1sizeunit,published_data.interactor1sizetype,published_data.interactor1sizesi,published_data.interactor1sizeunitsi,published_data.interactor1denvalue,published_data.interactor1denunit,published_data.interactor1dentypesi,published_data.interactor1denvaluesi,published_data.interactor1denunitsi,published_data.interactor1massvaluesi,published_data.interactor1massunitsi,published_data.interactor2,published_data.interactor2common,published_data.interactor2kingdom,published_data.interactor2phylum,published_data.interactor2class,published_data.interactor2order,published_data.interactor2family,published_data.interactor2genus,published_data.interactor2species,published_data.interactor2stage,published_data.interactor2temp,published_data.interactor2tempunit,published_data.interactor2tempmethod,published_data.interactor2growthtemp,published_data.interactor2growthtempunit,published_data.interactor2growthdur,published_data.interactor2growthdurunit,published_data.interactor2growthtype,published_data.interactor2acc,published_data.interactor2acctemp,published_data.interactor2acctempnotes,published_data.interactor2acctime,published_data.interactor2acctimenotes,published_data.interactor2acctimeunit,published_data.interactor2origtemp,published_data.interactor2origtempnotes,published_data.interactor2origtime,published_data.interactor2origtimenotes,published_data.interactor2origtimeunit,published_data.interactor2equilibtimevalue,published_data.interactor2equilibtimeunit,published_data.interactor2size,published_data.interactor2sizeunit,published_data.interactor2sizetype,published_data.interactor2sizesi,published_data.interactor2sizeunitsi,published_data.interactor2denvalue,published_data.interactor2denunit,published_data.interactor2dentypesi,published_data.interactor2denvaluesi,published_data.interactor2denunitsi,published_data.interactor2massvaluesi,published_data.interactor2massunitsi,published_data.physicalprocess,published_data.physicalprocess_1,published_data.physicalprocess_2,published_data.figuretable,published_data.citation,published_data.doi,published_data.submittedby,published_data.contributoremail,published_data.notes
MTD6,Resource Consumption Rate,The number of resource consumed per number of consumers per time,Resource Consumption Rate,The number of resource consumed per number of consumers per time,0,individual / (1 individual * 24 hour),,,,0,individual / (individual * second),,,,1,freshwater,lab,0.001,cubic metre,0.001,cubic metre,15,direct,celsius,,,,,,,,,24,hour,86400,second,,,not replaced,,not replaced,"Adelaide, South Australia, Australia",,,,0,,-34.933,138.6,Ranatra dispar,water scorpion,,,,Metazoa,Arthropoda,Insecta,Hemiptera,Nepidae,Ranatra,dispar,adult,15,celsius,inferred (ambient),,,,,,field collected,,,,,,,,,,,,,,,,0.0001769986,kilogram,1,individual per arena (1),individual,1000,cubic meter,0.0001769986,kilogram (wet body mass),Anisops deanei,back-swimmer,Metazoa,Arthropoda,Insecta,Hemiptera,Notonectidae,Anisops,deanei,adult,15,celsius,inferred (ambient),,,,,,field collected,,,,,,,,,,,,,,,not stated,0.00001243,kilogram,20,individual per arena (1),individual,20000,cubic meter,0.00001243,kilogram (wet body mass),consumption rate,interaction,ecological event,Fig 1,"Bailey P.C.E. 1989. The effect of water temperature on the functional response of the water stick insect Ranatra dispar (Heteroptera: Nepidae). Australian Journal of Ecology 14, 381-386.",http://dx.doi.org/10.1111/j.1442-9993.1989.tb01448.x,Biotraits,null@null.invalid,
MTD6,Resource Consumption Rate,The number of resource consumed per number of consumers per time,Resource Consumption Rate,The number of resource consumed per number of consumers per time,3,individual / (1 individual * 24 hour),,,,0.00003472222,individual / (individual * second),,,,1,freshwater,lab,0.001,cubic metre,0.001,cubic metre,15,direct,celsius,,,,,,,,,24,hour,86400,second,,,not replaced,,not replaced,"Adelaide, South Australia, Australia",,,,0,,-34.933,138.6,Ranatra dispar,water scorpion,,,,Metazoa,Arthropoda,Insecta,Hemiptera,Nepidae,Ranatra,dispar,adult,15,celsius,inferred (ambient),,,,,,field collected,,,,,,,,,,,,,,,,0.0001769986,kilogram,1,individual per arena (1),individual,1000,cubic meter,0.0001769986,kilogram (wet body mass),Anisops deanei,back-swimmer,Metazoa,Arthropoda,Insecta,Hemiptera,Notonectidae,Anisops,deanei,adult,15,celsius,inferred (ambient),,,,,,field collected,,,,,,,,,,,,,,,not stated,0.00001243,kilogram,20,individual per arena (1),individual,20000,cubic meter,0.00001243,kilogram (wet body mass),consumption rate,interaction,ecological event,Fig 1,"Bailey P.C.E. 1989. The effect of water temperature on the functional response of the water stick insect Ranatra dispar (Heteroptera: Nepidae). Australian Journal of Ecology 14, 381-386.",http://dx.doi.org/10.1111/j.1442-9993.1989.tb01448.x,Biotraits,null@null.invalid,Excluded the highest temp because the rate dropped 20%.
MTD6,Resource Consumption Rate,The number of resource consumed per number of consumers per time,Resource Consumption Rate,The number of resource consumed per number of consumers per time,4,individual / (1 individual * 24 hour),,,,0.0000462963,individual / (individual * second),,,,1,freshwater,lab,0.001,cubic metre,0.001,cubic metre,15,direct,celsius,,,,,,,,,24,hour,86400,second,,,not replaced,,not replaced,"Adelaide, South Australia, Australia",,,,0,,-34.933,138.6,Ranatra dispar,water scorpion,,,,Metazoa,Arthropoda,Insecta,Hemiptera,Nepidae,Ranatra,dispar,adult,15,celsius,inferred (ambient),,,,,,field collected,,,,,,,,,,,,,,,,0.0001769986,kilogram,1,individual per arena (1),individual,1000,cubic meter,0.0001769986,kilogram (wet body mass),Anisops deanei,back-swimmer,Metazoa,Arthropoda,Insecta,Hemiptera,Notonectidae,Anisops,deanei,adult,15,celsius,inferred (ambient),,,,,,field collected,,,,,,,,,,,,,,,not stated,0.00001243,kilogram,20,individual per arena (1),individual,20000,cubic meter,0.00001243,kilogram (wet body mass),consumption rate,interaction,ecological event,Fig 1,"Bailey P.C.E. 1989. The effect of water temperature on the functional response of the water stick insect Ranatra dispar (Heteroptera: Nepidae). Australian Journal of Ecology 14, 381-386.",http://dx.doi.org/10.1111/j.1442-9993.1989.tb01448.x,Biotraits,null@null.invalid,
MTD6,Resource Consumption Rate,The number of resource consumed per number of consumers per time,Resource Consumption Rate,The number of resource consumed per number of consumers per time,5,individual / (1 individual * 24 hour),,,,0.00005787037,individual / (individual * second),,,,1,freshwater,lab,0.001,cubic metre,0.001,cubic metre,15,direct,celsius,,,,,,,,,24,hour,86400,second,,,not replaced,,not replaced,"Adelaide, South Australia, Australia",,,,0,,-34.933,138.6,Ranatra dispar,water scorpion,,,,Metazoa,Arthropoda,Insecta,Hemiptera,Nepidae,Ranatra,dispar,adult,15,celsius,inferred (ambient),,,,,,field collected,,,,,,,,,,,,,,,,0.0001769986,kilogram,1,individual per arena (1),individual,1000,cubic meter,0.0001769986,kilogram (wet body mass),Anisops deanei,back-swimmer,Metazoa,Arthropoda,Insecta,Hemiptera,Notonectidae,Anisops,deanei,adult,15,celsius,inferred (ambient),,,,,,field collected,,,,,,,,,,,,,,,not stated,0.00001243,kilogram,20,individual per arena (1),individual,20000,cubic meter,0.00001243,kilogram (wet body mass),consumption rate,interaction,ecological event,Fig 1,"Bailey P.C.E. 1989. The effect of water temperature on the functional response of the water stick insect Ranatra dispar (Heteroptera: Nepidae). Australian Journal of Ecology 14, 381-386.",http://dx.doi.org/10.1111/j.1442-9993.1989.tb01448.x,Biotraits,null@null.invalid,Data are mean # prey eaten/day/10 offered for all four categories weighted by sample sizes for those categories. Used 10 as a middle value of prey density and to avoid saturating predators.
MTD6,Resource Consumption Rate,The number of resource consumed per number of consumers per time,Resource Consumption Rate,The number of resource consumed per number of consumers per time,5,individual / (1 individual * 24 hour),,,,0.00005787037,individual / (individual * second),,,,1,freshwater,lab,0.001,cubic metre,0.001,cubic metre,15,direct,celsius,,,,,,,,,24,hour,86400,second,,,not replaced,,not replaced,"Adelaide, South Australia, Australia",,,,0,,-34.933,138.6,Ranatra dispar,water scorpion,,,,Metazoa,Arthropoda,Insecta,Hemiptera,Nepidae,Ranatra,dispar,adult,15,celsius,inferred (ambient),,,,,,field collected,,,,,,,,,,,,,,,,0.0001769986,kilogram,1,individual per arena (1),individual,1000,cubic meter,0.0001769986,kilogram (wet body mass),Anisops deanei,back-swimmer,Metazoa,Arthropoda,Insecta,Hemiptera,Notonectidae,Anisops,deanei,adult,15,celsius,inferred (ambient),,,,,,field collected,,,,,,,,,,,,,,,not stated,0.00001243,kilogram,20,individual per arena (1),individual,20000,cubic meter,0.00001243,kilogram (wet body mass),consumption rate,interaction,ecological event,Fig 1,"Bailey P.C.E. 1989. The effect of water temperature on the functional response of the water stick insect Ranatra dispar (Heteroptera: Nepidae). Australian Journal of Ecology 14, 381-386.",http://dx.doi.org/10.1111/j.1442-9993.1989.tb01448.x,Biotraits,null@null.invalid,
MTD6,Resource Consumption Rate,The number of resource consumed per number of consumers per time,Resource Consumption Rate,The number of resource consumed per number of consumers per time,7,individual / (1 individual * 24 hour),,,,0.00008101852,individual / (individual * second),,,,1,freshwater,lab,0.001,cubic metre,0.001,cubic metre,15,direct,celsius,,,,,,,,,24,hour,86400,second,,,not replaced,,not replaced,"Adelaide, South Australia, Australia",,,,0,,-34.933,138.6,Ranatra dispar,water scorpion,,,,Metazoa,Arthropoda,Insecta,Hemiptera,Nepidae,Ranatra,dispar,adult,15,celsius,inferred (ambient),,,,,,field collected,,,,,,,,,,,,,,,,0.0001769986,kilogram,1,individual per arena (1),individual,1000,cubic meter,0.0001769986,kilogram (wet body mass),Anisops deanei,back-swimmer,Metazoa,Arthropoda,Insecta,Hemiptera,Notonectidae,Anisops,deanei,adult,15,celsius,inferred (ambient),,,,,,field collected,,,,,,,,,,,,,,,not stated,0.00001243,kilogram,20,individual per arena (1),individual,20000,cubic meter,0.00001243,kilogram (wet body mass),consumption rate,interaction,ecological event,Fig 1,"Bailey P.C.E. 1989. The effect of water temperature on the functional response of the water stick insect Ranatra dispar (Heteroptera: Nepidae). Australian Journal of Ecology 14, 381-386.",http://dx.doi.org/10.1111/j.1442-9993.1989.tb01448.x,Biotraits,null@null.invalid,Used Datathief to get precise values. Used mean rate from prey density of 100 and 175 given the even number of densities assessed at 19C and to approximate the middle of the distribution of prey densities offered.
MTD6,Resource Consumption Rate,The number of resource consumed per number of consumers per time,Resource Consumption Rate,The number of resource consumed per number of consumers per time,8,individual / (1 individual * 24 hour),,,,0.00009259259,individual / (individual * second),,,,1,freshwater,lab,0.001,cubic metre,0.001,cubic metre,15,direct,celsius,,,,,,,,,24,hour,86400,second,,,not replaced,,not replaced,"Adelaide, South Australia, Australia",,,,0,,-34.933,138.6,Ranatra dispar,water scorpion,,,,Metazoa,Arthropoda,Insecta,Hemiptera,Nepidae,Ranatra,dispar,adult,15,celsius,inferred (ambient),,,,,,field collected,,,,,,,,,,,,,,,,0.0001769986,kilogram,1,individual per arena (1),individual,1000,cubic meter,0.0001769986,kilogram (wet body mass),Anisops deanei,back-swimmer,Metazoa,Arthropoda,Insecta,Hemiptera,Notonectidae,Anisops,deanei,adult,15,celsius,inferred (ambient),,,,,,field collected,,,,,,,,,,,,,,,not stated,0.00001243,kilogram,20,individual per arena (1),individual,20000,cubic meter,0.00001243,kilogram (wet body mass),consumption rate,interaction,ecological event,Fig 1,"Bailey P.C.E. 1989. The effect of water temperature on the functional response of the water stick insect Ranatra dispar (Heteroptera: Nepidae). Australian Journal of Ecology 14, 381-386.",http://dx.doi.org/10.1111/j.1442-9993.1989.tb01448.x,Biotraits,null@null.invalid,
MTD6,Resource Consumption Rate,The number of resource consumed per number of consumers per time,Resource Consumption Rate,The number of resource consumed per number of consumers per time,11,individual / (1 individual * 24 hour),,,,0.0001273148,individual / (individual * second),,,,1,freshwater,lab,0.001,cubic metre,0.001,cubic metre,15,direct,celsius,,,,,,,,,24,hour,86400,second,,,not replaced,,not replaced,"Adelaide, South Australia, Australia",,,,0,,-34.933,138.6,Ranatra dispar,water scorpion,,,,Metazoa,Arthropoda,Insecta,Hemiptera,Nepidae,Ranatra,dispar,adult,15,celsius,inferred (ambient),,,,,,field collected,,,,,,,,,,,,,,,,0.0001769986,kilogram,1,individual per arena (1),individual,1000,cubic meter,0.0001769986,kilogram (wet body mass),Anisops deanei,back-swimmer,Metazoa,Arthropoda,Insecta,Hemiptera,Notonectidae,Anisops,deanei,adult,15,celsius,inferred (ambient),,,,,,field collected,,,,,,,,,,,,,,,not stated,0.00001243,kilogram,20,individual per arena (1),individual,20000,cubic meter,0.00001243,kilogram (wet body mass),consumption rate,interaction,ecological event,Fig 1,"Bailey P.C.E. 1989. The effect of water temperature on the functional response of the water stick insect Ranatra dispar (Heteroptera: Nepidae). Australian Journal of Ecology 14, 381-386.",http://dx.doi.org/10.1111/j.1442-9993.1989.tb01448.x,Biotraits,null@null.invalid,"NOTE: Authors hypothesize and FIND that carabids exploit their mismatch with flies in mobility at low temps, even though BOTH move more with rising temp (Fig 1)"
MTD6,Resource Consumption Rate,The number of resource consumed per number of consumers per time,Resource Consumption Rate,The number of resource consumed per number of consumers per time,0,individual / (1 individual * 24 hour),,,,0,individual / (individual * second),,,,1,freshwater,lab,0.001,cubic metre,0.001,cubic metre,20,direct,celsius,,,,,,,,,24,hour,86400,second,,,not replaced,,not replaced,"Adelaide, South Australia, Australia",,,,0,,-34.933,138.6,Ranatra dispar,water scorpion,,,,Metazoa,Arthropoda,Insecta,Hemiptera,Nepidae,Ranatra,dispar,adult,20,celsius,inferred (ambient),,,,,,field collected,,,,,,,,,,,,,,,,0.0001769986,kilogram,1,individual per arena (1),individual,1000,cubic meter,0.0001769986,kilogram (wet body mass),Anisops deanei,back-swimmer,Metazoa,Arthropoda,Insecta,Hemiptera,Notonectidae,Anisops,deanei,adult,20,celsius,inferred (ambient),,,,,,field collected,,,,,,,,,,,,,,,not stated,0.00001243,kilogram,20,individual per arena (1),individual,20000,cubic meter,0.00001243,kilogram (wet body mass),consumption rate,interaction,ecological event,Fig 1,"Bailey P.C.E. 1989. The effect of water temperature on the functional response of the water stick insect Ranatra dispar (Heteroptera: Nepidae). Australian Journal of Ecology 14, 381-386.",http://dx.doi.org/10.1111/j.1442-9993.1989.tb01448.x,Biotraits,null@null.invalid,
MTD6,Resource Consumption Rate,The number of resource consumed per number of consumers per time,Resource Consumption Rate,The number of resource consumed per number of consumers per time,6,individual / (1 individual * 24 hour),,,,0.00006944444,individual / (individual * second),,,,1,freshwater,lab,0.001,cubic metre,0.001,cubic metre,20,direct,celsius,,,,,,,,,24,hour,86400,second,,,not replaced,,not replaced,"Adelaide, South Australia, Australia",,,,0,,-34.933,138.6,Ranatra dispar,water scorpion,,,,Metazoa,Arthropoda,Insecta,Hemiptera,Nepidae,Ranatra,dispar,adult,20,celsius,inferred (ambient),,,,,,field collected,,,,,,,,,,,,,,,,0.0001769986,kilogram,1,individual per arena (1),individual,1000,cubic meter,0.0001769986,kilogram (wet body mass),Anisops deanei,back-swimmer,Metazoa,Arthropoda,Insecta,Hemiptera,Notonectidae,Anisops,deanei,adult,20,celsius,inferred (ambient),,,,,,field collected,,,,,,,,,,,,,,,not stated,0.00001243,kilogram,20,individual per arena (1),individual,20000,cubic meter,0.00001243,kilogram (wet body mass),consumption rate,interaction,ecological event,Fig 1,"Bailey P.C.E. 1989. The effect of water temperature on the functional response of the water stick insect Ranatra dispar (Heteroptera: Nepidae). Australian Journal of Ecology 14, 381-386.",http://dx.doi.org/10.1111/j.1442-9993.1989.tb01448.x,Biotraits,null@null.invalid,
