published_data.originaltraitname,published_data.habitat,published_data.interactor1,published_data.interactor1size,published_data.interactor1sizeunit,published_data.interactor1sizetype,published_data.interactor1sizesi,published_data.interactor1sizeunitsi,published_data.interactor1massvaluesi,published_data.interactor1massunitsi,published_data.interactor2,published_data.interactor2size,published_data.interactor2sizeunit,published_data.interactor2sizetype,published_data.interactor2sizesi,published_data.interactor2sizeunitsi,published_data.interactor2massvaluesi,published_data.interactor2massunitsi,sizepred,sizeprey
Resource Consumption Rate,terrestrial,Macrocheles muscaedomesticae,NA,,,1.03935443836281e-06,kilogram,1.03935443836281e-06,kilogram (wet body mass),Musca domestica,NA,,not stated,2.97916184319993e-07,kilogram,2.97916184319993e-07,kilogram (wet body mass),1.03935443836281e-06,2.97916184319993e-07
Resource Consumption Rate,terrestrial,Macrocheles muscaedomesticae,NA,,,1.03935443836281e-06,kilogram,1.03935443836281e-06,kilogram (wet body mass),Musca domestica,NA,,not stated,2.97916184319993e-07,kilogram,2.97916184319993e-07,kilogram (wet body mass),1.03935443836281e-06,2.97916184319993e-07
Resource Consumption Rate,terrestrial,Macrocheles muscaedomesticae,NA,,,1.03935443836281e-06,kilogram,1.03935443836281e-06,kilogram (wet body mass),Musca domestica,NA,,not stated,2.97916184319993e-07,kilogram,2.97916184319993e-07,kilogram (wet body mass),1.03935443836281e-06,2.97916184319993e-07
Resource Consumption Rate,terrestrial,Macrocheles muscaedomesticae,NA,,,1.03935443836281e-06,kilogram,1.03935443836281e-06,kilogram (wet body mass),Musca domestica,NA,,not stated,2.97916184319993e-07,kilogram,2.97916184319993e-07,kilogram (wet body mass),1.03935443836281e-06,2.97916184319993e-07
Resource Consumption Rate,terrestrial,Carcinops pumilio,NA,,,5.0149212308832e-07,kilogram,5.0149212308832e-07,kilogram (wet body mass),Musca domestica,NA,,not stated,2.97916184319993e-07,kilogram,2.97916184319993e-07,kilogram (wet body mass),5.0149212308832e-07,2.97916184319993e-07
Resource Consumption Rate,terrestrial,Carcinops pumilio,NA,,,5.0149212308832e-07,kilogram,5.0149212308832e-07,kilogram (wet body mass),Musca domestica,NA,,not stated,2.97916184319993e-07,kilogram,2.97916184319993e-07,kilogram (wet body mass),5.0149212308832e-07,2.97916184319993e-07
Resource Consumption Rate,terrestrial,Carcinops pumilio,NA,,,5.0149212308832e-07,kilogram,5.0149212308832e-07,kilogram (wet body mass),Musca domestica,NA,,not stated,2.97916184319993e-07,kilogram,2.97916184319993e-07,kilogram (wet body mass),5.0149212308832e-07,2.97916184319993e-07
Resource Consumption Rate,terrestrial,Carcinops pumilio,NA,,,5.0149212308832e-07,kilogram,5.0149212308832e-07,kilogram (wet body mass),Musca domestica,NA,,not stated,2.97916184319993e-07,kilogram,2.97916184319993e-07,kilogram (wet body mass),5.0149212308832e-07,2.97916184319993e-07
Resource Consumption Rate,terrestrial,Podisus maculiventris,NA,,,1e-04,kilogram,1e-04,kilogram (wet body mass),Spodoptera exigua,2e-05,kilogram,wet body mass (mean),2e-05,kilogram,2e-05,kilogram (wet body mass),1e-04,2e-05
Resource Consumption Rate,terrestrial,Podisus maculiventris,NA,,,1e-04,kilogram,1e-04,kilogram (wet body mass),Spodoptera exigua,2e-05,kilogram,wet body mass (mean),2e-05,kilogram,2e-05,kilogram (wet body mass),1e-04,2e-05
Resource Consumption Rate,terrestrial,Podisus maculiventris,NA,,,1e-04,kilogram,1e-04,kilogram (wet body mass),Spodoptera exigua,2e-05,kilogram,wet body mass (mean),2e-05,kilogram,2e-05,kilogram (wet body mass),1e-04,2e-05
Resource Consumption Rate,terrestrial,Podisus maculiventris,NA,,,1e-04,kilogram,1e-04,kilogram (wet body mass),Spodoptera exigua,2e-05,kilogram,wet body mass (mean),2e-05,kilogram,2e-05,kilogram (wet body mass),1e-04,2e-05
Resource Consumption Rate,terrestrial,Podisus maculiventris,NA,,,1e-04,kilogram,1e-04,kilogram (wet body mass),Spodoptera exigua,2e-05,kilogram,wet body mass (mean),2e-05,kilogram,2e-05,kilogram (wet body mass),1e-04,2e-05
Resource Consumption Rate,terrestrial,Podisus maculiventris,NA,,,1e-04,kilogram,1e-04,kilogram (wet body mass),Spodoptera exigua,2e-05,kilogram,wet body mass (mean),2e-05,kilogram,2e-05,kilogram (wet body mass),1e-04,2e-05
Resource Consumption Rate,terrestrial,Podisus maculiventris,NA,,,1e-04,kilogram,1e-04,kilogram (wet body mass),Spodoptera exigua,2e-05,kilogram,wet body mass (mean),2e-05,kilogram,2e-05,kilogram (wet body mass),1e-04,2e-05
Resource Consumption Rate,terrestrial,Podisus maculiventris,NA,,,1e-04,kilogram,1e-04,kilogram (wet body mass),Spodoptera exigua,2e-05,kilogram,wet body mass (mean),2e-05,kilogram,2e-05,kilogram (wet body mass),1e-04,2e-05
Resource Consumption Rate,terrestrial,Podisus maculiventris,NA,,,1e-04,kilogram,1e-04,kilogram (wet body mass),Spodoptera exigua,2e-05,kilogram,wet body mass (mean),2e-05,kilogram,2e-05,kilogram (wet body mass),1e-04,2e-05
Resource Consumption Rate,terrestrial,Podisus maculiventris,NA,,,1e-04,kilogram,1e-04,kilogram (wet body mass),Spodoptera exigua,2e-05,kilogram,wet body mass (mean),2e-05,kilogram,2e-05,kilogram (wet body mass),1e-04,2e-05
Resource Consumption Rate,terrestrial,Podisus maculiventris,NA,,,1e-04,kilogram,1e-04,kilogram (wet body mass),Spodoptera exigua,2e-05,kilogram,wet body mass (mean),2e-05,kilogram,2e-05,kilogram (wet body mass),1e-04,2e-05
Resource Consumption Rate,terrestrial,Podisus maculiventris,NA,,,1e-04,kilogram,1e-04,kilogram (wet body mass),Spodoptera exigua,2e-05,kilogram,wet body mass (mean),2e-05,kilogram,2e-05,kilogram (wet body mass),1e-04,2e-05
Resource Consumption Rate,terrestrial,Podisus maculiventris,NA,,,1e-04,kilogram,1e-04,kilogram (wet body mass),Spodoptera exigua,2e-05,kilogram,wet body mass (mean),2e-05,kilogram,2e-05,kilogram (wet body mass),1e-04,2e-05
Resource Consumption Rate,terrestrial,Podisus maculiventris,NA,,,1e-04,kilogram,1e-04,kilogram (wet body mass),Spodoptera exigua,2e-05,kilogram,wet body mass (mean),2e-05,kilogram,2e-05,kilogram (wet body mass),1e-04,2e-05
Resource Consumption Rate,terrestrial,Podisus maculiventris,NA,,,1e-04,kilogram,1e-04,kilogram (wet body mass),Spodoptera exigua,2e-05,kilogram,wet body mass (mean),2e-05,kilogram,2e-05,kilogram (wet body mass),1e-04,2e-05
