published_data.originalid,published_data.originaltraitname,published_data.originaltraitdef,published_data.standardisedtraitname,published_data.standardisedtraitdef,published_data.originaltraitvalue,published_data.originaltraitunit,published_data.originalerrorpos,published_data.originalerrorneg,published_data.originalerrorunit,published_data.standardisedtraitvalue,published_data.standardisedtraitunit,published_data.standardisederrorpos,published_data.standardisederrorneg,published_data.standardisederrorunit,published_data.replicates,published_data.habitat,published_data.labfield,published_data.arenavalue,published_data.arenaunit,published_data.arenavaluesi,published_data.arenaunitsi,published_data.ambienttemp,published_data.ambienttempmethod,published_data.ambienttempunit,published_data.ambientlight,published_data.ambientlightunit,published_data.secondstressor,published_data.secondstressordef,published_data.secondstressorvalue,published_data.secondstressorunit,published_data.timestart,published_data.timeend,published_data.totalobstimevalue,published_data.totalobstimeunit,published_data.totalobstimevaluesi,published_data.totalobstimeunitsi,published_data.totalobstimenotes,published_data.resrepvalue,published_data.resrepunit,published_data.resrepvaluesi,published_data.resrepunitsi,published_data.locationtext,published_data.locationtype,published_data.originallocationdate,published_data.locationdate,published_data.locationdateprecision,published_data.coordinatetype,published_data.latitude,published_data.longitude,published_data.interactor1,published_data.interactor1common,published_data.interactor1wholepart,published_data.interactor1wholeparttype,published_data.interactor1number,published_data.interactor1kingdom,published_data.interactor1phylum,published_data.interactor1class,published_data.interactor1order,published_data.interactor1family,published_data.interactor1genus,published_data.interactor1species,published_data.interactor1stage,published_data.interactor1temp,published_data.interactor1tempunit,published_data.interactor1tempmethod,published_data.interactor1growthtemp,published_data.interactor1growthtempunit,published_data.interactor1growthdur,published_data.interactor1growthdurunit,published_data.interactor1growthtype,published_data.interactor1acc,published_data.interactor1acctemp,published_data.interactor1acctempnotes,published_data.interactor1acctime,published_data.interactor1acctimenotes,published_data.interactor1acctimeunit,published_data.interactor1origtemp,published_data.interactor1origtempnotes,published_data.interactor1origtime,published_data.interactor1origtimenotes,published_data.interactor1origtimeunit,published_data.interactor1equilibtimevalue,published_data.interactor1equilibtimeunit,published_data.interactor1size,published_data.interactor1sizeunit,published_data.interactor1sizetype,published_data.interactor1sizesi,published_data.interactor1sizeunitsi,published_data.interactor1denvalue,published_data.interactor1denunit,published_data.interactor1dentypesi,published_data.interactor1denvaluesi,published_data.interactor1denunitsi,published_data.interactor1massvaluesi,published_data.interactor1massunitsi,published_data.interactor2,published_data.interactor2common,published_data.interactor2kingdom,published_data.interactor2phylum,published_data.interactor2class,published_data.interactor2order,published_data.interactor2family,published_data.interactor2genus,published_data.interactor2species,published_data.interactor2stage,published_data.interactor2temp,published_data.interactor2tempunit,published_data.interactor2tempmethod,published_data.interactor2growthtemp,published_data.interactor2growthtempunit,published_data.interactor2growthdur,published_data.interactor2growthdurunit,published_data.interactor2growthtype,published_data.interactor2acc,published_data.interactor2acctemp,published_data.interactor2acctempnotes,published_data.interactor2acctime,published_data.interactor2acctimenotes,published_data.interactor2acctimeunit,published_data.interactor2origtemp,published_data.interactor2origtempnotes,published_data.interactor2origtime,published_data.interactor2origtimenotes,published_data.interactor2origtimeunit,published_data.interactor2equilibtimevalue,published_data.interactor2equilibtimeunit,published_data.interactor2size,published_data.interactor2sizeunit,published_data.interactor2sizetype,published_data.interactor2sizesi,published_data.interactor2sizeunitsi,published_data.interactor2denvalue,published_data.interactor2denunit,published_data.interactor2dentypesi,published_data.interactor2denvaluesi,published_data.interactor2denunitsi,published_data.interactor2massvaluesi,published_data.interactor2massunitsi,published_data.physicalprocess,published_data.physicalprocess_1,published_data.physicalprocess_2,published_data.figuretable,published_data.citation,published_data.doi,published_data.submittedby,published_data.contributoremail,published_data.notes
MTD139,Voluntary Body Velocity,Velocity of the whole organism with no apparent stimulus,Voluntary Body Velocity,Velocity of the whole organism with no apparent stimulus,3.6451,millimeter / (1 individual * 1 second),2.4096,2.4096,,0.0036451,meter / (individual * second),0.0024096,0.0024096,SD,10,marine,lab,0.00003,cubic metre,0.00003,cubic metre,0,direct,celsius,,,,,,,,,,not stated,,,,,not stated,,,"St Andrews, New Brunswick, Canada",,,,0,,45.074,-67.052,Melanogrammus aeglefinus,atlantic haddock,,,,Metazoa,Chordata,Actinopterygii,Gadiformes,Gadidae,Melanogrammus,aeglefinus,juvenile,0,celsius,inferred (ambient),,,,,,captive bred (at acclimation temperature),8,,432000,,second,,,,,,,,0.006,meter,body length (mean),0.00000161776168393701,kilogram,1,individual per arena (1),individual,33333.3333333333,cubic meter,0.00000161776168393701,kilogram (wet body mass),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not stated,,,,,,,,,,body velocity,body movement,body movement,Fig 2a,"Hunt von Herbing I. & K. Keating. 2003. Temperature-induced changes in viscosity and its effects on swimming speed in larval haddock. In: Proceedings of the 26th Annual Larval Fish Conference (edited by H.I. Browman & A.B. Skiftesvik). Institute of Marine Research, Norway.",,Biotraits,null@null.invalid,
MTD139,Voluntary Body Velocity,Velocity of the whole organism with no apparent stimulus,Voluntary Body Velocity,Velocity of the whole organism with no apparent stimulus,11.1973,millimeter / (1 individual * 1 second),2.876,2.876,,0.0111973,meter / (individual * second),0.002876,0.002876,SD,10,marine,lab,0.00003,cubic metre,0.00003,cubic metre,5,direct,celsius,,,,,,,,,,not stated,,,,,not stated,,,"St Andrews, New Brunswick, Canada",,,,0,,45.074,-67.052,Melanogrammus aeglefinus,atlantic haddock,,,,Metazoa,Chordata,Actinopterygii,Gadiformes,Gadidae,Melanogrammus,aeglefinus,juvenile,5,celsius,inferred (ambient),,,,,,captive bred (at acclimation temperature),8,,432000,,second,,,,,,,,0.006,meter,body length (mean),0.00000161776168393701,kilogram,1,individual per arena (1),individual,33333.3333333333,cubic meter,0.00000161776168393701,kilogram (wet body mass),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not stated,,,,,,,,,,body velocity,body movement,body movement,Fig 2a,"Hunt von Herbing I. & K. Keating. 2003. Temperature-induced changes in viscosity and its effects on swimming speed in larval haddock. In: Proceedings of the 26th Annual Larval Fish Conference (edited by H.I. Browman & A.B. Skiftesvik). Institute of Marine Research, Norway.",,Biotraits,null@null.invalid,
MTD139,Voluntary Body Velocity,Velocity of the whole organism with no apparent stimulus,Voluntary Body Velocity,Velocity of the whole organism with no apparent stimulus,12.5713,millimeter / (1 individual * 1 second),2.9336,2.9336,,0.0125713,meter / (individual * second),0.0029336,0.0029336,SD,10,marine,lab,0.00003,cubic metre,0.00003,cubic metre,10,direct,celsius,,,,,,,,,,not stated,,,,,not stated,,,"St Andrews, New Brunswick, Canada",,,,0,,45.074,-67.052,Melanogrammus aeglefinus,atlantic haddock,,,,Metazoa,Chordata,Actinopterygii,Gadiformes,Gadidae,Melanogrammus,aeglefinus,juvenile,10,celsius,inferred (ambient),,,,,,captive bred (at acclimation temperature),8,,432000,,second,,,,,,,,0.006,meter,body length (mean),0.00000161776168393701,kilogram,1,individual per arena (1),individual,33333.3333333333,cubic meter,0.00000161776168393701,kilogram (wet body mass),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not stated,,,,,,,,,,body velocity,body movement,body movement,Fig 2a,"Hunt von Herbing I. & K. Keating. 2003. Temperature-induced changes in viscosity and its effects on swimming speed in larval haddock. In: Proceedings of the 26th Annual Larval Fish Conference (edited by H.I. Browman & A.B. Skiftesvik). Institute of Marine Research, Norway.",,Biotraits,null@null.invalid,
MTD215,Voluntary Body Velocity,Velocity of the whole organism with no apparent stimulus,Voluntary Body Velocity,Velocity of the whole organism with no apparent stimulus,3.584448,centimeter / (1 individual * 1 second),0.0588,0.0588,,0.03584448,meter / (individual * second),0.000588,0.000588,SE,20,terrestrial,lab,2.44,metre,2.44,metre,,,,,,,,,,,,,not stated,,,,,not stated,,,missing,,,,0,,,,Thamnophis sirtalis,common garter snake,,,,Metazoa,Chordata,Reptilia,Squamata,Colubridae,Thamnophis,sirtalis,adult,15.304,celsius,direct,,,,,,,27.5,25-30C,,,,,,,,,,,0.0333,kilogram,wet body mass (mean),0.0333,kilogram,1,individual per arena (1),individual,0.4098360656,meter,0.0333,kilogram (wet body mass),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not stated,,,,,,,,,,body velocity,body movement,body movement,Fig 3,"Heckrotte C. 1967. Relations of body-temperature, size, and crawling speed of the common garter snake, Thamnophis s. sirtalis. Copeia 1967(4), 759-763.",http://dx.doi.org/10.2307/1441886,Biotraits,null@null.invalid,
MTD215,Voluntary Body Velocity,Velocity of the whole organism with no apparent stimulus,Voluntary Body Velocity,Velocity of the whole organism with no apparent stimulus,3.77952,centimeter / (1 individual * 1 second),0.062,0.062,,0.0377952,meter / (individual * second),0.00062,0.00062,SE,20,terrestrial,lab,2.44,metre,2.44,metre,,,,,,,,,,,,,not stated,,,,,not stated,,,missing,,,,0,,,,Thamnophis sirtalis,common garter snake,,,,Metazoa,Chordata,Reptilia,Squamata,Colubridae,Thamnophis,sirtalis,adult,20.9185,celsius,direct,,,,,,,27.5,25-30C,,,,,,,,,,,0.0333,kilogram,wet body mass (mean),0.0333,kilogram,1,individual per arena (1),individual,0.4098360656,meter,0.0333,kilogram (wet body mass),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not stated,,,,,,,,,,body velocity,body movement,body movement,Fig 3,"Heckrotte C. 1967. Relations of body-temperature, size, and crawling speed of the common garter snake, Thamnophis s. sirtalis. Copeia 1967(4), 759-763.",http://dx.doi.org/10.2307/1441886,Biotraits,null@null.invalid,
MTD215,Voluntary Body Velocity,Velocity of the whole organism with no apparent stimulus,Voluntary Body Velocity,Velocity of the whole organism with no apparent stimulus,3.910584,centimeter / (1 individual * 1 second),0.06415,0.06415,,0.03910584,meter / (individual * second),0.0006415,0.0006415,SE,20,terrestrial,lab,2.44,metre,2.44,metre,,,,,,,,,,,,,not stated,,,,,not stated,,,missing,,,,0,,,,Thamnophis sirtalis,common garter snake,,,,Metazoa,Chordata,Reptilia,Squamata,Colubridae,Thamnophis,sirtalis,adult,24.1506,celsius,direct,,,,,,,27.5,25-30C,,,,,,,,,,,0.0333,kilogram,wet body mass (mean),0.0333,kilogram,1,individual per arena (1),individual,0.4098360656,meter,0.0333,kilogram (wet body mass),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not stated,,,,,,,,,,body velocity,body movement,body movement,Fig 3,"Heckrotte C. 1967. Relations of body-temperature, size, and crawling speed of the common garter snake, Thamnophis s. sirtalis. Copeia 1967(4), 759-763.",http://dx.doi.org/10.2307/1441886,Biotraits,null@null.invalid,
MTD215,Voluntary Body Velocity,Velocity of the whole organism with no apparent stimulus,Voluntary Body Velocity,Velocity of the whole organism with no apparent stimulus,4.23672,centimeter / (1 individual * 1 second),0.0695,0.0695,,0.0423672,meter / (individual * second),0.000695,0.000695,SE,20,terrestrial,lab,2.44,metre,2.44,metre,,,,,,,,,,,,,not stated,,,,,not stated,,,missing,,,,0,,,,Thamnophis sirtalis,common garter snake,,,,Metazoa,Chordata,Reptilia,Squamata,Colubridae,Thamnophis,sirtalis,adult,32.9679,celsius,direct,,,,,,,27.5,25-30C,,,,,,,,,,,0.0333,kilogram,wet body mass (mean),0.0333,kilogram,1,individual per arena (1),individual,0.4098360656,meter,0.0333,kilogram (wet body mass),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not stated,,,,,,,,,,body velocity,body movement,body movement,Fig 3,"Heckrotte C. 1967. Relations of body-temperature, size, and crawling speed of the common garter snake, Thamnophis s. sirtalis. Copeia 1967(4), 759-763.",http://dx.doi.org/10.2307/1441886,Biotraits,null@null.invalid,
MTD379,Escape Body Velocity,Velocity of the whole body during escape burst movement of a resource,Escape Body Velocity,Velocity of the whole body during escape burst movement of a resource,30.83662,centimeter / (1 individual * 1 second),,,,0.3083662,meter / (individual * second),,,,1,terrestrial,lab,2.44,metre,2.44,metre,,direct,,,,,,,,,,,not stated,,,,,not stated,,,missing,,,,0,,,,Homo sapiens,human,,,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,sapiens,adult,37,celsius,inferred (endotherm),,,,,,,,,,,,,,,,,,,,,,80,kilogram,1,individual per arena (1),individual,0.4098360656,meter,80,kilogram (wet body mass),Thamnophis sirtalis,common garter snake,Metazoa,Chordata,Reptilia,Squamata,Colubridae,Thamnophis,sirtalis,adult,16.9313,celsius,direct,,,,,,,27.5,25-30C,,,,,,,,,,,0.0333,kilogram,wet body mass (mean),0.0333,kilogram,1,individual per arena (1),individual,0.4098360656,meter,0.0333,kilogram (wet body mass),body velocity,body movement,body movement,Fig 3,"Heckrotte C. 1967. Relations of body-temperature, size, and crawling speed of the common garter snake, Thamnophis s. sirtalis. Copeia 1967(4), 759-763.",http://dx.doi.org/10.2307/1441886,Biotraits,null@null.invalid,
MTD379,Escape Body Velocity,Velocity of the whole body during escape burst movement of a resource,Escape Body Velocity,Velocity of the whole body during escape burst movement of a resource,29.99537,centimeter / (1 individual * 1 second),,,,0.2999537,meter / (individual * second),,,,1,terrestrial,lab,2.44,metre,2.44,metre,,direct,,,,,,,,,,,not stated,,,,,not stated,,,missing,,,,0,,,,Homo sapiens,human,,,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,sapiens,adult,37,celsius,inferred (endotherm),,,,,,,,,,,,,,,,,,,,,,80,kilogram,1,individual per arena (1),individual,0.4098360656,meter,80,kilogram (wet body mass),Thamnophis sirtalis,common garter snake,Metazoa,Chordata,Reptilia,Squamata,Colubridae,Thamnophis,sirtalis,adult,19.4684,celsius,direct,,,,,,,27.5,25-30C,,,,,,,,,,,0.0333,kilogram,wet body mass (mean),0.0333,kilogram,1,individual per arena (1),individual,0.4098360656,meter,0.0333,kilogram (wet body mass),body velocity,body movement,body movement,Fig 3,"Heckrotte C. 1967. Relations of body-temperature, size, and crawling speed of the common garter snake, Thamnophis s. sirtalis. Copeia 1967(4), 759-763.",http://dx.doi.org/10.2307/1441886,Biotraits,null@null.invalid,
MTD379,Escape Body Velocity,Velocity of the whole body during escape burst movement of a resource,Escape Body Velocity,Velocity of the whole body during escape burst movement of a resource,70.56425,centimeter / (1 individual * 1 second),,,,0.7056425,meter / (individual * second),,,,1,terrestrial,lab,2.44,metre,2.44,metre,,direct,,,,,,,,,,,not stated,,,,,not stated,,,missing,,,,0,,,,Homo sapiens,human,,,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,sapiens,adult,37,celsius,inferred (endotherm),,,,,,,,,,,,,,,,,,,,,,80,kilogram,1,individual per arena (1),individual,0.4098360656,meter,80,kilogram (wet body mass),Thamnophis sirtalis,common garter snake,Metazoa,Chordata,Reptilia,Squamata,Colubridae,Thamnophis,sirtalis,adult,24.1999,celsius,direct,,,,,,,27.5,25-30C,,,,,,,,,,,0.0333,kilogram,wet body mass (mean),0.0333,kilogram,1,individual per arena (1),individual,0.4098360656,meter,0.0333,kilogram (wet body mass),body velocity,body movement,body movement,Fig 3,"Heckrotte C. 1967. Relations of body-temperature, size, and crawling speed of the common garter snake, Thamnophis s. sirtalis. Copeia 1967(4), 759-763.",http://dx.doi.org/10.2307/1441886,Biotraits,null@null.invalid,
