published_data.originaltraitname,published_data.habitat,published_data.interactor1,published_data.interactor1size,published_data.interactor1sizeunit,published_data.interactor1sizetype,published_data.interactor1sizesi,published_data.interactor1sizeunitsi,published_data.interactor1massvaluesi,published_data.interactor1massunitsi,published_data.interactor2,published_data.interactor2size,published_data.interactor2sizeunit,published_data.interactor2sizetype,published_data.interactor2sizesi,published_data.interactor2sizeunitsi,published_data.interactor2massvaluesi,published_data.interactor2massunitsi,sizepred,sizeprey
Voluntary Body Velocity,marine,Melanogrammus aeglefinus,0.006,meter,body length (mean),1.61776168393701e-06,kilogram,1.61776168393701e-06,kilogram (wet body mass),,NA,,not stated,NA,,NA,,0.006,NA
Voluntary Body Velocity,marine,Melanogrammus aeglefinus,0.006,meter,body length (mean),1.61776168393701e-06,kilogram,1.61776168393701e-06,kilogram (wet body mass),,NA,,not stated,NA,,NA,,0.006,NA
Voluntary Body Velocity,marine,Melanogrammus aeglefinus,0.006,meter,body length (mean),1.61776168393701e-06,kilogram,1.61776168393701e-06,kilogram (wet body mass),,NA,,not stated,NA,,NA,,0.006,NA
Voluntary Body Velocity,terrestrial,Thamnophis sirtalis,0.0333,kilogram,wet body mass (mean),0.0333,kilogram,0.0333,kilogram (wet body mass),,NA,,not stated,NA,,NA,,0.0333,NA
Voluntary Body Velocity,terrestrial,Thamnophis sirtalis,0.0333,kilogram,wet body mass (mean),0.0333,kilogram,0.0333,kilogram (wet body mass),,NA,,not stated,NA,,NA,,0.0333,NA
Voluntary Body Velocity,terrestrial,Thamnophis sirtalis,0.0333,kilogram,wet body mass (mean),0.0333,kilogram,0.0333,kilogram (wet body mass),,NA,,not stated,NA,,NA,,0.0333,NA
Voluntary Body Velocity,terrestrial,Thamnophis sirtalis,0.0333,kilogram,wet body mass (mean),0.0333,kilogram,0.0333,kilogram (wet body mass),,NA,,not stated,NA,,NA,,0.0333,NA
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0333,kilogram,wet body mass (mean),0.0333,kilogram,0.0333,kilogram (wet body mass),80,0.0333
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0333,kilogram,wet body mass (mean),0.0333,kilogram,0.0333,kilogram (wet body mass),80,0.0333
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0333,kilogram,wet body mass (mean),0.0333,kilogram,0.0333,kilogram (wet body mass),80,0.0333
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0333,kilogram,wet body mass (mean),0.0333,kilogram,0.0333,kilogram (wet body mass),80,0.0333
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0333,kilogram,wet body mass (mean),0.0333,kilogram,0.0333,kilogram (wet body mass),80,0.0333
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0333,kilogram,wet body mass (mean),0.0333,kilogram,0.0333,kilogram (wet body mass),80,0.0333
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0333,kilogram,wet body mass (mean),0.0333,kilogram,0.0333,kilogram (wet body mass),80,0.0333
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0333,kilogram,wet body mass (mean),0.0333,kilogram,0.0333,kilogram (wet body mass),80,0.0333
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0333,kilogram,wet body mass (mean),0.0333,kilogram,0.0333,kilogram (wet body mass),80,0.0333
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0333,kilogram,wet body mass (mean),0.0333,kilogram,0.0333,kilogram (wet body mass),80,0.0333
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0333,kilogram,wet body mass (mean),0.0333,kilogram,0.0333,kilogram (wet body mass),80,0.0333
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0333,kilogram,wet body mass (mean),0.0333,kilogram,0.0333,kilogram (wet body mass),80,0.0333
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0333,kilogram,wet body mass (mean),0.0333,kilogram,0.0333,kilogram (wet body mass),80,0.0333
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0333,kilogram,wet body mass (mean),0.0333,kilogram,0.0333,kilogram (wet body mass),80,0.0333
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0333,kilogram,wet body mass (mean),0.0333,kilogram,0.0333,kilogram (wet body mass),80,0.0333
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0333,kilogram,wet body mass (mean),0.0333,kilogram,0.0333,kilogram (wet body mass),80,0.0333
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0333,kilogram,wet body mass (mean),0.0333,kilogram,0.0333,kilogram (wet body mass),80,0.0333
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0333,kilogram,wet body mass (mean),0.0333,kilogram,0.0333,kilogram (wet body mass),80,0.0333
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0333,kilogram,wet body mass (mean),0.0333,kilogram,0.0333,kilogram (wet body mass),80,0.0333
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0333,kilogram,wet body mass (mean),0.0333,kilogram,0.0333,kilogram (wet body mass),80,0.0333
