OBS,ID,SAMPL,AGE,SEX,HD,TT,DL,DB,CA,SG,ER,CL,PC
475,1,11,A,F,30,2,0,0,0,0,1,0,0
476,2,11,S,F,10,5,0,0,0,0,0,0,0
477,3,11,A,F,102,3,0,0,0,2,0,0,0
478,4,11,A,F,0,0,0,0,0,0,0,0,0
479,5,11,A,F,15,0,0,0,0,0,1,0,0
480,6,11,A,F,15,5,0,1,0,0,1,0,0
481,7,11,A,F,16,54,0,1,0,2,1,0,0
482,8,11,A,F,2,0,0,0,0,0,0,0,0
483,9,11,A,F,18,35,0,0,0,0,3,0,0
484,10,11,A,F,10,39,0,0,0,4,0,0,0
485,11,11,S,F,4,4,0,0,0,0,2,0,0
486,12,11,A,F,76,8,0,0,0,1,0,0,0
487,13,11,A,F,1,0,0,0,0,0,0,0,0
488,14,11,A,M,0,9,0,0,0,8,0,0,0
489,15,11,A,M,24,0,0,0,0,1,0,0,0
490,16,11,A,M,2,1,0,0,0,0,0,0,0
491,17,11,A,M,0,0,0,0,0,0,0,0,0
492,17,11,A,M,0,0,0,0,0,0,0,0,0
493,18,11,A,M,37,32,0,0,0,0,0,0,0
494,19,11,S,M,238,18,0,2,0,2,1,0,0
495,20,11,A,M,1,2,0,0,0,2,0,0,0
496,21,11,A,M,7,1,2,0,0,1,1,0,0
497,22,11,A,M,8,46,0,0,0,1,0,0,0
498,24,11,A,M,4,1,0,1,0,0,0,0,0
499,26,11,A,M,39,8,0,0,0,1,0,0,0
500,27,11,A,M,99,87,0,0,0,8,1,0,0
501,28,11,A,M,36,5,0,0,0,1,0,0,0
502,29,11,A,M,1,12,0,0,0,1,1,0,0
503,30,11,A,M,50,14,0,0,0,0,0,0,0
504,77,11,A,F,19,2,2,0,0,0,0,0,0
549,280,12,A,M,0,18,0,0,0,0,0,0,0
550,281,12,A,M,2,60,0,0,1,1,0,0,0
551,282,12,A,M,17,0,0,0,0,0,0,0,0
552,283,12,S,M,2,0,0,0,0,1,0,0,0
553,284,12,A,M,28,3,1,0,0,24,0,0,0
554,285,12,A,M,14,63,3,0,0,0,0,0,14
555,286,12,A,M,1,63,0,0,2,0,0,0,0
556,288,12,A,M,4,14,0,0,0,7,0,0,0
557,290,12,A,M,0,99,0,0,0,0,1,0,0
558,291,12,A,M,0,0,0,0,0,2,2,0,0
559,292,12,A,M,1,0,0,0,0,5,0,0,0
560,293,12,A,M,15,0,0,0,0,1,0,0,0
561,294,12,A,M,0,50,0,3,0,2,0,0,0
562,295,12,A,F,12,20,0,0,0,1,0,0,0
563,296,12,A,F,2,0,0,0,0,0,1,0,0
564,297,12,A,F,1,10,0,1,0,0,0,0,0
565,298,12,A,F,0,4,0,0,0,0,0,0,0
566,299,12,A,F,22,24,0,0,0,1,0,0,1
567,300,12,A,F,0,30,0,0,0,17,0,0,1
568,301,12,A,F,81,36,0,0,0,1,0,0,0
569,302,12,A,F,70,0,0,0,0,0,0,0,0
570,303,12,A,F,56,2,0,0,0,0,0,0,0
571,304,12,A,F,0,0,0,0,0,0,0,0,0
572,305,12,S,F,21,35,0,0,0,1,0,0,0
573,306,12,A,F,2,86,1,0,0,26,0,0,0
574,307,12,A,F,5,0,0,0,0,0,0,0,0
575,308,12,A,F,15,3,0,0,0,2,1,0,0
505,79,21,A,F,74,0,0,0,0,2,0,0,0
506,81,21,A,F,17,0,0,0,0,0,0,0,0
507,83,21,A,F,5,6,0,0,0,3,0,0,0
508,84,21,A,F,0,3,1,0,0,4,0,0,0
509,85,21,A,F,13,30,1,0,0,4,0,0,0
510,86,21,A,F,3,0,0,0,1,0,0,0,0
511,87,21,A,F,0,0,0,0,0,0,0,0,0
512,88,21,A,F,33,15,0,0,0,0,0,0,0
513,90,21,A,F,11,0,0,0,0,0,1,0,1
514,91,21,A,F,24,8,0,0,0,0,0,0,0
515,92,21,A,F,0,0,0,0,0,1,0,0,0
516,93,21,A,F,89,0,0,0,0,4,0,0,0
517,96,21,A,M,0,0,0,0,0,6,0,0,0
518,97,21,A,M,0,6,0,0,0,0,0,0,0
519,98,21,A,M,0,23,0,0,0,1,0,0,0
520,99,21,A,M,0,12,0,0,0,0,0,0,1
521,100,21,S,M,1,8,0,0,0,1,0,0,0
522,101,21,S,M,69,3,0,0,0,0,5,0,0
523,102,21,A,M,0,0,0,0,0,0,0,0,0
524,103,21,A,M,7,5,0,0,0,0,1,0,2
525,105,21,A,M,16,10,0,0,0,0,0,0,0
526,106,21,S,M,8,227,2,0,0,13,0,1,0
527,107,21,A,M,19,0,0,0,0,2,0,0,0
528,108,21,A,M,4,1,0,0,0,4,0,0,0
529,110,21,A,M,3,0,0,0,0,0,0,0,0
582,318,22,A,F,6,1,1,1,0,46,0,0,0
583,319,22,A,F,5,100,0,0,1,0,0,0,0
584,320,22,A,F,8,0,0,0,0,0,0,0,0
585,321,22,A,F,9,0,0,0,0,0,0,0,0
586,323,22,S,F,1,2,0,0,0,0,0,0,0
587,324,22,A,F,4,0,0,0,0,0,0,0,0
588,325,22,A,F,0,4,0,0,0,0,0,0,0
589,327,22,A,F,27,1,0,1,2,1,0,1,0
590,328,22,S,F,7,2,0,0,0,0,0,0,0
591,329,22,A,F,100,0,0,0,0,0,0,0,0
592,330,22,A,F,3,0,0,0,0,1,1,0,0
593,331,22,A,F,8,0,0,0,2,0,0,0,0
594,332,22,A,F,0,8,1,1,0,22,0,0,0
595,334,22,A,M,49,29,0,0,0,2,0,0,0
596,335,22,A,M,3,3,8,0,0,3,0,0,0
597,336,22,A,M,12,0,0,0,0,0,0,0,0
598,337,22,A,M,81,88,0,0,0,0,0,0,0
599,338,22,A,M,0,0,0,0,0,1,0,0,0
600,339,22,A,M,1,3,0,0,0,1,0,0,0
601,340,22,A,M,20,2,0,0,0,2,1,0,0
602,341,22,S,M,7,0,0,0,0,0,1,0,0
603,342,22,A,M,0,0,0,0,0,2,0,0,0
604,343,22,A,M,10,0,4,4,0,31,0,0,0
605,344,22,A,M,0,0,0,0,0,1,0,0,0
606,345,22,A,M,2,0,0,0,0,2,0,0,0
607,347,22,A,M,35,4,1,0,0,0,0,0,0
608,348,22,A,M,66,8,0,1,0,17,2,0,0
638,697,22,S,F,0,12,1,1,0,6,5,0,0
530,111,31,A,M,0,0,1,0,0,0,0,0,1
531,112,31,S,F,1,0,0,0,0,0,0,0,0
532,113,31,A,F,2,0,0,0,1,0,0,0,0
533,114,31,A,F,0,0,0,0,0,1,1,0,0
534,115,31,A,M,0,0,0,0,0,0,0,0,0
535,116,31,A,F,11,1,0,0,0,1,0,0,0
536,117,31,A,M,0,0,0,0,0,0,0,0,0
537,123,31,A,F,0,0,0,0,0,0,0,0,0
538,124,31,A,F,9,23,5,0,0,0,0,0,0
539,125,31,A,M,0,0,0,0,0,0,0,0,0
540,126,31,A,F,0,11,0,3,0,3,0,1,1
541,128,31,A,F,0,0,0,0,8,0,0,0,0
542,179,31,A,M,0,2,0,0,0,0,0,0,0
543,180,31,A,F,0,0,0,0,0,1,0,1,0
544,185,31,A,F,8,2,0,0,0,2,0,0,0
545,186,31,A,F,0,0,0,0,0,0,0,0,0
546,187,31,A,F,2,4,1,0,0,0,2,0,0
547,188,31,A,F,1,0,0,0,0,0,0,0,0
548,189,31,A,F,6,1,0,0,0,0,0,0,0
640,725,31,A,F,29,0,0,0,0,0,0,0,0
576,311,32,A,M,0,0,0,0,0,6,0,0,0
577,313,32,A,F,0,0,0,0,0,0,0,0,0
578,314,32,A,F,3,22,14,0,0,3,1,0,0
579,315,32,A,M,36,33,0,0,0,8,0,0,0
580,316,32,A,M,0,0,0,0,0,4,0,0,0
581,317,32,A,F,1,4,0,0,0,0,0,0,0
609,349,32,A,M,1,1,0,0,0,0,0,0,0
610,350,32,A,M,3,0,0,0,0,0,0,0,0
