,Date,Year,Season,Month,Region,Locality,Sampling,LocxSam,Hostsp,TL,SL,H,W,Sex,Ldom,Lpac,Lche,Labd,Lcha,Ssp1,Step,Hsp1,Hsp2,Sove,Sseg,Pmug,Pfle,Lhsp,Hbiv,Hssp,Nyam,Ntyl,Cumu,Gmug,Gzhu,Llle,Lpil,Lkao,Ltri,Lmir,Pbig
1JCK01,2004-06-13,2004,spring,jun,Japan,Kiyevka,1,1JCK,Mc,44,37,8,680,M,56,43,6,0,0,0,0,0,0,0,0,0,1,12,0,1,15,0,0,0,0,0,0,0,0,0,0
1JCK02,2004-06-13,2004,spring,jun,Japan,Kiyevka,1,1JCK,Mc,45,37,8,660,M,0,4,7,3,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1JCK03,2004-06-13,2004,spring,jun,Japan,Kiyevka,1,1JCK,Mc,47,40,9,920,M,0,12,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1JCK04,2004-06-13,2004,spring,jun,Japan,Kiyevka,1,1JCK,Mc,45,38,8,730,M,89,151,169,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1JCK05,2004-06-13,2004,spring,jun,Japan,Kiyevka,1,1JCK,Mc,45,38,9,780,M,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0
1JCK06,2004-06-13,2004,spring,jun,Japan,Kiyevka,1,1JCK,Mc,46,38,9,740,F,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,0,0,0,0,0,0,0,0,0,0
1JCK07,2004-06-13,2004,spring,jun,Japan,Kiyevka,1,1JCK,Mc,48,40,8,780,M,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1JCK08,2004-06-13,2004,spring,jun,Japan,Kiyevka,1,1JCK,Mc,45,38,8,770,F,5,6,9,0,0,0,0,0,0,0,0,12,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
1JCK09,2004-06-13,2004,spring,jun,Japan,Kiyevka,1,1JCK,Mc,46,38,8,780,M,13,3,3,0,0,0,0,40,0,0,0,30,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0
1JCK10,2004-06-13,2004,spring,jun,Japan,Kiyevka,1,1JCK,Mc,48,41,9,940,F,25,5,31,0,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1JCK11,2004-06-13,2004,spring,jun,Japan,Kiyevka,1,1JCK,Mc,45,38,8,700,M,10,3,19,0,0,6,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
1JCK12,2004-06-13,2004,spring,jun,Japan,Kiyevka,1,1JCK,Mc,45,38,8,730,M,2,0,0,0,0,0,0,0,0,10,0,10,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
1JCK13,2004-06-13,2004,spring,jun,Japan,Kiyevka,1,1JCK,Mc,49,41,9,910,M,12,5,2,0,0,1,0,0,0,0,0,8,0,4,0,0,2,0,3,0,0,0,0,0,0,0,0
1JCK14,2004-06-13,2004,spring,jun,Japan,Kiyevka,1,1JCK,Mc,46,40,8,810,F,3,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1JCK15,2004-06-13,2004,spring,jun,Japan,Kiyevka,1,1JCK,Mc,46,38,8,750,F,2,13,14,0,0,0,17,70,0,0,0,0,0,48,0,0,1,0,1,0,0,0,0,0,0,0,0
1JCK16,2004-06-13,2004,spring,jun,Japan,Kiyevka,1,1JCK,Mc,42,35,7,620,M,6,19,17,0,3,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1JCK17,2004-06-13,2004,spring,jun,Japan,Kiyevka,1,1JCK,Mc,43,36,8,650,M,11,15,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1JCK18,2004-06-13,2004,spring,jun,Japan,Kiyevka,1,1JCK,Mc,49,40,9,1050,F,71,177,352,26,0,0,0,0,0,0,0,0,0,11,0,0,19,0,0,0,0,0,0,0,0,0,0
1JCK19,2004-06-13,2004,spring,jun,Japan,Kiyevka,1,1JCK,Mc,43,36,8,670,F,3,19,16,0,0,1,0,0,0,0,0,489,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
1JCK20,2004-06-13,2004,spring,jun,Japan,Kiyevka,1,1JCK,Mc,41,35,8,790,F,5,0,2,0,0,0,1,0,0,0,0,17,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1JCK21,2004-06-13,2004,summer,jun,Japan,Kiyevka,1,1JCK,Mc,40,34,8,650,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2JCK01,2004-07-13,2004,summer,jul,Japan,Kiyevka,2,2JCK,Mc,43,36,7,550,F,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
2JCK02,2004-07-20,2004,summer,jul,Japan,Kiyevka,2,2JCK,Mc,38,32,8,610,M,0,0,1,0,0,0,0,0,0,0,0,48,1,0,0,49,32,0,0,0,0,0,0,0,0,0,0
2JCK03,2004-07-20,2004,summer,jul,Japan,Kiyevka,2,2JCK,Mc,43,36,9,800,M,12,11,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2JCK05,2004-07-10,2004,summer,jul,Japan,Kiyevka,2,2JCK,Mc,44,37,8,700,F,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2JCK06,2004-07-10,2004,summer,jul,Japan,Kiyevka,2,2JCK,Mc,50,42,9,940,F,0,0,0,0,0,0,0,0,10,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0
2JCK07,2004-07-10,2004,summer,jul,Japan,Kiyevka,2,2JCK,Mc,47,38,8,680,M,0,0,0,0,0,0,0,0,0,5,0,0,72,18,0,0,0,0,0,0,0,0,0,0,0,0,0
3JCK01,2005-05-31,2005,spring,may,Japan,Kiyevka,3,3JCK,Mc,50,42,8,1000,M,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
